# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.7379e+00 1.8440e+00 1.4678e+01 2.8893e+00 1.8003e-01 2.4043e-02 1.3445e-02 2.4651e-02 9.5665e-01 4.5000e-01
7.3684e-04 7.9114e-04 2.0546e+00 2.2163e+00 1.3192e+01 3.6304e+00 1.7870e-01 3.0846e-02 1.6685e-02 3.0909e-02 8.6000e-01 4.5000e-01
9.7368e-04 1.0685e-03 2.2092e+00 2.4085e+00 1.2014e+01 3.9431e+00 1.7668e-01 3.7021e-02 1.9551e-02 3.6377e-02 8.0793e-01 4.5000e-01
1.2105e-03 1.3571e-03 2.2701e+00 2.4901e+00 1.1081e+01 3.9992e+00 1.7435e-01 4.2605e-02 2.2116e-02 4.1186e-02 7.7602e-01 4.5000e-01
1.4474e-03 1.6569e-03 2.2797e+00 2.5078e+00 1.0339e+01 3.9230e+00 1.7196e-01 4.7620e-02 2.4414e-02 4.5417e-02 7.5484e-01 4.5000e-01
1.6842e-03 1.9679e-03 2.2623e+00 2.4901e+00 9.7414e+00 3.7872e+00 1.6965e-01 5.2114e-02 2.6476e-02 4.9148e-02 7.3995e-01 4.5000e-01
1.9211e-03 2.2901e-03 2.2314e+00 2.4536e+00 9.2538e+00 3.6299e+00 1.6746e-01 5.6142e-02 2.8330e-02 5.2450e-02 7.2900e-01 4.5000e-01
2.1579e-03 2.6235e-03 2.1944e+00 2.4079e+00 8.8499e+00 3.4702e+00 1.6543e-01 5.9763e-02 3.0002e-02 5.5384e-02 7.2067e-01 4.5000e-01
2.3947e-03 2.9682e-03 2.1550e+00 2.3583e+00 8.5107e+00 3.3166e+00 1.6353e-01 6.3030e-02 3.1515e-02 5.8005e-02 7.1415e-01 4.5000e-01
2.6316e-03 3.3241e-03 2.1156e+00 2.3077e+00 8.2222e+00 3.1729e+00 1.6178e-01 6.5989e-02 3.2891e-02 6.0355e-02 7.0893e-01 4.5000e-01
2.8684e-03 3.6912e-03 2.0771e+00 2.2578e+00 7.9742e+00 3.0402e+00 1.6015e-01 6.8678e-02 3.4145e-02 6.2472e-02 7.0466e-01 4.5000e-01
3.1053e-03 4.0695e-03 2.0402e+00 2.2095e+00 7.7588e+00 2.9182e+00 1.5863e-01 7.1130e-02 3.5293e-02 6.4385e-02 7.0111e-01 4.5000e-01
3.3421e-03 4.4591e-03 2.0050e+00 2.1633e+00 7.5703e+00 2.8065e+00 1.5721e-01 7.3374e-02 3.6346e-02 6.6119e-02 6.9812e-01 4.5000e-01
3.5789e-03 4.8598e-03 1.9717e+00 2.1192e+00 7.4039e+00 2.7042e+00 1.5588e-01 7.5432e-02 3.7316e-02 6.7695e-02 6.9557e-01 4.5000e-01
3.8158e-03 5.2718e-03 1.9403e+00 2.0774e+00 7.2563e+00 2.6103e+00 1.5462e-01 7.7324e-02 3.8210e-02 6.9131e-02 6.9336e-01 4.5000e-01
4.0526e-03 5.6950e-03 1.9106e+00 2.0378e+00 7.1244e+00 2.5241e+00 1.5343e-01 7.9068e-02 3.9036e-02 7.0442e-02 6.9144e-01 4.5000e-01
4.2895e-03 6.1294e-03 1.8826e+00 2.0004e+00 7.0061e+00 2.4447e+00 1.5230e-01 8.0677e-02 3.9801e-02 7.1639e-02 6.8975e-01 4.5000e-01
4.5263e-03 6.5751e-03 1.8562e+00 1.9651e+00 6.8994e+00 2.3714e+00 1.5122e-01 8.2164e-02 4.0510e-02 7.2735e-02 6.8825e-01 4.5000e-01
4.7632e-03 7.0319e-03 1.8313e+00 1.9316e+00 6.8030e+00 2.3036e+00 1.5019e-01 8.3540e-02 4.1168e-02 7.3738e-02 6.8691e-01 4.5000e-01
5.0000e-03 7.5000e-03 1.8077e+00 1.9000e+00 6.7154e+00 2.2407e+00 1.4921e-01 8.4815e-02 4.1779e-02 7.4657e-02 6.8570e-01 4.5000e-01
