# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.5594e+00 1.6882e+00 9.4651e+00 6.0687e-01 3.0552e-02 4.8111e-02 4.7996e-03 4.2837e-02 2.4955e-01 4.0000e-01
7.3684e-04 7.9114e-04 1.6562e+00 1.8094e+00 8.6407e+00 6.2710e-01 2.6848e-02 5.6450e-02 5.6589e-03 5.0383e-02 2.2861e-01 4.0000e-01
9.7368e-04 1.0685e-03 1.6820e+00 1.8434e+00 8.0617e+00 6.1474e-01 2.4375e-02 6.2833e-02 6.3247e-03 5.6180e-02 2.1729e-01 4.0000e-01
1.2105e-03 1.3571e-03 1.6788e+00 1.8399e+00 7.6279e+00 5.9256e-01 2.2612e-02 6.8005e-02 6.8679e-03 6.0863e-02 2.1026e-01 4.0000e-01
1.4474e-03 1.6569e-03 1.6628e+00 1.8190e+00 7.2882e+00 5.6826e-01 2.1292e-02 7.2348e-02 7.3256e-03 6.4765e-02 2.0553e-01 4.0000e-01
1.6842e-03 1.9679e-03 1.6412e+00 1.7902e+00 7.0136e+00 5.4458e-01 2.0269e-02 7.6086e-02 7.7196e-03 6.8089e-02 2.0218e-01 4.0000e-01
1.9211e-03 2.2901e-03 1.6174e+00 1.7580e+00 6.7861e+00 5.2248e-01 1.9454e-02 7.9359e-02 8.0642e-03 7.0963e-02 1.9973e-01 4.0000e-01
2.1579e-03 2.6235e-03 1.5931e+00 1.7248e+00 6.5941e+00 5.0219e-01 1.8790e-02 8.2263e-02 8.3692e-03 7.3479e-02 1.9788e-01 4.0000e-01
2.3947e-03 2.9682e-03 1.5691e+00 1.6918e+00 6.4297e+00 4.8369e-01 1.8240e-02 8.4866e-02 8.6415e-03 7.5702e-02 1.9646e-01 4.0000e-01
2.6316e-03 3.3241e-03 1.5458e+00 1.6596e+00 6.2870e+00 4.6686e-01 1.7778e-02 8.7219e-02 8.8865e-03 7.7679e-02 1.9537e-01 4.0000e-01
2.8684e-03 3.6912e-03 1.5236e+00 1.6287e+00 6.1620e+00 4.5153e-01 1.7385e-02 8.9358e-02 9.1083e-03 7.9450e-02 1.9452e-01 4.0000e-01
3.1053e-03 4.0695e-03 1.5023e+00 1.5991e+00 6.0515e+00 4.3754e-01 1.7048e-02 9.1314e-02 9.3099e-03 8.1043e-02 1.9386e-01 4.0000e-01
3.3421e-03 4.4591e-03 1.4821e+00 1.5710e+00 5.9532e+00 4.2474e-01 1.6756e-02 9.3110e-02 9.4941e-03 8.2481e-02 1.9335e-01 4.0000e-01
3.5789e-03 4.8598e-03 1.4630e+00 1.5442e+00 5.8651e+00 4.1300e-01 1.6501e-02 9.4765e-02 9.6628e-03 8.3785e-02 1.9296e-01 4.0000e-01
3.8158e-03 5.2718e-03 1.4448e+00 1.5188e+00 5.7857e+00 4.0220e-01 1.6278e-02 9.6295e-02 9.8179e-03 8.4969e-02 1.9267e-01 4.0000e-01
4.0526e-03 5.6950e-03 1.4276e+00 1.4947e+00 5.7139e+00 3.9223e-01 1.6081e-02 9.7713e-02 9.9608e-03 8.6048e-02 1.9246e-01 4.0000e-01
4.2895e-03 6.1294e-03 1.4113e+00 1.4718e+00 5.6486e+00 3.8302e-01 1.5907e-02 9.9030e-02 1.0093e-02 8.7032e-02 1.9231e-01 4.0000e-01
4.5263e-03 6.5751e-03 1.3957e+00 1.4500e+00 5.5891e+00 3.7447e-01 1.5752e-02 1.0026e-01 1.0215e-02 8.7931e-02 1.9222e-01 4.0000e-01
4.7632e-03 7.0319e-03 1.3810e+00 1.4294e+00 5.5347e+00 3.6652e-01 1.5615e-02 1.0140e-01 1.0328e-02 8.8754e-02 1.9218e-01 4.0000e-01
5.0000e-03 7.5000e-03 1.3670e+00 1.4097e+00 5.4847e+00 3.5912e-01 1.5492e-02 1.0246e-01 1.0433e-02 8.9507e-02 1.9218e-01 4.0000e-01
