# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 9.2889e-01 9.6863e-01 1.1218e+01 2.1830e-01 1.5581e-02 1.0276e-02 2.3425e-03 2.5727e-02 2.5300e-01 9.0000e-01
7.3684e-04 7.9114e-04 1.1634e+00 1.2294e+00 1.0626e+01 2.9875e-01 1.4769e-02 1.2562e-02 2.8096e-03 3.1158e-02 2.2073e-01 9.0000e-01
9.7368e-04 1.0685e-03 1.3254e+00 1.4153e+00 1.0120e+01 3.5476e-01 1.4022e-02 1.4497e-02 3.1936e-03 3.5707e-02 2.0194e-01 9.0000e-01
1.2105e-03 1.3571e-03 1.4382e+00 1.5482e+00 9.6846e+00 3.9181e-01 1.3342e-02 1.6188e-02 3.5227e-03 3.9669e-02 1.8942e-01 9.0000e-01
1.4474e-03 1.6569e-03 1.5167e+00 1.6428e+00 9.3049e+00 4.1496e-01 1.2725e-02 1.7696e-02 3.8116e-03 4.3197e-02 1.8038e-01 9.0000e-01
1.6842e-03 1.9679e-03 1.5710e+00 1.7096e+00 8.9710e+00 4.2817e-01 1.2167e-02 1.9057e-02 4.0695e-03 4.6387e-02 1.7349e-01 9.0000e-01
1.9211e-03 2.2901e-03 1.6078e+00 1.7557e+00 8.6751e+00 4.3435e-01 1.1663e-02 2.0298e-02 4.3025e-03 4.9302e-02 1.6803e-01 9.0000e-01
2.1579e-03 2.6235e-03 1.6319e+00 1.7863e+00 8.4109e+00 4.3562e-01 1.1207e-02 2.1438e-02 4.5148e-03 5.1985e-02 1.6358e-01 9.0000e-01
2.3947e-03 2.9682e-03 1.6466e+00 1.8053e+00 8.1737e+00 4.3346e-01 1.0795e-02 2.2490e-02 4.7096e-03 5.4471e-02 1.5988e-01 9.0000e-01
2.6316e-03 3.3241e-03 1.6543e+00 1.8155e+00 7.9593e+00 4.2896e-01 1.0421e-02 2.3467e-02 4.8895e-03 5.6784e-02 1.5674e-01 9.0000e-01
2.8684e-03 3.6912e-03 1.6568e+00 1.8189e+00 7.7648e+00 4.2287e-01 1.0081e-02 2.4377e-02 5.0564e-03 5.8946e-02 1.5405e-01 9.0000e-01
3.1053e-03 4.0695e-03 1.6554e+00 1.8171e+00 7.5873e+00 4.1574e-01 9.7708e-03 2.5228e-02 5.2119e-03 6.0972e-02 1.5172e-01 9.0000e-01
3.3421e-03 4.4591e-03 1.6510e+00 1.8114e+00 7.4248e+00 4.0796e-01 9.4882e-03 2.6027e-02 5.3573e-03 6.2876e-02 1.4967e-01 9.0000e-01
3.5789e-03 4.8598e-03 1.6444e+00 1.8026e+00 7.2755e+00 3.9982e-01 9.2296e-03 2.6778e-02 5.4937e-03 6.4670e-02 1.4786e-01 9.0000e-01
3.8158e-03 5.2718e-03 1.6361e+00 1.7915e+00 7.1378e+00 3.9151e-01 8.9925e-03 2.7486e-02 5.6219e-03 6.6363e-02 1.4626e-01 9.0000e-01
4.0526e-03 5.6950e-03 1.6266e+00 1.7786e+00 7.0104e+00 3.8317e-01 8.7746e-03 2.8156e-02 5.7428e-03 6.7963e-02 1.4483e-01 9.0000e-01
4.2895e-03 6.1294e-03 1.6161e+00 1.7645e+00 6.8923e+00 3.7491e-01 8.5740e-03 2.8789e-02 5.8570e-03 6.9478e-02 1.4354e-01 9.0000e-01
4.5263e-03 6.5751e-03 1.6050e+00 1.7493e+00 6.7824e+00 3.6680e-01 8.3889e-03 2.9389e-02 5.9651e-03 7.0914e-02 1.4238e-01 9.0000e-01
4.7632e-03 7.0319e-03 1.5935e+00 1.7335e+00 6.6800e+00 3.5888e-01 8.2178e-03 2.9958e-02 6.0675e-03 7.2276e-02 1.4133e-01 9.0000e-01
5.0000e-03 7.5000e-03 1.5817e+00 1.7172e+00 6.5844e+00 3.5118e-01 8.0593e-03 3.0500e-02 6.1647e-03 7.3569e-02 1.4038e-01 9.0000e-01
