# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 9.6983e-01 1.0122e+00 1.1490e+01 3.7114e-01 3.1886e-02 1.2224e-02 4.1968e-03 2.5501e-02 3.9459e-01 8.5000e-01
7.3684e-04 7.9114e-04 1.2113e+00 1.2813e+00 1.0851e+01 5.1159e-01 3.1031e-02 1.5046e-02 5.0415e-03 3.0926e-02 3.4870e-01 8.5000e-01
9.7368e-04 1.0685e-03 1.3761e+00 1.4710e+00 1.0308e+01 6.1089e-01 3.0171e-02 1.7472e-02 5.7431e-03 3.5482e-02 3.2258e-01 8.5000e-01
1.2105e-03 1.3571e-03 1.4892e+00 1.6047e+00 9.8408e+00 6.7756e-01 2.9328e-02 1.9622e-02 6.3509e-03 3.9456e-02 3.0553e-01 8.5000e-01
1.4474e-03 1.6569e-03 1.5665e+00 1.6982e+00 9.4353e+00 7.1998e-01 2.8517e-02 2.1558e-02 6.8901e-03 4.2999e-02 2.9342e-01 8.5000e-01
1.6842e-03 1.9679e-03 1.6186e+00 1.7627e+00 9.0801e+00 7.4484e-01 2.7746e-02 2.3321e-02 7.3758e-03 4.6204e-02 2.8431e-01 8.5000e-01
1.9211e-03 2.2901e-03 1.6528e+00 1.8058e+00 8.7666e+00 7.5718e-01 2.7018e-02 2.4938e-02 7.8180e-03 4.9131e-02 2.7718e-01 8.5000e-01
2.1579e-03 2.6235e-03 1.6741e+00 1.8331e+00 8.4878e+00 7.6067e-01 2.6334e-02 2.6430e-02 8.2237e-03 5.1824e-02 2.7142e-01 8.5000e-01
2.3947e-03 2.9682e-03 1.6860e+00 1.8487e+00 8.2383e+00 7.5797e-01 2.5695e-02 2.7813e-02 8.5982e-03 5.4317e-02 2.6665e-01 8.5000e-01
2.6316e-03 3.3241e-03 1.6910e+00 1.8554e+00 8.0137e+00 7.5097e-01 2.5097e-02 2.9100e-02 8.9455e-03 5.6635e-02 2.6264e-01 8.5000e-01
2.8684e-03 3.6912e-03 1.6908e+00 1.8555e+00 7.8106e+00 7.4105e-01 2.4540e-02 3.0302e-02 9.2689e-03 5.8799e-02 2.5920e-01 8.5000e-01
3.1053e-03 4.0695e-03 1.6870e+00 1.8506e+00 7.6260e+00 7.2918e-01 2.4020e-02 3.1427e-02 9.5711e-03 6.0825e-02 2.5622e-01 8.5000e-01
3.3421e-03 4.4591e-03 1.6803e+00 1.8419e+00 7.4575e+00 7.1607e-01 2.3536e-02 3.2484e-02 9.8543e-03 6.2726e-02 2.5362e-01 8.5000e-01
3.5789e-03 4.8598e-03 1.6716e+00 1.8304e+00 7.3032e+00 7.0223e-01 2.3083e-02 3.3477e-02 1.0120e-02 6.4514e-02 2.5132e-01 8.5000e-01
3.8158e-03 5.2718e-03 1.6614e+00 1.8167e+00 7.1612e+00 6.8803e-01 2.2661e-02 3.4414e-02 1.0371e-02 6.6200e-02 2.4927e-01 8.5000e-01
4.0526e-03 5.6950e-03 1.6501e+00 1.8015e+00 7.0303e+00 6.7373e-01 2.2266e-02 3.5298e-02 1.0607e-02 6.7791e-02 2.4744e-01 8.5000e-01
4.2895e-03 6.1294e-03 1.6380e+00 1.7852e+00 6.9091e+00 6.5951e-01 2.1896e-02 3.6133e-02 1.0831e-02 6.9295e-02 2.4579e-01 8.5000e-01
4.5263e-03 6.5751e-03 1.6255e+00 1.7681e+00 6.7968e+00 6.4550e-01 2.1550e-02 3.6925e-02 1.1042e-02 7.0719e-02 2.4430e-01 8.5000e-01
4.7632e-03 7.0319e-03 1.6126e+00 1.7505e+00 6.6923e+00 6.3178e-01 2.1225e-02 3.7675e-02 1.1243e-02 7.2068e-02 2.4295e-01 8.5000e-01
5.0000e-03 7.5000e-03 1.5995e+00 1.7326e+00 6.5949e+00 6.1844e-01 2.0920e-02 3.8387e-02 1.1433e-02 7.3347e-02 2.4172e-01 8.5000e-01
