# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 9.6829e-01 1.0102e+00 1.1595e+01 4.0214e-01 3.4981e-02 1.1938e-02 4.9127e-03 2.5167e-02 4.2891e-01 8.5000e-01
7.3684e-04 7.9114e-04 1.2117e+00 1.2813e+00 1.0955e+01 5.5960e-01 3.4426e-02 1.4710e-02 5.8950e-03 3.0525e-02 3.8113e-01 8.5000e-01
9.7368e-04 1.0685e-03 1.3789e+00 1.4735e+00 1.0409e+01 6.7367e-01 3.3819e-02 1.7106e-02 6.7116e-03 3.5030e-02 3.5430e-01 8.5000e-01
1.2105e-03 1.3571e-03 1.4942e+00 1.6096e+00 9.9380e+00 7.5237e-01 3.3186e-02 1.9241e-02 7.4209e-03 3.8964e-02 3.3699e-01 8.5000e-01
1.4474e-03 1.6569e-03 1.5734e+00 1.7053e+00 9.5285e+00 8.0418e-01 3.2546e-02 2.1173e-02 8.0523e-03 4.2475e-02 3.2484e-01 8.5000e-01
1.6842e-03 1.9679e-03 1.6272e+00 1.7717e+00 9.1692e+00 8.3612e-01 3.1913e-02 2.2941e-02 8.6233e-03 4.5655e-02 3.1580e-01 8.5000e-01
1.9211e-03 2.2901e-03 1.6627e+00 1.8163e+00 8.8514e+00 8.5360e-01 3.1296e-02 2.4569e-02 9.1451e-03 4.8562e-02 3.0878e-01 8.5000e-01
2.1579e-03 2.6235e-03 1.6850e+00 1.8449e+00 8.5686e+00 8.6065e-01 3.0699e-02 2.6077e-02 9.6256e-03 5.1240e-02 3.0314e-01 8.5000e-01
2.3947e-03 2.9682e-03 1.6976e+00 1.8614e+00 8.3152e+00 8.6025e-01 3.0127e-02 2.7479e-02 1.0071e-02 5.3721e-02 2.9850e-01 8.5000e-01
2.6316e-03 3.3241e-03 1.7032e+00 1.8689e+00 8.0870e+00 8.5458e-01 2.9580e-02 2.8787e-02 1.0485e-02 5.6030e-02 2.9460e-01 8.5000e-01
2.8684e-03 3.6912e-03 1.7035e+00 1.8695e+00 7.8805e+00 8.4521e-01 2.9060e-02 3.0011e-02 1.0871e-02 5.8186e-02 2.9126e-01 8.5000e-01
3.1053e-03 4.0695e-03 1.6999e+00 1.8650e+00 7.6927e+00 8.3330e-01 2.8567e-02 3.1160e-02 1.1233e-02 6.0206e-02 2.8838e-01 8.5000e-01
3.3421e-03 4.4591e-03 1.6934e+00 1.8565e+00 7.5213e+00 8.1971e-01 2.8098e-02 3.2239e-02 1.1574e-02 6.2103e-02 2.8585e-01 8.5000e-01
3.5789e-03 4.8598e-03 1.6848e+00 1.8451e+00 7.3641e+00 8.0505e-01 2.7655e-02 3.3256e-02 1.1894e-02 6.3888e-02 2.8362e-01 8.5000e-01
3.8158e-03 5.2718e-03 1.6746e+00 1.8316e+00 7.2196e+00 7.8977e-01 2.7235e-02 3.4215e-02 1.2196e-02 6.5572e-02 2.8163e-01 8.5000e-01
4.0526e-03 5.6950e-03 1.6633e+00 1.8164e+00 7.0864e+00 7.7419e-01 2.6837e-02 3.5121e-02 1.2481e-02 6.7161e-02 2.7984e-01 8.5000e-01
4.2895e-03 6.1294e-03 1.6512e+00 1.8000e+00 6.9631e+00 7.5856e-01 2.6461e-02 3.5979e-02 1.2751e-02 6.8664e-02 2.7823e-01 8.5000e-01
4.5263e-03 6.5751e-03 1.6385e+00 1.7828e+00 6.8487e+00 7.4305e-01 2.6104e-02 3.6791e-02 1.3007e-02 7.0088e-02 2.7677e-01 8.5000e-01
4.7632e-03 7.0319e-03 1.6255e+00 1.7651e+00 6.7423e+00 7.2778e-01 2.5766e-02 3.7561e-02 1.3250e-02 7.1436e-02 2.7543e-01 8.5000e-01
5.0000e-03 7.5000e-03 1.6123e+00 1.7470e+00 6.6432e+00 7.1283e-01 2.5445e-02 3.8291e-02 1.3480e-02 7.2716e-02 2.7421e-01 8.5000e-01
