# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.4970e+00 1.5768e+00 1.5094e+01 2.1873e+00 1.6380e-01 2.0698e-02 1.3369e-02 2.1950e-02 9.7600e-01 5.0000e-01
7.3684e-04 7.9114e-04 1.8282e+00 1.9560e+00 1.3840e+01 2.9407e+00 1.6493e-01 2.6102e-02 1.6343e-02 2.7245e-02 8.7980e-01 5.0000e-01
9.7368e-04 1.0685e-03 2.0292e+00 2.1960e+00 1.2800e+01 3.4079e+00 1.6532e-01 3.1006e-02 1.8936e-02 3.1900e-02 8.2761e-01 5.0000e-01
1.2105e-03 1.3571e-03 2.1446e+00 2.3393e+00 1.1933e+01 3.6570e+00 1.6513e-01 3.5529e-02 2.1273e-02 3.6085e-02 7.9513e-01 5.0000e-01
1.4474e-03 1.6569e-03 2.2040e+00 2.4165e+00 1.1206e+01 3.7556e+00 1.6451e-01 3.9712e-02 2.3409e-02 3.9876e-02 7.7312e-01 5.0000e-01
1.6842e-03 1.9679e-03 2.2274e+00 2.4493e+00 1.0595e+01 3.7573e+00 1.6359e-01 4.3576e-02 2.5370e-02 4.3318e-02 7.5732e-01 5.0000e-01
1.9211e-03 2.2901e-03 2.2279e+00 2.4531e+00 1.0078e+01 3.7003e+00 1.6248e-01 4.7136e-02 2.7174e-02 4.6445e-02 7.4547e-01 5.0000e-01
2.1579e-03 2.6235e-03 2.2144e+00 2.4382e+00 9.6381e+00 3.6102e+00 1.6125e-01 5.0411e-02 2.8834e-02 4.9287e-02 7.3626e-01 5.0000e-01
2.3947e-03 2.9682e-03 2.1923e+00 2.4117e+00 9.2605e+00 3.5033e+00 1.5995e-01 5.3423e-02 3.0364e-02 5.1872e-02 7.2890e-01 5.0000e-01
2.6316e-03 3.3241e-03 2.1654e+00 2.3782e+00 8.9343e+00 3.3896e+00 1.5862e-01 5.6194e-02 3.1775e-02 5.4228e-02 7.2288e-01 5.0000e-01
2.8684e-03 3.6912e-03 2.1359e+00 2.3408e+00 8.6504e+00 3.2750e+00 1.5729e-01 5.8744e-02 3.3078e-02 5.6378e-02 7.1786e-01 5.0000e-01
3.1053e-03 4.0695e-03 2.1053e+00 2.3015e+00 8.4016e+00 3.1630e+00 1.5596e-01 6.1094e-02 3.4282e-02 5.8342e-02 7.1359e-01 5.0000e-01
3.3421e-03 4.4591e-03 2.0746e+00 2.2616e+00 8.1822e+00 3.0554e+00 1.5466e-01 6.3262e-02 3.5397e-02 6.0141e-02 7.0991e-01 5.0000e-01
3.5789e-03 4.8598e-03 2.0442e+00 2.2219e+00 7.9876e+00 2.9532e+00 1.5337e-01 6.5265e-02 3.6431e-02 6.1789e-02 7.0669e-01 5.0000e-01
3.8158e-03 5.2718e-03 2.0147e+00 2.1831e+00 7.8140e+00 2.8568e+00 1.5211e-01 6.7118e-02 3.7391e-02 6.3303e-02 7.0384e-01 5.0000e-01
4.0526e-03 5.6950e-03 1.9860e+00 2.1453e+00 7.6584e+00 2.7661e+00 1.5088e-01 6.8834e-02 3.8284e-02 6.4694e-02 7.0128e-01 5.0000e-01
4.2895e-03 6.1294e-03 1.9585e+00 2.1087e+00 7.5183e+00 2.6810e+00 1.4967e-01 7.0425e-02 3.9115e-02 6.5973e-02 6.9898e-01 5.0000e-01
4.5263e-03 6.5751e-03 1.9320e+00 2.0736e+00 7.3918e+00 2.6012e+00 1.4849e-01 7.1901e-02 3.9889e-02 6.7151e-02 6.9687e-01 5.0000e-01
4.7632e-03 7.0319e-03 1.9067e+00 2.0399e+00 7.2770e+00 2.5263e+00 1.4733e-01 7.3272e-02 4.0610e-02 6.8237e-02 6.9494e-01 5.0000e-01
5.0000e-03 7.5000e-03 1.8824e+00 2.0075e+00 7.1725e+00 2.4561e+00 1.4620e-01 7.4545e-02 4.1284e-02 6.9237e-02 6.9314e-01 5.0000e-01
