# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.6265e+00 1.7426e+00 1.1297e+01 1.5471e+00 1.0232e-01 3.4628e-02 9.2238e-03 3.4234e-02 5.8480e-01 4.5000e-01
7.3684e-04 7.9114e-04 1.7949e+00 1.9479e+00 1.0164e+01 1.7031e+00 9.5738e-02 4.2968e-02 1.1303e-02 4.1621e-02 5.2865e-01 4.5000e-01
9.7368e-04 1.0685e-03 1.8542e+00 2.0251e+00 9.3504e+00 1.7141e+00 9.0533e-02 4.9741e-02 1.2991e-02 4.7537e-02 4.9858e-01 4.5000e-01
1.2105e-03 1.3571e-03 1.8650e+00 2.0419e+00 8.7407e+00 1.6697e+00 8.6389e-02 5.5393e-02 1.4404e-02 5.2434e-02 4.8002e-01 4.5000e-01
1.4474e-03 1.6569e-03 1.8535e+00 2.0292e+00 8.2663e+00 1.6062e+00 8.3039e-02 6.0213e-02 1.5613e-02 5.6583e-02 4.6754e-01 4.5000e-01
1.6842e-03 1.9679e-03 1.8315e+00 2.0021e+00 7.8859e+00 1.5385e+00 8.0285e-02 6.4395e-02 1.6664e-02 6.0161e-02 4.5864e-01 4.5000e-01
1.9211e-03 2.2901e-03 1.8048e+00 1.9680e+00 7.5736e+00 1.4725e+00 7.7987e-02 6.8075e-02 1.7591e-02 6.3287e-02 4.5204e-01 4.5000e-01
2.1579e-03 2.6235e-03 1.7764e+00 1.9310e+00 7.3119e+00 1.4106e+00 7.6042e-02 7.1348e-02 1.8416e-02 6.6047e-02 4.4699e-01 4.5000e-01
2.3947e-03 2.9682e-03 1.7478e+00 1.8931e+00 7.0893e+00 1.3534e+00 7.4378e-02 7.4287e-02 1.9157e-02 6.8507e-02 4.4304e-01 4.5000e-01
2.6316e-03 3.3241e-03 1.7198e+00 1.8556e+00 6.8973e+00 1.3011e+00 7.2938e-02 7.6945e-02 1.9827e-02 7.0712e-02 4.3989e-01 4.5000e-01
2.8684e-03 3.6912e-03 1.6927e+00 1.8192e+00 6.7300e+00 1.2532e+00 7.1681e-02 7.9364e-02 2.0436e-02 7.2702e-02 4.3736e-01 4.5000e-01
3.1053e-03 4.0695e-03 1.6668e+00 1.7841e+00 6.5828e+00 1.2093e+00 7.0575e-02 8.1575e-02 2.0993e-02 7.4505e-02 4.3529e-01 4.5000e-01
3.3421e-03 4.4591e-03 1.6421e+00 1.7505e+00 6.4522e+00 1.1692e+00 6.9596e-02 8.3607e-02 2.1504e-02 7.6145e-02 4.3360e-01 4.5000e-01
3.5789e-03 4.8598e-03 1.6187e+00 1.7185e+00 6.3355e+00 1.1324e+00 6.8723e-02 8.5480e-02 2.1974e-02 7.7643e-02 4.3220e-01 4.5000e-01
3.8158e-03 5.2718e-03 1.5964e+00 1.6880e+00 6.2308e+00 1.0986e+00 6.7942e-02 8.7212e-02 2.2408e-02 7.9014e-02 4.3105e-01 4.5000e-01
4.0526e-03 5.6950e-03 1.5753e+00 1.6590e+00 6.1361e+00 1.0674e+00 6.7238e-02 8.8817e-02 2.2810e-02 8.0273e-02 4.3009e-01 4.5000e-01
4.2895e-03 6.1294e-03 1.5553e+00 1.6315e+00 6.0503e+00 1.0385e+00 6.6602e-02 9.0309e-02 2.3183e-02 8.1430e-02 4.2930e-01 4.5000e-01
4.5263e-03 6.5751e-03 1.5363e+00 1.6053e+00 5.9721e+00 1.0118e+00 6.6025e-02 9.1698e-02 2.3530e-02 8.2495e-02 4.2866e-01 4.5000e-01
4.7632e-03 7.0319e-03 1.5183e+00 1.5805e+00 5.9006e+00 9.8693e-01 6.5500e-02 9.2993e-02 2.3852e-02 8.3478e-02 4.2812e-01 4.5000e-01
5.0000e-03 7.5000e-03 1.5012e+00 1.5568e+00 5.8351e+00 9.6381e-01 6.5020e-02 9.4203e-02 2.4153e-02 8.4385e-02 4.2769e-01 4.5000e-01
