# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.2090e+00 1.2731e+00 1.1639e+01 7.5324e-01 6.6463e-02 2.1920e-02 5.8642e-03 2.8190e-02 5.1529e-01 6.5000e-01
7.3684e-04 7.9114e-04 1.4498e+00 1.5487e+00 1.0792e+01 9.5742e-01 6.3094e-02 2.7122e-02 7.1208e-03 3.4304e-02 4.5547e-01 6.5000e-01
9.7368e-04 1.0685e-03 1.5919e+00 1.7176e+00 1.0110e+01 1.0682e+00 6.0050e-02 3.1538e-02 8.1675e-03 3.9404e-02 4.2153e-01 6.5000e-01
1.2105e-03 1.3571e-03 1.6746e+00 1.8192e+00 9.5509e+00 1.1201e+00 5.7342e-02 3.5379e-02 9.0681e-03 4.3801e-02 3.9945e-01 6.5000e-01
1.4474e-03 1.6569e-03 1.7206e+00 1.8776e+00 9.0861e+00 1.1365e+00 5.4948e-02 3.8772e-02 9.8578e-03 4.7667e-02 3.8387e-01 6.5000e-01
1.6842e-03 1.9679e-03 1.7437e+00 1.9079e+00 8.6937e+00 1.1319e+00 5.2836e-02 4.1803e-02 1.0560e-02 5.1113e-02 3.7226e-01 6.5000e-01
1.9211e-03 2.2901e-03 1.7521e+00 1.9196e+00 8.3582e+00 1.1151e+00 5.0968e-02 4.4534e-02 1.1190e-02 5.4214e-02 3.6325e-01 6.5000e-01
2.1579e-03 2.6235e-03 1.7509e+00 1.9190e+00 8.0679e+00 1.0916e+00 4.9312e-02 4.7013e-02 1.1761e-02 5.7027e-02 3.5605e-01 6.5000e-01
2.3947e-03 2.9682e-03 1.7435e+00 1.9100e+00 7.8142e+00 1.0645e+00 4.7838e-02 4.9278e-02 1.2281e-02 5.9596e-02 3.5017e-01 6.5000e-01
2.6316e-03 3.3241e-03 1.7321e+00 1.8954e+00 7.5905e+00 1.0359e+00 4.6520e-02 5.1359e-02 1.2757e-02 6.1953e-02 3.4529e-01 6.5000e-01
2.8684e-03 3.6912e-03 1.7180e+00 1.8772e+00 7.3918e+00 1.0070e+00 4.5338e-02 5.3280e-02 1.3196e-02 6.4125e-02 3.4117e-01 6.5000e-01
3.1053e-03 4.0695e-03 1.7023e+00 1.8565e+00 7.2140e+00 9.7849e-01 4.4273e-02 5.5059e-02 1.3603e-02 6.6135e-02 3.3765e-01 6.5000e-01
3.3421e-03 4.4591e-03 1.6857e+00 1.8344e+00 7.0540e+00 9.5082e-01 4.3309e-02 5.6713e-02 1.3980e-02 6.8000e-02 3.3461e-01 6.5000e-01
3.5789e-03 4.8598e-03 1.6685e+00 1.8114e+00 6.9092e+00 9.2421e-01 4.2434e-02 5.8255e-02 1.4331e-02 6.9735e-02 3.3198e-01 6.5000e-01
3.8158e-03 5.2718e-03 1.6512e+00 1.7879e+00 6.7775e+00 8.9880e-01 4.1637e-02 5.9697e-02 1.4658e-02 7.1353e-02 3.2967e-01 6.5000e-01
4.0526e-03 5.6950e-03 1.6338e+00 1.7644e+00 6.6573e+00 8.7461e-01 4.0909e-02 6.1048e-02 1.4965e-02 7.2864e-02 3.2764e-01 6.5000e-01
4.2895e-03 6.1294e-03 1.6167e+00 1.7411e+00 6.5471e+00 8.5166e-01 4.0242e-02 6.2317e-02 1.5253e-02 7.4279e-02 3.2585e-01 6.5000e-01
4.5263e-03 6.5751e-03 1.5998e+00 1.7180e+00 6.4458e+00 8.2991e-01 3.9629e-02 6.3510e-02 1.5523e-02 7.5605e-02 3.2426e-01 6.5000e-01
4.7632e-03 7.0319e-03 1.5833e+00 1.6953e+00 6.3523e+00 8.0932e-01 3.9064e-02 6.4633e-02 1.5777e-02 7.6849e-02 3.2284e-01 6.5000e-01
5.0000e-03 7.5000e-03 1.5672e+00 1.6732e+00 6.2657e+00 7.8982e-01 3.8542e-02 6.5693e-02 1.6017e-02 7.8018e-02 3.2158e-01 6.5000e-01
