# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.1060e+00 1.1563e+00 1.2976e+01 8.8697e-01 8.6128e-02 1.6069e-02 1.0529e-02 2.3181e-02 7.2505e-01 7.0000e-01
7.3684e-04 7.9114e-04 1.3778e+00 1.4606e+00 1.2176e+01 1.2411e+00 8.6747e-02 1.9892e-02 1.2686e-02 2.8234e-02 6.5378e-01 7.0000e-01
9.7368e-04 1.0685e-03 1.5612e+00 1.6728e+00 1.1498e+01 1.5003e+00 8.7087e-02 2.3247e-02 1.4495e-02 3.2526e-02 6.1557e-01 7.0000e-01
1.2105e-03 1.3571e-03 1.6848e+00 1.8199e+00 1.0917e+01 1.6806e+00 8.7198e-02 2.6281e-02 1.6082e-02 3.6305e-02 5.9207e-01 7.0000e-01
1.4474e-03 1.6569e-03 1.7670e+00 1.9203e+00 1.0415e+01 1.7995e+00 8.7125e-02 2.9064e-02 1.7507e-02 3.9702e-02 5.7632e-01 7.0000e-01
1.6842e-03 1.9679e-03 1.8204e+00 1.9869e+00 9.9765e+00 1.8726e+00 8.6905e-02 3.1640e-02 1.8808e-02 4.2792e-02 5.6509e-01 7.0000e-01
1.9211e-03 2.2901e-03 1.8532e+00 2.0288e+00 9.5916e+00 1.9118e+00 8.6569e-02 3.4036e-02 2.0007e-02 4.5627e-02 5.5670e-01 7.0000e-01
2.1579e-03 2.6235e-03 1.8713e+00 2.0526e+00 9.2512e+00 1.9266e+00 8.6142e-02 3.6272e-02 2.1120e-02 4.8244e-02 5.5017e-01 7.0000e-01
2.3947e-03 2.9682e-03 1.8790e+00 2.0630e+00 8.9484e+00 1.9238e+00 8.5646e-02 3.8364e-02 2.2157e-02 5.0670e-02 5.4492e-01 7.0000e-01
2.6316e-03 3.3241e-03 1.8790e+00 2.0637e+00 8.6777e+00 1.9087e+00 8.5097e-02 4.0324e-02 2.3127e-02 5.2927e-02 5.4059e-01 7.0000e-01
2.8684e-03 3.6912e-03 1.8736e+00 2.0572e+00 8.4343e+00 1.8849e+00 8.4510e-02 4.2164e-02 2.4037e-02 5.5032e-02 5.3693e-01 7.0000e-01
3.1053e-03 4.0695e-03 1.8643e+00 2.0454e+00 8.2147e+00 1.8552e+00 8.3895e-02 4.3894e-02 2.4892e-02 5.7000e-02 5.3377e-01 7.0000e-01
3.3421e-03 4.4591e-03 1.8522e+00 2.0297e+00 8.0156e+00 1.8217e+00 8.3260e-02 4.5520e-02 2.5698e-02 5.8843e-02 5.3100e-01 7.0000e-01
3.5789e-03 4.8598e-03 1.8382e+00 2.0113e+00 7.8345e+00 1.7859e+00 8.2613e-02 4.7052e-02 2.6457e-02 6.0571e-02 5.2853e-01 7.0000e-01
3.8158e-03 5.2718e-03 1.8228e+00 1.9910e+00 7.6691e+00 1.7487e+00 8.1958e-02 4.8496e-02 2.7174e-02 6.2195e-02 5.2629e-01 7.0000e-01
4.0526e-03 5.6950e-03 1.8066e+00 1.9694e+00 7.5175e+00 1.7111e+00 8.1300e-02 4.9858e-02 2.7851e-02 6.3722e-02 5.2426e-01 7.0000e-01
4.2895e-03 6.1294e-03 1.7898e+00 1.9470e+00 7.3783e+00 1.6734e+00 8.0643e-02 5.1143e-02 2.8492e-02 6.5160e-02 5.2238e-01 7.0000e-01
4.5263e-03 6.5751e-03 1.7728e+00 1.9241e+00 7.2500e+00 1.6362e+00 7.9987e-02 5.2356e-02 2.9099e-02 6.6514e-02 5.2063e-01 7.0000e-01
4.7632e-03 7.0319e-03 1.7557e+00 1.9010e+00 7.1315e+00 1.5998e+00 7.9336e-02 5.3503e-02 2.9674e-02 6.7791e-02 5.1899e-01 7.0000e-01
5.0000e-03 7.5000e-03 1.7386e+00 1.8779e+00 7.0218e+00 1.5642e+00 7.8690e-02 5.4587e-02 3.0219e-02 6.8996e-02 5.1744e-01 7.0000e-01
