# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.0146e+00 1.0619e+00 1.1219e+01 3.1803e-01 2.6541e-02 1.5866e-02 2.9506e-03 2.6973e-02 3.0893e-01 8.0000e-01
7.3684e-04 7.9114e-04 1.2498e+00 1.3262e+00 1.0558e+01 4.2031e-01 2.4719e-02 1.9371e-02 3.5468e-03 3.2671e-02 2.6908e-01 8.0000e-01
9.7368e-04 1.0685e-03 1.4045e+00 1.5058e+00 1.0007e+01 4.8498e-01 2.3121e-02 2.2307e-02 4.0353e-03 3.7425e-02 2.4586e-01 8.0000e-01
1.2105e-03 1.3571e-03 1.5068e+00 1.6280e+00 9.5405e+00 5.2311e-01 2.1726e-02 2.4849e-02 4.4515e-03 4.1545e-02 2.3039e-01 8.0000e-01
1.4474e-03 1.6569e-03 1.5743e+00 1.7105e+00 9.1408e+00 5.4332e-01 2.0507e-02 2.7093e-02 4.8146e-03 4.5194e-02 2.1923e-01 8.0000e-01
1.6842e-03 1.9679e-03 1.6179e+00 1.7650e+00 8.7943e+00 5.5165e-01 1.9440e-02 2.9102e-02 5.1365e-03 4.8476e-02 2.1075e-01 8.0000e-01
1.9211e-03 2.2901e-03 1.6450e+00 1.7996e+00 8.4909e+00 5.5218e-01 1.8503e-02 3.0920e-02 5.4255e-03 5.1458e-02 2.0405e-01 8.0000e-01
2.1579e-03 2.6235e-03 1.6605e+00 1.8198e+00 8.2229e+00 5.4764e-01 1.7676e-02 3.2578e-02 5.6874e-03 5.4189e-02 1.9862e-01 8.0000e-01
2.3947e-03 2.9682e-03 1.6676e+00 1.8293e+00 7.9844e+00 5.3985e-01 1.6943e-02 3.4101e-02 5.9265e-03 5.6706e-02 1.9412e-01 8.0000e-01
2.6316e-03 3.3241e-03 1.6688e+00 1.8312e+00 7.7706e+00 5.3005e-01 1.6291e-02 3.5507e-02 6.1462e-03 5.9038e-02 1.9032e-01 8.0000e-01
2.8684e-03 3.6912e-03 1.6657e+00 1.8272e+00 7.5779e+00 5.1907e-01 1.5709e-02 3.6812e-02 6.3492e-03 6.1207e-02 1.8708e-01 8.0000e-01
3.1053e-03 4.0695e-03 1.6594e+00 1.8191e+00 7.4033e+00 5.0746e-01 1.5187e-02 3.8028e-02 6.5375e-03 6.3230e-02 1.8429e-01 8.0000e-01
3.3421e-03 4.4591e-03 1.6509e+00 1.8078e+00 7.2442e+00 4.9560e-01 1.4716e-02 3.9164e-02 6.7130e-03 6.5124e-02 1.8185e-01 8.0000e-01
3.5789e-03 4.8598e-03 1.6407e+00 1.7942e+00 7.0987e+00 4.8375e-01 1.4291e-02 4.0230e-02 6.8770e-03 6.6901e-02 1.7971e-01 8.0000e-01
3.8158e-03 5.2718e-03 1.6293e+00 1.7789e+00 6.9652e+00 4.7206e-01 1.3905e-02 4.1231e-02 7.0307e-03 6.8571e-02 1.7782e-01 8.0000e-01
4.0526e-03 5.6950e-03 1.6172e+00 1.7624e+00 6.8422e+00 4.6067e-01 1.3554e-02 4.2175e-02 7.1752e-03 7.0144e-02 1.7614e-01 8.0000e-01
4.2895e-03 6.1294e-03 1.6045e+00 1.7452e+00 6.7285e+00 4.4962e-01 1.3234e-02 4.3066e-02 7.3113e-03 7.1627e-02 1.7464e-01 8.0000e-01
4.5263e-03 6.5751e-03 1.5915e+00 1.7274e+00 6.6231e+00 4.3896e-01 1.2940e-02 4.3908e-02 7.4397e-03 7.3027e-02 1.7330e-01 8.0000e-01
4.7632e-03 7.0319e-03 1.5784e+00 1.7093e+00 6.5252e+00 4.2872e-01 1.2672e-02 4.4706e-02 7.5611e-03 7.4351e-02 1.7209e-01 8.0000e-01
5.0000e-03 7.5000e-03 1.5651e+00 1.6910e+00 6.4340e+00 4.1889e-01 1.2424e-02 4.5463e-02 7.6761e-03 7.5604e-02 1.7100e-01 8.0000e-01
