# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.3050e+00 1.3729e+00 1.2922e+01 1.2954e+00 1.1215e-01 2.0614e-02 9.6341e-03 2.5454e-02 7.6066e-01 6.0000e-01
7.3684e-04 7.9114e-04 1.5828e+00 1.6902e+00 1.1934e+01 1.7048e+00 1.1072e-01 2.5849e-02 1.1739e-02 3.1234e-02 6.8048e-01 6.0000e-01
9.7368e-04 1.0685e-03 1.7495e+00 1.8880e+00 1.1122e+01 1.9471e+00 1.0902e-01 3.0474e-02 1.3542e-02 3.6167e-02 6.3616e-01 6.0000e-01
1.2105e-03 1.3571e-03 1.8461e+00 2.0069e+00 1.0449e+01 2.0723e+00 1.0718e-01 3.4634e-02 1.5138e-02 4.0497e-02 6.0806e-01 6.0000e-01
1.4474e-03 1.6569e-03 1.8984e+00 2.0736e+00 9.8857e+00 2.1216e+00 1.0532e-01 3.8404e-02 1.6571e-02 4.4355e-02 5.8867e-01 6.0000e-01
1.6842e-03 1.9679e-03 1.9226e+00 2.1059e+00 9.4100e+00 2.1236e+00 1.0348e-01 4.1837e-02 1.7870e-02 4.7824e-02 5.7451e-01 6.0000e-01
1.9211e-03 2.2901e-03 1.9288e+00 2.1156e+00 9.0042e+00 2.0973e+00 1.0172e-01 4.4973e-02 1.9054e-02 5.0964e-02 5.6371e-01 6.0000e-01
2.1579e-03 2.6235e-03 1.9237e+00 2.1104e+00 8.6549e+00 2.0546e+00 1.0004e-01 4.7849e-02 2.0138e-02 5.3821e-02 5.5521e-01 6.0000e-01
2.3947e-03 2.9682e-03 1.9113e+00 2.0955e+00 8.3513e+00 2.0031e+00 9.8460e-02 5.0495e-02 2.1136e-02 5.6433e-02 5.4834e-01 6.0000e-01
2.6316e-03 3.3241e-03 1.8944e+00 2.0743e+00 8.0855e+00 1.9475e+00 9.6976e-02 5.2934e-02 2.2056e-02 5.8831e-02 5.4268e-01 6.0000e-01
2.8684e-03 3.6912e-03 1.8748e+00 2.0491e+00 7.8509e+00 1.8907e+00 9.5584e-02 5.5191e-02 2.2908e-02 6.1038e-02 5.3794e-01 6.0000e-01
3.1053e-03 4.0695e-03 1.8536e+00 2.0216e+00 7.6425e+00 1.8344e+00 9.4280e-02 5.7285e-02 2.3698e-02 6.3077e-02 5.3390e-01 6.0000e-01
3.3421e-03 4.4591e-03 1.8317e+00 1.9927e+00 7.4562e+00 1.7796e+00 9.3059e-02 5.9230e-02 2.4434e-02 6.4965e-02 5.3043e-01 6.0000e-01
3.5789e-03 4.8598e-03 1.8095e+00 1.9634e+00 7.2887e+00 1.7268e+00 9.1914e-02 6.1043e-02 2.5120e-02 6.6717e-02 5.2741e-01 6.0000e-01
3.8158e-03 5.2718e-03 1.7874e+00 1.9339e+00 7.1374e+00 1.6765e+00 9.0840e-02 6.2736e-02 2.5762e-02 6.8347e-02 5.2476e-01 6.0000e-01
4.0526e-03 5.6950e-03 1.7657e+00 1.9048e+00 7.0002e+00 1.6286e+00 8.9829e-02 6.4318e-02 2.6362e-02 6.9865e-02 5.2241e-01 6.0000e-01
4.2895e-03 6.1294e-03 1.7444e+00 1.8762e+00 6.8751e+00 1.5833e+00 8.8877e-02 6.5800e-02 2.6925e-02 7.1281e-02 5.2033e-01 6.0000e-01
4.5263e-03 6.5751e-03 1.7237e+00 1.8482e+00 6.7607e+00 1.5404e+00 8.7979e-02 6.7190e-02 2.7454e-02 7.2605e-02 5.1846e-01 6.0000e-01
4.7632e-03 7.0319e-03 1.7036e+00 1.8210e+00 6.6558e+00 1.4999e+00 8.7131e-02 6.8495e-02 2.7951e-02 7.3843e-02 5.1678e-01 6.0000e-01
5.0000e-03 7.5000e-03 1.6842e+00 1.7947e+00 6.5592e+00 1.4616e+00 8.6328e-02 6.9722e-02 2.8419e-02 7.5002e-02 5.1525e-01 6.0000e-01
