# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.1951e+00 1.2604e+00 1.1181e+01 5.6344e-01 4.6972e-02 2.3750e-02 4.4233e-03 2.9564e-02 3.9448e-01 6.5000e-01
7.3684e-04 7.9114e-04 1.4214e+00 1.5204e+00 1.0383e+01 7.0069e-01 4.3395e-02 2.9051e-02 5.3408e-03 3.5809e-02 3.4682e-01 6.5000e-01
9.7368e-04 1.0685e-03 1.5532e+00 1.6778e+00 9.7478e+00 7.7080e-01 4.0392e-02 3.3442e-02 6.0901e-03 4.0963e-02 3.1949e-01 6.5000e-01
1.2105e-03 1.3571e-03 1.6297e+00 1.7719e+00 9.2307e+00 8.0090e-01 3.7868e-02 3.7194e-02 6.7247e-03 4.5372e-02 3.0156e-01 6.5000e-01
1.4474e-03 1.6569e-03 1.6724e+00 1.8261e+00 8.8016e+00 8.0779e-01 3.5735e-02 4.0466e-02 7.2744e-03 4.9229e-02 2.8881e-01 6.5000e-01
1.6842e-03 1.9679e-03 1.6940e+00 1.8544e+00 8.4395e+00 8.0138e-01 3.3919e-02 4.3363e-02 7.7585e-03 5.2653e-02 2.7925e-01 6.5000e-01
1.9211e-03 2.2901e-03 1.7022e+00 1.8656e+00 8.1294e+00 7.8750e-01 3.2359e-02 4.5958e-02 8.1902e-03 5.5728e-02 2.7179e-01 6.5000e-01
2.1579e-03 2.6235e-03 1.7015e+00 1.8653e+00 7.8607e+00 7.6959e-01 3.1010e-02 4.8304e-02 8.5790e-03 5.8513e-02 2.6581e-01 6.5000e-01
2.3947e-03 2.9682e-03 1.6951e+00 1.8573e+00 7.6253e+00 7.4971e-01 2.9834e-02 5.0442e-02 8.9319e-03 6.1053e-02 2.6092e-01 6.5000e-01
2.6316e-03 3.3241e-03 1.6849e+00 1.8441e+00 7.4173e+00 7.2910e-01 2.8801e-02 5.2402e-02 9.2544e-03 6.3382e-02 2.5684e-01 6.5000e-01
2.8684e-03 3.6912e-03 1.6721e+00 1.8274e+00 7.2321e+00 7.0849e-01 2.7889e-02 5.4209e-02 9.5508e-03 6.5528e-02 2.5339e-01 6.5000e-01
3.1053e-03 4.0695e-03 1.6578e+00 1.8084e+00 7.0660e+00 6.8832e-01 2.7078e-02 5.5882e-02 9.8243e-03 6.7511e-02 2.5045e-01 6.5000e-01
3.3421e-03 4.4591e-03 1.6425e+00 1.7879e+00 6.9161e+00 6.6884e-01 2.6355e-02 5.7437e-02 1.0078e-02 6.9352e-02 2.4791e-01 6.5000e-01
3.5789e-03 4.8598e-03 1.6267e+00 1.7665e+00 6.7802e+00 6.5017e-01 2.5705e-02 5.8888e-02 1.0314e-02 7.1064e-02 2.4571e-01 6.5000e-01
3.8158e-03 5.2718e-03 1.6106e+00 1.7446e+00 6.6564e+00 6.3239e-01 2.5120e-02 6.0245e-02 1.0534e-02 7.2661e-02 2.4378e-01 6.5000e-01
4.0526e-03 5.6950e-03 1.5945e+00 1.7226e+00 6.5431e+00 6.1551e-01 2.4590e-02 6.1516e-02 1.0740e-02 7.4152e-02 2.4209e-01 6.5000e-01
4.2895e-03 6.1294e-03 1.5785e+00 1.7007e+00 6.4391e+00 5.9951e-01 2.4109e-02 6.2711e-02 1.0933e-02 7.5548e-02 2.4059e-01 6.5000e-01
4.5263e-03 6.5751e-03 1.5628e+00 1.6790e+00 6.3433e+00 5.8437e-01 2.3671e-02 6.3836e-02 1.1114e-02 7.6856e-02 2.3927e-01 6.5000e-01
4.7632e-03 7.0319e-03 1.5473e+00 1.6576e+00 6.2548e+00 5.7005e-01 2.3271e-02 6.4896e-02 1.1285e-02 7.8084e-02 2.3810e-01 6.5000e-01
5.0000e-03 7.5000e-03 1.5322e+00 1.6367e+00 6.1728e+00 5.5651e-01 2.2905e-02 6.5896e-02 1.1446e-02 7.9237e-02 2.3705e-01 6.5000e-01
