# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.0109e+00 1.0555e+00 1.1960e+01 5.5006e-01 5.1527e-02 1.3586e-02 6.8000e-03 2.4707e-02 5.3823e-01 8.0000e-01
7.3684e-04 7.9114e-04 1.2626e+00 1.3364e+00 1.1271e+01 7.6740e-01 5.1252e-02 1.6783e-02 8.1671e-03 3.0007e-02 4.8136e-01 8.0000e-01
9.7368e-04 1.0685e-03 1.4342e+00 1.5340e+00 1.0686e+01 9.2553e-01 5.0847e-02 1.9565e-02 9.3080e-03 3.4477e-02 4.4999e-01 8.0000e-01
1.2105e-03 1.3571e-03 1.5512e+00 1.6726e+00 1.0182e+01 1.0350e+00 5.0351e-02 2.2060e-02 1.0303e-02 3.8389e-02 4.3011e-01 8.0000e-01
1.4474e-03 1.6569e-03 1.6306e+00 1.7689e+00 9.7451e+00 1.1071e+00 4.9796e-02 2.4332e-02 1.1193e-02 4.1888e-02 4.1639e-01 8.0000e-01
1.6842e-03 1.9679e-03 1.6835e+00 1.8344e+00 9.3624e+00 1.1516e+00 4.9203e-02 2.6420e-02 1.2001e-02 4.5059e-02 4.0633e-01 8.0000e-01
1.9211e-03 2.2901e-03 1.7175e+00 1.8774e+00 9.0250e+00 1.1759e+00 4.8590e-02 2.8351e-02 1.2743e-02 4.7961e-02 3.9862e-01 8.0000e-01
2.1579e-03 2.6235e-03 1.7380e+00 1.9038e+00 8.7254e+00 1.1856e+00 4.7970e-02 3.0145e-02 1.3428e-02 5.0636e-02 3.9251e-01 8.0000e-01
2.3947e-03 2.9682e-03 1.7486e+00 1.9178e+00 8.4578e+00 1.1848e+00 4.7352e-02 3.1818e-02 1.4064e-02 5.3113e-02 3.8751e-01 8.0000e-01
2.6316e-03 3.3241e-03 1.7520e+00 1.9226e+00 8.2174e+00 1.1767e+00 4.6743e-02 3.3381e-02 1.4658e-02 5.5418e-02 3.8335e-01 8.0000e-01
2.8684e-03 3.6912e-03 1.7502e+00 1.9206e+00 8.0004e+00 1.1634e+00 4.6146e-02 3.4846e-02 1.5214e-02 5.7570e-02 3.7981e-01 8.0000e-01
3.1053e-03 4.0695e-03 1.7445e+00 1.9134e+00 7.8036e+00 1.1466e+00 4.5566e-02 3.6222e-02 1.5735e-02 5.9584e-02 3.7675e-01 8.0000e-01
3.3421e-03 4.4591e-03 1.7361e+00 1.9024e+00 7.6244e+00 1.1274e+00 4.5003e-02 3.7516e-02 1.6225e-02 6.1473e-02 3.7408e-01 8.0000e-01
3.5789e-03 4.8598e-03 1.7256e+00 1.8885e+00 7.4605e+00 1.1068e+00 4.4459e-02 3.8734e-02 1.6687e-02 6.3250e-02 3.7171e-01 8.0000e-01
3.8158e-03 5.2718e-03 1.7136e+00 1.8726e+00 7.3102e+00 1.0853e+00 4.3934e-02 3.9884e-02 1.7123e-02 6.4924e-02 3.6960e-01 8.0000e-01
4.0526e-03 5.6950e-03 1.7007e+00 1.8553e+00 7.1719e+00 1.0635e+00 4.3429e-02 4.0970e-02 1.7536e-02 6.6502e-02 3.6769e-01 8.0000e-01
4.2895e-03 6.1294e-03 1.6870e+00 1.8369e+00 7.0442e+00 1.0415e+00 4.2942e-02 4.1997e-02 1.7926e-02 6.7993e-02 3.6597e-01 8.0000e-01
4.5263e-03 6.5751e-03 1.6729e+00 1.8178e+00 6.9261e+00 1.0198e+00 4.2474e-02 4.2969e-02 1.8296e-02 6.9402e-02 3.6439e-01 8.0000e-01
4.7632e-03 7.0319e-03 1.6586e+00 1.7983e+00 6.8164e+00 9.9843e-01 4.2024e-02 4.3890e-02 1.8646e-02 7.0736e-02 3.6295e-01 8.0000e-01
5.0000e-03 7.5000e-03 1.6442e+00 1.7786e+00 6.7145e+00 9.7752e-01 4.1591e-02 4.4763e-02 1.8979e-02 7.2000e-02 3.6161e-01 8.0000e-01
