# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.2128e+00 1.2734e+00 1.2525e+01 1.0162e+00 9.3010e-02 1.9227e-02 8.4511e-03 2.5570e-02 6.9086e-01 6.5000e-01
7.3684e-04 7.9114e-04 1.4810e+00 1.5777e+00 1.1635e+01 1.3525e+00 9.1589e-02 2.3994e-02 1.0259e-02 3.1261e-02 6.1665e-01 6.5000e-01
9.7368e-04 1.0685e-03 1.6478e+00 1.7741e+00 1.0898e+01 1.5623e+00 8.9983e-02 2.8177e-02 1.1796e-02 3.6094e-02 5.7536e-01 6.5000e-01
1.2105e-03 1.3571e-03 1.7496e+00 1.8978e+00 1.0281e+01 1.6805e+00 8.8297e-02 3.1928e-02 1.3150e-02 4.0328e-02 5.4900e-01 6.5000e-01
1.4474e-03 1.6569e-03 1.8093e+00 1.9726e+00 9.7601e+00 1.7371e+00 8.6605e-02 3.5324e-02 1.4363e-02 4.4102e-02 5.3068e-01 6.5000e-01
1.6842e-03 1.9679e-03 1.8414e+00 2.0142e+00 9.3159e+00 1.7536e+00 8.4952e-02 3.8421e-02 1.5462e-02 4.7502e-02 5.1720e-01 6.5000e-01
1.9211e-03 2.2901e-03 1.8553e+00 2.0333e+00 8.9336e+00 1.7447e+00 8.3366e-02 4.1255e-02 1.6464e-02 5.0589e-02 5.0685e-01 6.5000e-01
2.1579e-03 2.6235e-03 1.8573e+00 2.0369e+00 8.6016e+00 1.7201e+00 8.1859e-02 4.3861e-02 1.7384e-02 5.3408e-02 4.9864e-01 6.5000e-01
2.3947e-03 2.9682e-03 1.8513e+00 2.0301e+00 8.3109e+00 1.6861e+00 8.0438e-02 4.6264e-02 1.8231e-02 5.5995e-02 4.9198e-01 6.5000e-01
2.6316e-03 3.3241e-03 1.8400e+00 2.0162e+00 8.0546e+00 1.6469e+00 7.9103e-02 4.8488e-02 1.9015e-02 5.8378e-02 4.8644e-01 6.5000e-01
2.8684e-03 3.6912e-03 1.8253e+00 1.9974e+00 7.8270e+00 1.6052e+00 7.7852e-02 5.0551e-02 1.9742e-02 6.0582e-02 4.8178e-01 6.5000e-01
3.1053e-03 4.0695e-03 1.8084e+00 1.9755e+00 7.6237e+00 1.5626e+00 7.6680e-02 5.2470e-02 2.0418e-02 6.2625e-02 4.7780e-01 6.5000e-01
3.3421e-03 4.4591e-03 1.7902e+00 1.9516e+00 7.4409e+00 1.5202e+00 7.5582e-02 5.4259e-02 2.1049e-02 6.4524e-02 4.7435e-01 6.5000e-01
3.5789e-03 4.8598e-03 1.7713e+00 1.9266e+00 7.2759e+00 1.4788e+00 7.4553e-02 5.5930e-02 2.1638e-02 6.6293e-02 4.7134e-01 6.5000e-01
3.8158e-03 5.2718e-03 1.7520e+00 1.9009e+00 7.1262e+00 1.4387e+00 7.3588e-02 5.7495e-02 2.2191e-02 6.7945e-02 4.6869e-01 6.5000e-01
4.0526e-03 5.6950e-03 1.7327e+00 1.8750e+00 6.9898e+00 1.4001e+00 7.2681e-02 5.8962e-02 2.2709e-02 6.9490e-02 4.6634e-01 6.5000e-01
4.2895e-03 6.1294e-03 1.7136e+00 1.8492e+00 6.8651e+00 1.3632e+00 7.1829e-02 6.0340e-02 2.3196e-02 7.0936e-02 4.6424e-01 6.5000e-01
4.5263e-03 6.5751e-03 1.6948e+00 1.8237e+00 6.7506e+00 1.3280e+00 7.1026e-02 6.1635e-02 2.3654e-02 7.2292e-02 4.6236e-01 6.5000e-01
4.7632e-03 7.0319e-03 1.6764e+00 1.7987e+00 6.6453e+00 1.2945e+00 7.0268e-02 6.2855e-02 2.4086e-02 7.3566e-02 4.6066e-01 6.5000e-01
5.0000e-03 7.5000e-03 1.6584e+00 1.7742e+00 6.5480e+00 1.2627e+00 6.9552e-02 6.4005e-02 2.4494e-02 7.4763e-02 4.5912e-01 6.5000e-01
