# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.3636e+00 1.4326e+00 1.4481e+01 1.7111e+00 1.4244e-01 1.9611e-02 1.2729e-02 2.2190e-02 9.2023e-01 5.5000e-01
7.3684e-04 7.9114e-04 1.6759e+00 1.7874e+00 1.3388e+01 2.3311e+00 1.4351e-01 2.4558e-02 1.5474e-02 2.7339e-02 8.2995e-01 5.5000e-01
9.7368e-04 1.0685e-03 1.8736e+00 2.0206e+00 1.2475e+01 2.7420e+00 1.4401e-01 2.8993e-02 1.7834e-02 3.1809e-02 7.8115e-01 5.5000e-01
1.2105e-03 1.3571e-03 1.9951e+00 2.1690e+00 1.1706e+01 2.9886e+00 1.4403e-01 3.3059e-02 1.9942e-02 3.5804e-02 7.5085e-01 5.5000e-01
1.4474e-03 1.6569e-03 2.0657e+00 2.2582e+00 1.1054e+01 3.1164e+00 1.4370e-01 3.6815e-02 2.1860e-02 3.9420e-02 7.3032e-01 5.5000e-01
1.6842e-03 1.9679e-03 2.1023e+00 2.3063e+00 1.0496e+01 3.1624e+00 1.4310e-01 4.0296e-02 2.3623e-02 4.2715e-02 7.1554e-01 5.5000e-01
1.9211e-03 2.2901e-03 2.1161e+00 2.3261e+00 1.0018e+01 3.1543e+00 1.4231e-01 4.3523e-02 2.5250e-02 4.5729e-02 7.0439e-01 5.5000e-01
2.1579e-03 2.6235e-03 2.1149e+00 2.3265e+00 9.6042e+00 3.1118e+00 1.4138e-01 4.6515e-02 2.6756e-02 4.8492e-02 6.9569e-01 5.5000e-01
2.3947e-03 2.9682e-03 2.1039e+00 2.3138e+00 9.2443e+00 3.0484e+00 1.4036e-01 4.9289e-02 2.8153e-02 5.1029e-02 6.8868e-01 5.5000e-01
2.6316e-03 3.3241e-03 2.0865e+00 2.2926e+00 8.9293e+00 2.9730e+00 1.3929e-01 5.1863e-02 2.9450e-02 5.3362e-02 6.8290e-01 5.5000e-01
2.8684e-03 3.6912e-03 2.0652e+00 2.2657e+00 8.6520e+00 2.8918e+00 1.3818e-01 5.4252e-02 3.0657e-02 5.5512e-02 6.7803e-01 5.5000e-01
3.1053e-03 4.0695e-03 2.0415e+00 2.2354e+00 8.4064e+00 2.8085e+00 1.3706e-01 5.6470e-02 3.1780e-02 5.7495e-02 6.7386e-01 5.5000e-01
3.3421e-03 4.4591e-03 2.0166e+00 2.2031e+00 8.1879e+00 2.7256e+00 1.3593e-01 5.8533e-02 3.2828e-02 5.9327e-02 6.7023e-01 5.5000e-01
3.5789e-03 4.8598e-03 1.9911e+00 2.1699e+00 7.9923e+00 2.6445e+00 1.3481e-01 6.0453e-02 3.3805e-02 6.1021e-02 6.6703e-01 5.5000e-01
3.8158e-03 5.2718e-03 1.9657e+00 2.1364e+00 7.8166e+00 2.5662e+00 1.3369e-01 6.2242e-02 3.4719e-02 6.2591e-02 6.6417e-01 5.5000e-01
4.0526e-03 5.6950e-03 1.9405e+00 2.1031e+00 7.6580e+00 2.4912e+00 1.3260e-01 6.3909e-02 3.5573e-02 6.4046e-02 6.6160e-01 5.5000e-01
4.2895e-03 6.1294e-03 1.9158e+00 2.0704e+00 7.5142e+00 2.4197e+00 1.3151e-01 6.5464e-02 3.6374e-02 6.5396e-02 6.5925e-01 5.5000e-01
4.5263e-03 6.5751e-03 1.8918e+00 2.0384e+00 7.3836e+00 2.3517e+00 1.3045e-01 6.6917e-02 3.7123e-02 6.6650e-02 6.5710e-01 5.5000e-01
4.7632e-03 7.0319e-03 1.8685e+00 2.0073e+00 7.2643e+00 2.2873e+00 1.2940e-01 6.8275e-02 3.7827e-02 6.7815e-02 6.5511e-01 5.5000e-01
5.0000e-03 7.5000e-03 1.8460e+00 1.9772e+00 7.1552e+00 2.2262e+00 1.2837e-01 6.9544e-02 3.8487e-02 6.8898e-02 6.5326e-01 5.5000e-01
