# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.7527e+00 1.8654e+00 1.3773e+01 2.7118e+00 1.6792e-01 2.6243e-02 1.2749e-02 2.7066e-02 8.8277e-01 4.5000e-01
7.3684e-04 7.9114e-04 2.0274e+00 2.1922e+00 1.2326e+01 3.2637e+00 1.6464e-01 3.3660e-02 1.5866e-02 3.3782e-02 7.9403e-01 4.5000e-01
9.7368e-04 1.0685e-03 2.1456e+00 2.3420e+00 1.1216e+01 3.4372e+00 1.6117e-01 4.0225e-02 1.8577e-02 3.9510e-02 7.4666e-01 4.5000e-01
1.2105e-03 1.3571e-03 2.1821e+00 2.3934e+00 1.0359e+01 3.4178e+00 1.5782e-01 4.6020e-02 2.0959e-02 4.4445e-02 7.1781e-01 4.5000e-01
1.4474e-03 1.6569e-03 2.1775e+00 2.3925e+00 9.6879e+00 3.3130e+00 1.5475e-01 5.1133e-02 2.3060e-02 4.8724e-02 6.9871e-01 4.5000e-01
1.6842e-03 1.9679e-03 2.1530e+00 2.3647e+00 9.1516e+00 3.1765e+00 1.5198e-01 5.5659e-02 2.4925e-02 5.2463e-02 6.8528e-01 4.5000e-01
1.9211e-03 2.2901e-03 2.1192e+00 2.3237e+00 8.7149e+00 3.0332e+00 1.4950e-01 5.9686e-02 2.6589e-02 5.5754e-02 6.7542e-01 4.5000e-01
2.1579e-03 2.6235e-03 2.0817e+00 2.2766e+00 8.3532e+00 2.8943e+00 1.4728e-01 6.3289e-02 2.8082e-02 5.8670e-02 6.6792e-01 4.5000e-01
2.3947e-03 2.9682e-03 2.0433e+00 2.2276e+00 8.0489e+00 2.7642e+00 1.4528e-01 6.6533e-02 2.9431e-02 6.1272e-02 6.6205e-01 4.5000e-01
2.6316e-03 3.3241e-03 2.0056e+00 2.1787e+00 7.7896e+00 2.6442e+00 1.4348e-01 6.9467e-02 3.0654e-02 6.3605e-02 6.5737e-01 4.5000e-01
2.8684e-03 3.6912e-03 1.9693e+00 2.1311e+00 7.5659e+00 2.5345e+00 1.4185e-01 7.2134e-02 3.1768e-02 6.5708e-02 6.5356e-01 4.5000e-01
3.1053e-03 4.0695e-03 1.9347e+00 2.0854e+00 7.3711e+00 2.4344e+00 1.4036e-01 7.4568e-02 3.2788e-02 6.7611e-02 6.5041e-01 4.5000e-01
3.3421e-03 4.4591e-03 1.9018e+00 2.0418e+00 7.1999e+00 2.3430e+00 1.3899e-01 7.6797e-02 3.3724e-02 6.9339e-02 6.4778e-01 4.5000e-01
3.5789e-03 4.8598e-03 1.8709e+00 2.0005e+00 7.0485e+00 2.2595e+00 1.3773e-01 7.8846e-02 3.4586e-02 7.0913e-02 6.4555e-01 4.5000e-01
3.8158e-03 5.2718e-03 1.8416e+00 1.9613e+00 6.9136e+00 2.1831e+00 1.3657e-01 8.0733e-02 3.5382e-02 7.2350e-02 6.4365e-01 4.5000e-01
4.0526e-03 5.6950e-03 1.8141e+00 1.9243e+00 6.7928e+00 2.1129e+00 1.3548e-01 8.2475e-02 3.6118e-02 7.3665e-02 6.4202e-01 4.5000e-01
4.2895e-03 6.1294e-03 1.7881e+00 1.8893e+00 6.6840e+00 2.0483e+00 1.3447e-01 8.4087e-02 3.6800e-02 7.4870e-02 6.4061e-01 4.5000e-01
4.5263e-03 6.5751e-03 1.7636e+00 1.8563e+00 6.5856e+00 1.9887e+00 1.3352e-01 8.5581e-02 3.7433e-02 7.5977e-02 6.3937e-01 4.5000e-01
4.7632e-03 7.0319e-03 1.7405e+00 1.8250e+00 6.4964e+00 1.9336e+00 1.3262e-01 8.6967e-02 3.8022e-02 7.6993e-02 6.3829e-01 4.5000e-01
5.0000e-03 7.5000e-03 1.7186e+00 1.7954e+00 6.4150e+00 1.8825e+00 1.3177e-01 8.8255e-02 3.8570e-02 7.7927e-02 6.3733e-01 4.5000e-01
