# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.3991e+00 1.4728e+00 1.3912e+01 1.7213e+00 1.3945e-01 2.0727e-02 1.1760e-02 2.3812e-02 8.7933e-01 5.5000e-01
7.3684e-04 7.9114e-04 1.7024e+00 1.8197e+00 1.2802e+01 2.2907e+00 1.3932e-01 2.6085e-02 1.4349e-02 2.9373e-02 7.9039e-01 5.5000e-01
9.7368e-04 1.0685e-03 1.8849e+00 2.0369e+00 1.1886e+01 2.6355e+00 1.3865e-01 3.0889e-02 1.6588e-02 3.4186e-02 7.4181e-01 5.5000e-01
1.2105e-03 1.3571e-03 1.9897e+00 2.1665e+00 1.1124e+01 2.8162e+00 1.3762e-01 3.5269e-02 1.8590e-02 3.8458e-02 7.1137e-01 5.5000e-01
1.4474e-03 1.6569e-03 2.0448e+00 2.2374e+00 1.0486e+01 2.8874e+00 1.3635e-01 3.9282e-02 2.0405e-02 4.2293e-02 6.9061e-01 5.5000e-01
1.6842e-03 1.9679e-03 2.0681e+00 2.2693e+00 9.9477e+00 2.8895e+00 1.3495e-01 4.2964e-02 2.2062e-02 4.5759e-02 6.7560e-01 5.5000e-01
1.9211e-03 2.2901e-03 2.0713e+00 2.2757e+00 9.4905e+00 2.8499e+00 1.3349e-01 4.6346e-02 2.3581e-02 4.8902e-02 6.6427e-01 5.5000e-01
2.1579e-03 2.6235e-03 2.0619e+00 2.2655e+00 9.0987e+00 2.7865e+00 1.3202e-01 4.9456e-02 2.4977e-02 5.1763e-02 6.5542e-01 5.5000e-01
2.3947e-03 2.9682e-03 2.0448e+00 2.2448e+00 8.7603e+00 2.7106e+00 1.3056e-01 5.2319e-02 2.6264e-02 5.4376e-02 6.4832e-01 5.5000e-01
2.6316e-03 3.3241e-03 2.0230e+00 2.2176e+00 8.4656e+00 2.6293e+00 1.2915e-01 5.4959e-02 2.7453e-02 5.6767e-02 6.4249e-01 5.5000e-01
2.8684e-03 3.6912e-03 1.9985e+00 2.1864e+00 8.2072e+00 2.5467e+00 1.2778e-01 5.7399e-02 2.8554e-02 5.8963e-02 6.3762e-01 5.5000e-01
3.1053e-03 4.0695e-03 1.9728e+00 2.1531e+00 7.9790e+00 2.4654e+00 1.2646e-01 5.9657e-02 2.9575e-02 6.0983e-02 6.3348e-01 5.5000e-01
3.3421e-03 4.4591e-03 1.9465e+00 2.1188e+00 7.7762e+00 2.3867e+00 1.2519e-01 6.1752e-02 3.0523e-02 6.2845e-02 6.2992e-01 5.5000e-01
3.5789e-03 4.8598e-03 1.9203e+00 2.0843e+00 7.5949e+00 2.3115e+00 1.2398e-01 6.3697e-02 3.1407e-02 6.4567e-02 6.2681e-01 5.5000e-01
3.8158e-03 5.2718e-03 1.8946e+00 2.0502e+00 7.4321e+00 2.2401e+00 1.2281e-01 6.5508e-02 3.2231e-02 6.6160e-02 6.2408e-01 5.5000e-01
4.0526e-03 5.6950e-03 1.8694e+00 2.0167e+00 7.2851e+00 2.1725e+00 1.2170e-01 6.7195e-02 3.3001e-02 6.7636e-02 6.2165e-01 5.5000e-01
4.2895e-03 6.1294e-03 1.8451e+00 1.9841e+00 7.1519e+00 2.1088e+00 1.2063e-01 6.8769e-02 3.3721e-02 6.9007e-02 6.1948e-01 5.5000e-01
4.5263e-03 6.5751e-03 1.8215e+00 1.9526e+00 7.0307e+00 2.0488e+00 1.1960e-01 7.0239e-02 3.4396e-02 7.0281e-02 6.1751e-01 5.5000e-01
4.7632e-03 7.0319e-03 1.7988e+00 1.9221e+00 6.9201e+00 1.9923e+00 1.1861e-01 7.1614e-02 3.5028e-02 7.1466e-02 6.1572e-01 5.5000e-01
5.0000e-03 7.5000e-03 1.7770e+00 1.8927e+00 6.8187e+00 1.9391e+00 1.1766e-01 7.2902e-02 3.5622e-02 7.2569e-02 6.1409e-01 5.5000e-01
