# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.6742e+00 1.7695e+00 1.5742e+01 2.8691e+00 1.8654e-01 2.1854e-02 1.4022e-02 2.1881e-02 1.0237e+00 4.5000e-01
7.3684e-04 7.9114e-04 2.0268e+00 2.1780e+00 1.4261e+01 3.7858e+00 1.8752e-01 2.7861e-02 1.7293e-02 2.7474e-02 9.2157e-01 4.5000e-01
9.7368e-04 1.0685e-03 2.2255e+00 2.4195e+00 1.3046e+01 4.2898e+00 1.8752e-01 3.3400e-02 2.0199e-02 3.2467e-02 8.6609e-01 4.5000e-01
1.2105e-03 1.3571e-03 2.3250e+00 2.5469e+00 1.2052e+01 4.4957e+00 1.8682e-01 3.8531e-02 2.2843e-02 3.6969e-02 8.3168e-01 4.5000e-01
1.4474e-03 1.6569e-03 2.3628e+00 2.5997e+00 1.1240e+01 4.5143e+00 1.8565e-01 4.3254e-02 2.5257e-02 4.1022e-02 8.0860e-01 4.5000e-01
1.6842e-03 1.9679e-03 2.3641e+00 2.6063e+00 1.0574e+01 4.4278e+00 1.8422e-01 4.7566e-02 2.7458e-02 4.4655e-02 7.9225e-01 4.5000e-01
1.9211e-03 2.2901e-03 2.3446e+00 2.5853e+00 1.0024e+01 4.2887e+00 1.8266e-01 5.1486e-02 2.9460e-02 4.7906e-02 7.8015e-01 4.5000e-01
2.1579e-03 2.6235e-03 2.3140e+00 2.5489e+00 9.5666e+00 4.1278e+00 1.8106e-01 5.5042e-02 3.1282e-02 5.0815e-02 7.7091e-01 4.5000e-01
2.3947e-03 2.9682e-03 2.2779e+00 2.5043e+00 9.1814e+00 3.9622e+00 1.7945e-01 5.8266e-02 3.2940e-02 5.3422e-02 7.6363e-01 4.5000e-01
2.6316e-03 3.3241e-03 2.2396e+00 2.4560e+00 8.8540e+00 3.8006e+00 1.7787e-01 6.1195e-02 3.4452e-02 5.5762e-02 7.5775e-01 4.5000e-01
2.8684e-03 3.6912e-03 2.2009e+00 2.4066e+00 8.5730e+00 3.6471e+00 1.7633e-01 6.3859e-02 3.5834e-02 5.7869e-02 7.5292e-01 4.5000e-01
3.1053e-03 4.0695e-03 2.1630e+00 2.3577e+00 8.3297e+00 3.5036e+00 1.7484e-01 6.6287e-02 3.7098e-02 5.9769e-02 7.4886e-01 4.5000e-01
3.3421e-03 4.4591e-03 2.1264e+00 2.3100e+00 8.1174e+00 3.3704e+00 1.7339e-01 6.8506e-02 3.8259e-02 6.1487e-02 7.4540e-01 4.5000e-01
3.5789e-03 4.8598e-03 2.0914e+00 2.2642e+00 7.9308e+00 3.2471e+00 1.7199e-01 7.0536e-02 3.9325e-02 6.3043e-02 7.4240e-01 4.5000e-01
3.8158e-03 5.2718e-03 2.0580e+00 2.2203e+00 7.7658e+00 3.1333e+00 1.7064e-01 7.2398e-02 4.0307e-02 6.4455e-02 7.3978e-01 4.5000e-01
4.0526e-03 5.6950e-03 2.0264e+00 2.1786e+00 7.6191e+00 3.0282e+00 1.6932e-01 7.4107e-02 4.1213e-02 6.5737e-02 7.3745e-01 4.5000e-01
4.2895e-03 6.1294e-03 1.9964e+00 2.1389e+00 7.4881e+00 2.9309e+00 1.6804e-01 7.5678e-02 4.2049e-02 6.6903e-02 7.3536e-01 4.5000e-01
4.5263e-03 6.5751e-03 1.9680e+00 2.1013e+00 7.3705e+00 2.8409e+00 1.6679e-01 7.7124e-02 4.2822e-02 6.7963e-02 7.3348e-01 4.5000e-01
4.7632e-03 7.0319e-03 1.9412e+00 2.0656e+00 7.2645e+00 2.7573e+00 1.6557e-01 7.8455e-02 4.3538e-02 6.8927e-02 7.3175e-01 4.5000e-01
5.0000e-03 7.5000e-03 1.9157e+00 2.0318e+00 7.1688e+00 2.6797e+00 1.6438e-01 7.9681e-02 4.4200e-02 6.9805e-02 7.3016e-01 4.5000e-01
