# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.5662e+00 1.6582e+00 1.3620e+01 2.1108e+00 1.5041e-01 2.3885e-02 1.1699e-02 2.5986e-02 8.6052e-01 5.0000e-01
7.3684e-04 7.9114e-04 1.8545e+00 1.9944e+00 1.2358e+01 2.6555e+00 1.4821e-01 3.0356e-02 1.4427e-02 3.2223e-02 7.7216e-01 5.0000e-01
9.7368e-04 1.0685e-03 2.0033e+00 2.1767e+00 1.1353e+01 2.9059e+00 1.4566e-01 3.6123e-02 1.6800e-02 3.7581e-02 7.2408e-01 5.0000e-01
1.2105e-03 1.3571e-03 2.0713e+00 2.2646e+00 1.0550e+01 2.9782e+00 1.4302e-01 4.1289e-02 1.8904e-02 4.2263e-02 6.9418e-01 5.0000e-01
1.4474e-03 1.6569e-03 2.0933e+00 2.2961e+00 9.9017e+00 2.9534e+00 1.4044e-01 4.5922e-02 2.0784e-02 4.6388e-02 6.7399e-01 5.0000e-01
1.6842e-03 1.9679e-03 2.0896e+00 2.2946e+00 9.3711e+00 2.8798e+00 1.3801e-01 5.0086e-02 2.2473e-02 5.0046e-02 6.5954e-01 5.0000e-01
1.9211e-03 2.2901e-03 2.0716e+00 2.2741e+00 8.9311e+00 2.7842e+00 1.3575e-01 5.3838e-02 2.3997e-02 5.3309e-02 6.4876e-01 5.0000e-01
2.1579e-03 2.6235e-03 2.0461e+00 2.2429e+00 8.5612e+00 2.6812e+00 1.3366e-01 5.7233e-02 2.5377e-02 5.6236e-02 6.4043e-01 5.0000e-01
2.3947e-03 2.9682e-03 2.0168e+00 2.2061e+00 8.2465e+00 2.5781e+00 1.3174e-01 6.0317e-02 2.6634e-02 5.8874e-02 6.3383e-01 5.0000e-01
2.6316e-03 3.3241e-03 1.9859e+00 2.1665e+00 7.9757e+00 2.4787e+00 1.2998e-01 6.3129e-02 2.7783e-02 6.1262e-02 6.2849e-01 5.0000e-01
2.8684e-03 3.6912e-03 1.9548e+00 2.1261e+00 7.7403e+00 2.3848e+00 1.2836e-01 6.5703e-02 2.8836e-02 6.3434e-02 6.2408e-01 5.0000e-01
3.1053e-03 4.0695e-03 1.9241e+00 2.0858e+00 7.5341e+00 2.2969e+00 1.2686e-01 6.8068e-02 2.9805e-02 6.5415e-02 6.2039e-01 5.0000e-01
3.3421e-03 4.4591e-03 1.8943e+00 2.0465e+00 7.3518e+00 2.2151e+00 1.2548e-01 7.0246e-02 3.0700e-02 6.7229e-02 6.1726e-01 5.0000e-01
3.5789e-03 4.8598e-03 1.8656e+00 2.0083e+00 7.1897e+00 2.1391e+00 1.2419e-01 7.2258e-02 3.1528e-02 6.8893e-02 6.1459e-01 5.0000e-01
3.8158e-03 5.2718e-03 1.8381e+00 1.9716e+00 7.0447e+00 2.0687e+00 1.2298e-01 7.4121e-02 3.2297e-02 7.0424e-02 6.1227e-01 5.0000e-01
4.0526e-03 5.6950e-03 1.8119e+00 1.9364e+00 6.9143e+00 2.0034e+00 1.2186e-01 7.5849e-02 3.3011e-02 7.1835e-02 6.1025e-01 5.0000e-01
4.2895e-03 6.1294e-03 1.7869e+00 1.9027e+00 6.7964e+00 1.9428e+00 1.2081e-01 7.7456e-02 3.3676e-02 7.3138e-02 6.0847e-01 5.0000e-01
4.5263e-03 6.5751e-03 1.7630e+00 1.8706e+00 6.6894e+00 1.8864e+00 1.1981e-01 7.8952e-02 3.4296e-02 7.4342e-02 6.0689e-01 5.0000e-01
4.7632e-03 7.0319e-03 1.7404e+00 1.8399e+00 6.5919e+00 1.8339e+00 1.1888e-01 8.0347e-02 3.4875e-02 7.5457e-02 6.0549e-01 5.0000e-01
5.0000e-03 7.5000e-03 1.7188e+00 1.8107e+00 6.5027e+00 1.7850e+00 1.1799e-01 8.1649e-02 3.5417e-02 7.6490e-02 6.0424e-01 5.0000e-01
