# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 8.9267e-01 9.2941e-01 1.1230e+01 1.8688e-01 1.0684e-02 6.7641e-03 2.5634e-03 2.5139e-02 2.3452e-01 9.5000e-01
7.3684e-04 7.9114e-04 1.1261e+00 1.1879e+00 1.0668e+01 2.6330e-01 1.0471e-02 8.2985e-03 3.0648e-03 3.0436e-02 2.0764e-01 9.5000e-01
9.7368e-04 1.0685e-03 1.2908e+00 1.3759e+00 1.0184e+01 3.2062e-01 1.0249e-02 9.6149e-03 3.4782e-03 3.4878e-02 1.9243e-01 9.5000e-01
1.2105e-03 1.3571e-03 1.4079e+00 1.5130e+00 9.7624e+00 3.6184e-01 1.0024e-02 1.0782e-02 3.8348e-03 3.8753e-02 1.8255e-01 9.5000e-01
1.4474e-03 1.6569e-03 1.4912e+00 1.6128e+00 9.3926e+00 3.9044e-01 9.8008e-03 1.1835e-02 4.1507e-03 4.2210e-02 1.7558e-01 9.5000e-01
1.6842e-03 1.9679e-03 1.5503e+00 1.6849e+00 9.0652e+00 4.0942e-01 9.5832e-03 1.2797e-02 4.4354e-03 4.5343e-02 1.7035e-01 9.5000e-01
1.9211e-03 2.2901e-03 1.5916e+00 1.7363e+00 8.7732e+00 4.2118e-01 9.3730e-03 1.3682e-02 4.6951e-03 4.8212e-02 1.6627e-01 9.5000e-01
2.1579e-03 2.6235e-03 1.6198e+00 1.7718e+00 8.5112e+00 4.2758e-01 9.1714e-03 1.4502e-02 4.9339e-03 5.0859e-02 1.6297e-01 9.5000e-01
2.3947e-03 2.9682e-03 1.6381e+00 1.7953e+00 8.2748e+00 4.3000e-01 8.9791e-03 1.5265e-02 5.1550e-03 5.3316e-02 1.6025e-01 9.5000e-01
2.6316e-03 3.3241e-03 1.6490e+00 1.8094e+00 8.0604e+00 4.2949e-01 8.7962e-03 1.5978e-02 5.3607e-03 5.5608e-02 1.5795e-01 9.5000e-01
2.8684e-03 3.6912e-03 1.6542e+00 1.8164e+00 7.8651e+00 4.2685e-01 8.6228e-03 1.6646e-02 5.5530e-03 5.7754e-02 1.5598e-01 9.5000e-01
3.1053e-03 4.0695e-03 1.6552e+00 1.8177e+00 7.6864e+00 4.2266e-01 8.4587e-03 1.7274e-02 5.7332e-03 5.9770e-02 1.5427e-01 9.5000e-01
3.3421e-03 4.4591e-03 1.6529e+00 1.8147e+00 7.5222e+00 4.1737e-01 8.3035e-03 1.7865e-02 5.9027e-03 6.1668e-02 1.5276e-01 9.5000e-01
3.5789e-03 4.8598e-03 1.6481e+00 1.8083e+00 7.3710e+00 4.1131e-01 8.1567e-03 1.8423e-02 6.0624e-03 6.3459e-02 1.5143e-01 9.5000e-01
3.8158e-03 5.2718e-03 1.6414e+00 1.7993e+00 7.2313e+00 4.0474e-01 8.0181e-03 1.8950e-02 6.2133e-03 6.5153e-02 1.5024e-01 9.5000e-01
4.0526e-03 5.6950e-03 1.6332e+00 1.7882e+00 7.1018e+00 3.9785e-01 7.8871e-03 1.9449e-02 6.3561e-03 6.6757e-02 1.4916e-01 9.5000e-01
4.2895e-03 6.1294e-03 1.6239e+00 1.7756e+00 6.9814e+00 3.9077e-01 7.7632e-03 1.9922e-02 6.4915e-03 6.8278e-02 1.4819e-01 9.5000e-01
4.5263e-03 6.5751e-03 1.6137e+00 1.7618e+00 6.8693e+00 3.8361e-01 7.6461e-03 2.0372e-02 6.6200e-03 6.9722e-02 1.4731e-01 9.5000e-01
4.7632e-03 7.0319e-03 1.6030e+00 1.7471e+00 6.7647e+00 3.7646e-01 7.5353e-03 2.0799e-02 6.7421e-03 7.1094e-02 1.4650e-01 9.5000e-01
5.0000e-03 7.5000e-03 1.5919e+00 1.7318e+00 6.6668e+00 3.6937e-01 7.4303e-03 2.1205e-02 6.8583e-03 7.2400e-02 1.4576e-01 9.5000e-01
