# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.0119e+00 1.0595e+00 1.1091e+01 2.5683e-01 1.9957e-02 1.6444e-02 2.3375e-03 2.7347e-02 2.5082e-01 8.0000e-01
7.3684e-04 7.9114e-04 1.2438e+00 1.3204e+00 1.0444e+01 3.3619e-01 1.8246e-02 1.9959e-02 2.8017e-03 3.3082e-02 2.1729e-01 8.0000e-01
9.7368e-04 1.0685e-03 1.3961e+00 1.4973e+00 9.9057e+00 3.8521e-01 1.6802e-02 2.2871e-02 3.1785e-03 3.7855e-02 1.9764e-01 8.0000e-01
1.2105e-03 1.3571e-03 1.4967e+00 1.6177e+00 9.4509e+00 4.1332e-01 1.5580e-02 2.5371e-02 3.4971e-03 4.1983e-02 1.8450e-01 8.0000e-01
1.4474e-03 1.6569e-03 1.5632e+00 1.6990e+00 9.0611e+00 4.2760e-01 1.4540e-02 2.7564e-02 3.7733e-03 4.5636e-02 1.7499e-01 8.0000e-01
1.6842e-03 1.9679e-03 1.6063e+00 1.7529e+00 8.7232e+00 4.3282e-01 1.3648e-02 2.9519e-02 4.0170e-03 4.8917e-02 1.6775e-01 8.0000e-01
1.9211e-03 2.2901e-03 1.6332e+00 1.7872e+00 8.4272e+00 4.3219e-01 1.2880e-02 3.1283e-02 4.2349e-03 5.1897e-02 1.6202e-01 8.0000e-01
2.1579e-03 2.6235e-03 1.6487e+00 1.8073e+00 8.1655e+00 4.2780e-01 1.2212e-02 3.2888e-02 4.4318e-03 5.4625e-02 1.5738e-01 8.0000e-01
2.3947e-03 2.9682e-03 1.6561e+00 1.8171e+00 7.9323e+00 4.2106e-01 1.1629e-02 3.4360e-02 4.6111e-03 5.7140e-02 1.5353e-01 8.0000e-01
2.6316e-03 3.3241e-03 1.6575e+00 1.8191e+00 7.7232e+00 4.1288e-01 1.1116e-02 3.5718e-02 4.7757e-03 5.9468e-02 1.5029e-01 8.0000e-01
2.8684e-03 3.6912e-03 1.6547e+00 1.8156e+00 7.5345e+00 4.0389e-01 1.0662e-02 3.6978e-02 4.9274e-03 6.1633e-02 1.4752e-01 8.0000e-01
3.1053e-03 4.0695e-03 1.6487e+00 1.8078e+00 7.3633e+00 3.9450e-01 1.0259e-02 3.8151e-02 5.0681e-03 6.3654e-02 1.4513e-01 8.0000e-01
3.3421e-03 4.4591e-03 1.6405e+00 1.7969e+00 7.2073e+00 3.8498e-01 9.8993e-03 3.9248e-02 5.1991e-03 6.5545e-02 1.4305e-01 8.0000e-01
3.5789e-03 4.8598e-03 1.6307e+00 1.7837e+00 7.0645e+00 3.7553e-01 9.5765e-03 4.0277e-02 5.3215e-03 6.7319e-02 1.4122e-01 8.0000e-01
3.8158e-03 5.2718e-03 1.6197e+00 1.7688e+00 6.9333e+00 3.6626e-01 9.2858e-03 4.1244e-02 5.4361e-03 6.8987e-02 1.3962e-01 8.0000e-01
4.0526e-03 5.6950e-03 1.6079e+00 1.7527e+00 6.8124e+00 3.5724e-01 9.0230e-03 4.2156e-02 5.5439e-03 7.0557e-02 1.3819e-01 8.0000e-01
4.2895e-03 6.1294e-03 1.5955e+00 1.7359e+00 6.7006e+00 3.4853e-01 8.7845e-03 4.3017e-02 5.6453e-03 7.2038e-02 1.3691e-01 8.0000e-01
4.5263e-03 6.5751e-03 1.5828e+00 1.7184e+00 6.5969e+00 3.4015e-01 8.5676e-03 4.3831e-02 5.7411e-03 7.3436e-02 1.3577e-01 8.0000e-01
4.7632e-03 7.0319e-03 1.5699e+00 1.7007e+00 6.5005e+00 3.3211e-01 8.3695e-03 4.4603e-02 5.8316e-03 7.4758e-02 1.3475e-01 8.0000e-01
5.0000e-03 7.5000e-03 1.5570e+00 1.6827e+00 6.4107e+00 3.2442e-01 8.1882e-03 4.5335e-02 5.9173e-03 7.6009e-02 1.3383e-01 8.0000e-01
