# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.6819e+00 1.8289e+00 9.3416e+00 9.9261e-01 5.3172e-02 5.2496e-02 7.6993e-03 4.5376e-02 3.5091e-01 3.5000e-01
7.3684e-04 7.9114e-04 1.7374e+00 1.9013e+00 8.4492e+00 9.8601e-01 4.7931e-02 6.1910e-02 9.1272e-03 5.3252e-02 3.2665e-01 3.5000e-01
9.7368e-04 1.0685e-03 1.7339e+00 1.8984e+00 7.8479e+00 9.4461e-01 4.4492e-02 6.9045e-02 1.0228e-02 5.9182e-02 3.1420e-01 3.5000e-01
1.2105e-03 1.3571e-03 1.7104e+00 1.8684e+00 7.4100e+00 8.9779e-01 4.2072e-02 7.4774e-02 1.1122e-02 6.3888e-02 3.0687e-01 3.5000e-01
1.4474e-03 1.6569e-03 1.6804e+00 1.8286e+00 7.0742e+00 8.5332e-01 4.0281e-02 7.9544e-02 1.1871e-02 6.7751e-02 3.0221e-01 3.5000e-01
1.6842e-03 1.9679e-03 1.6488e+00 1.7860e+00 6.8072e+00 8.1309e-01 3.8906e-02 8.3616e-02 1.2512e-02 7.0995e-02 2.9909e-01 3.5000e-01
1.9211e-03 2.2901e-03 1.6178e+00 1.7438e+00 6.5888e+00 7.7721e-01 3.7820e-02 8.7156e-02 1.3070e-02 7.3766e-02 2.9696e-01 3.5000e-01
2.1579e-03 2.6235e-03 1.5882e+00 1.7032e+00 6.4065e+00 7.4532e-01 3.6944e-02 9.0274e-02 1.3561e-02 7.6164e-02 2.9548e-01 3.5000e-01
2.3947e-03 2.9682e-03 1.5603e+00 1.6648e+00 6.2518e+00 7.1690e-01 3.6224e-02 9.3051e-02 1.3997e-02 7.8258e-02 2.9446e-01 3.5000e-01
2.6316e-03 3.3241e-03 1.5342e+00 1.6286e+00 6.1187e+00 6.9149e-01 3.5624e-02 9.5543e-02 1.4387e-02 8.0103e-02 2.9376e-01 3.5000e-01
2.8684e-03 3.6912e-03 1.5099e+00 1.5948e+00 6.0029e+00 6.6865e-01 3.5119e-02 9.7794e-02 1.4738e-02 8.1737e-02 2.9331e-01 3.5000e-01
3.1053e-03 4.0695e-03 1.4871e+00 1.5631e+00 5.9013e+00 6.4804e-01 3.4689e-02 9.9840e-02 1.5056e-02 8.3192e-02 2.9304e-01 3.5000e-01
3.3421e-03 4.4591e-03 1.4658e+00 1.5334e+00 5.8113e+00 6.2934e-01 3.4321e-02 1.0171e-01 1.5344e-02 8.4494e-02 2.9291e-01 3.5000e-01
3.5789e-03 4.8598e-03 1.4459e+00 1.5056e+00 5.7312e+00 6.1232e-01 3.4004e-02 1.0342e-01 1.5607e-02 8.5663e-02 2.9290e-01 3.5000e-01
3.8158e-03 5.2718e-03 1.4272e+00 1.4796e+00 5.6595e+00 5.9675e-01 3.3729e-02 1.0499e-01 1.5847e-02 8.6714e-02 2.9297e-01 3.5000e-01
4.0526e-03 5.6950e-03 1.4097e+00 1.4551e+00 5.5948e+00 5.8246e-01 3.3489e-02 1.0644e-01 1.6067e-02 8.7663e-02 2.9311e-01 3.5000e-01
4.2895e-03 6.1294e-03 1.3932e+00 1.4321e+00 5.5364e+00 5.6929e-01 3.3280e-02 1.0777e-01 1.6269e-02 8.8519e-02 2.9330e-01 3.5000e-01
4.5263e-03 6.5751e-03 1.3777e+00 1.4104e+00 5.4834e+00 5.5713e-01 3.3097e-02 1.0901e-01 1.6455e-02 8.9294e-02 2.9355e-01 3.5000e-01
4.7632e-03 7.0319e-03 1.3630e+00 1.3900e+00 5.4352e+00 5.4586e-01 3.2937e-02 1.1016e-01 1.6626e-02 8.9996e-02 2.9383e-01 3.5000e-01
5.0000e-03 7.5000e-03 1.3491e+00 1.3707e+00 5.3911e+00 5.3539e-01 3.2796e-02 1.1122e-01 1.6784e-02 9.0631e-02 2.9414e-01 3.5000e-01
