# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.6033e+00 1.7334e+00 9.8014e+00 9.0610e-01 5.1958e-02 4.5883e-02 6.6682e-03 4.1364e-02 3.5251e-01 4.0000e-01
7.3684e-04 7.9114e-04 1.7037e+00 1.8595e+00 8.8919e+00 9.3768e-01 4.6639e-02 5.4608e-02 7.9472e-03 4.9003e-02 3.2305e-01 4.0000e-01
9.7368e-04 1.0685e-03 1.7282e+00 1.8924e+00 8.2595e+00 9.1780e-01 4.2976e-02 6.1329e-02 8.9440e-03 5.4885e-02 3.0731e-01 4.0000e-01
1.2105e-03 1.3571e-03 1.7222e+00 1.8860e+00 7.7900e+00 8.8285e-01 4.0311e-02 6.6782e-02 9.7590e-03 5.9637e-02 2.9764e-01 4.0000e-01
1.4474e-03 1.6569e-03 1.7034e+00 1.8619e+00 7.4252e+00 8.4493e-01 3.8290e-02 7.1360e-02 1.0446e-02 6.3596e-02 2.9119e-01 4.0000e-01
1.6842e-03 1.9679e-03 1.6792e+00 1.8299e+00 7.1319e+00 8.0824e-01 3.6705e-02 7.5295e-02 1.1038e-02 6.6966e-02 2.8664e-01 4.0000e-01
1.9211e-03 2.2901e-03 1.6530e+00 1.7948e+00 6.8903e+00 7.7418e-01 3.5433e-02 7.8736e-02 1.1556e-02 6.9880e-02 2.8333e-01 4.0000e-01
2.1579e-03 2.6235e-03 1.6266e+00 1.7590e+00 6.6871e+00 7.4306e-01 3.4389e-02 8.1785e-02 1.2014e-02 7.2430e-02 2.8084e-01 4.0000e-01
2.3947e-03 2.9682e-03 1.6007e+00 1.7237e+00 6.5137e+00 7.1479e-01 3.3520e-02 8.4513e-02 1.2423e-02 7.4682e-02 2.7896e-01 4.0000e-01
2.6316e-03 3.3241e-03 1.5759e+00 1.6895e+00 6.3637e+00 6.8914e-01 3.2786e-02 8.6975e-02 1.2791e-02 7.6685e-02 2.7750e-01 4.0000e-01
2.8684e-03 3.6912e-03 1.5521e+00 1.6568e+00 6.2326e+00 6.6584e-01 3.2160e-02 8.9211e-02 1.3124e-02 7.8479e-02 2.7638e-01 4.0000e-01
3.1053e-03 4.0695e-03 1.5296e+00 1.6256e+00 6.1170e+00 6.4462e-01 3.1620e-02 9.1253e-02 1.3427e-02 8.0092e-02 2.7551e-01 4.0000e-01
3.3421e-03 4.4591e-03 1.5083e+00 1.5960e+00 6.0142e+00 6.2524e-01 3.1151e-02 9.3125e-02 1.3704e-02 8.1549e-02 2.7484e-01 4.0000e-01
3.5789e-03 4.8598e-03 1.4881e+00 1.5679e+00 5.9223e+00 6.0750e-01 3.0741e-02 9.4848e-02 1.3957e-02 8.2869e-02 2.7433e-01 4.0000e-01
3.8158e-03 5.2718e-03 1.4690e+00 1.5414e+00 5.8397e+00 5.9120e-01 3.0380e-02 9.6438e-02 1.4190e-02 8.4069e-02 2.7395e-01 4.0000e-01
4.0526e-03 5.6950e-03 1.4510e+00 1.5162e+00 5.7650e+00 5.7617e-01 3.0062e-02 9.7911e-02 1.4405e-02 8.5162e-02 2.7367e-01 4.0000e-01
4.2895e-03 6.1294e-03 1.4339e+00 1.4923e+00 5.6972e+00 5.6229e-01 2.9780e-02 9.9277e-02 1.4603e-02 8.6160e-02 2.7349e-01 4.0000e-01
4.5263e-03 6.5751e-03 1.4177e+00 1.4697e+00 5.6354e+00 5.4943e-01 2.9528e-02 1.0055e-01 1.4786e-02 8.7072e-02 2.7338e-01 4.0000e-01
4.7632e-03 7.0319e-03 1.4023e+00 1.4482e+00 5.5790e+00 5.3749e-01 2.9304e-02 1.0173e-01 1.4956e-02 8.7906e-02 2.7333e-01 4.0000e-01
5.0000e-03 7.5000e-03 1.3877e+00 1.4279e+00 5.5272e+00 5.2637e-01 2.9103e-02 1.0283e-01 1.5114e-02 8.8670e-02 2.7334e-01 4.0000e-01
