# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.6867e+00 1.8038e+00 1.2050e+01 1.9784e+00 1.2807e-01 3.1606e-02 1.0657e-02 3.1922e-02 6.9536e-01 4.5000e-01
7.3684e-04 7.9114e-04 1.8823e+00 2.0410e+00 1.0792e+01 2.2238e+00 1.2197e-01 3.9830e-02 1.3179e-02 3.9199e-02 6.2764e-01 4.5000e-01
9.7368e-04 1.0685e-03 1.9528e+00 2.1326e+00 9.8766e+00 2.2561e+00 1.1681e-01 4.6691e-02 1.5273e-02 4.5130e-02 5.9161e-01 4.5000e-01
1.2105e-03 1.3571e-03 1.9663e+00 2.1537e+00 9.1889e+00 2.2022e+00 1.1253e-01 5.2504e-02 1.7050e-02 5.0087e-02 5.6956e-01 4.5000e-01
1.4474e-03 1.6569e-03 1.9535e+00 2.1404e+00 8.6552e+00 2.1174e+00 1.0897e-01 5.7503e-02 1.8581e-02 5.4309e-02 5.5484e-01 4.5000e-01
1.6842e-03 1.9679e-03 1.9285e+00 2.1102e+00 8.2291e+00 2.0249e+00 1.0598e-01 6.1860e-02 1.9919e-02 5.7958e-02 5.4442e-01 4.5000e-01
1.9211e-03 2.2901e-03 1.8983e+00 2.0721e+00 7.8808e+00 1.9341e+00 1.0345e-01 6.5703e-02 2.1103e-02 6.1153e-02 5.3672e-01 4.5000e-01
2.1579e-03 2.6235e-03 1.8662e+00 2.0308e+00 7.5905e+00 1.8488e+00 1.0127e-01 6.9125e-02 2.2158e-02 6.3976e-02 5.3084e-01 4.5000e-01
2.3947e-03 2.9682e-03 1.8340e+00 1.9887e+00 7.3446e+00 1.7701e+00 9.9387e-02 7.2198e-02 2.3108e-02 6.6491e-02 5.2625e-01 4.5000e-01
2.6316e-03 3.3241e-03 1.8026e+00 1.9471e+00 7.1334e+00 1.6982e+00 9.7740e-02 7.4977e-02 2.3967e-02 6.8747e-02 5.2260e-01 4.5000e-01
2.8684e-03 3.6912e-03 1.7725e+00 1.9069e+00 6.9500e+00 1.6326e+00 9.6288e-02 7.7503e-02 2.4749e-02 7.0782e-02 5.1965e-01 4.5000e-01
3.1053e-03 4.0695e-03 1.7437e+00 1.8683e+00 6.7892e+00 1.5727e+00 9.5000e-02 7.9812e-02 2.5464e-02 7.2625e-02 5.1724e-01 4.5000e-01
3.3421e-03 4.4591e-03 1.7165e+00 1.8314e+00 6.6470e+00 1.5180e+00 9.3848e-02 8.1932e-02 2.6120e-02 7.4302e-02 5.1525e-01 4.5000e-01
3.5789e-03 4.8598e-03 1.6906e+00 1.7964e+00 6.5204e+00 1.4680e+00 9.2813e-02 8.3883e-02 2.6724e-02 7.5833e-02 5.1360e-01 4.5000e-01
3.8158e-03 5.2718e-03 1.6662e+00 1.7632e+00 6.4069e+00 1.4221e+00 9.1877e-02 8.5685e-02 2.7281e-02 7.7234e-02 5.1223e-01 4.5000e-01
4.0526e-03 5.6950e-03 1.6431e+00 1.7317e+00 6.3047e+00 1.3798e+00 9.1028e-02 8.7355e-02 2.7798e-02 7.8519e-02 5.1107e-01 4.5000e-01
4.2895e-03 6.1294e-03 1.6213e+00 1.7019e+00 6.2122e+00 1.3408e+00 9.0253e-02 8.8904e-02 2.8277e-02 7.9700e-02 5.1011e-01 4.5000e-01
4.5263e-03 6.5751e-03 1.6006e+00 1.6736e+00 6.1282e+00 1.3048e+00 8.9544e-02 9.0345e-02 2.8722e-02 8.0787e-02 5.0930e-01 4.5000e-01
4.7632e-03 7.0319e-03 1.5810e+00 1.6468e+00 6.0515e+00 1.2714e+00 8.8893e-02 9.1687e-02 2.9136e-02 8.1789e-02 5.0862e-01 4.5000e-01
5.0000e-03 7.5000e-03 1.5625e+00 1.6213e+00 5.9812e+00 1.2403e+00 8.8292e-02 9.2939e-02 2.9523e-02 8.2714e-02 5.0805e-01 4.5000e-01
