# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.5670e+00 1.6619e+00 1.3085e+01 1.9712e+00 1.4037e-01 2.5304e-02 1.0976e-02 2.7475e-02 8.0282e-01 5.0000e-01
7.3684e-04 7.9114e-04 1.8328e+00 1.9739e+00 1.1848e+01 2.4184e+00 1.3697e-01 3.2112e-02 1.3553e-02 3.3975e-02 7.1992e-01 5.0000e-01
9.7368e-04 1.0685e-03 1.9626e+00 2.1342e+00 1.0883e+01 2.5995e+00 1.3352e-01 3.8083e-02 1.5771e-02 3.9486e-02 6.7487e-01 5.0000e-01
1.2105e-03 1.3571e-03 2.0175e+00 2.2061e+00 1.0121e+01 2.6329e+00 1.3023e-01 4.3356e-02 1.7715e-02 4.4247e-02 6.4686e-01 5.0000e-01
1.4474e-03 1.6569e-03 2.0316e+00 2.2274e+00 9.5121e+00 2.5916e+00 1.2722e-01 4.8031e-02 1.9436e-02 4.8406e-02 6.2793e-01 5.0000e-01
1.6842e-03 1.9679e-03 2.0235e+00 2.2200e+00 9.0162e+00 2.5156e+00 1.2449e-01 5.2197e-02 2.0969e-02 5.2072e-02 6.1437e-01 5.0000e-01
1.9211e-03 2.2901e-03 2.0036e+00 2.1966e+00 8.6058e+00 2.4256e+00 1.2203e-01 5.5930e-02 2.2345e-02 5.5328e-02 6.0424e-01 5.0000e-01
2.1579e-03 2.6235e-03 1.9775e+00 2.1643e+00 8.2612e+00 2.3324e+00 1.1983e-01 5.9295e-02 2.3587e-02 5.8241e-02 5.9641e-01 5.0000e-01
2.3947e-03 2.9682e-03 1.9486e+00 2.1276e+00 7.9679e+00 2.2411e+00 1.1784e-01 6.2344e-02 2.4714e-02 6.0863e-02 5.9021e-01 5.0000e-01
2.6316e-03 3.3241e-03 1.9187e+00 2.0889e+00 7.7153e+00 2.1542e+00 1.1605e-01 6.5120e-02 2.5742e-02 6.3235e-02 5.8519e-01 5.0000e-01
2.8684e-03 3.6912e-03 1.8887e+00 2.0497e+00 7.4955e+00 2.0727e+00 1.1443e-01 6.7658e-02 2.6683e-02 6.5390e-02 5.8106e-01 5.0000e-01
3.1053e-03 4.0695e-03 1.8594e+00 2.0110e+00 7.3025e+00 1.9969e+00 1.1295e-01 6.9989e-02 2.7549e-02 6.7356e-02 5.7761e-01 5.0000e-01
3.3421e-03 4.4591e-03 1.8310e+00 1.9732e+00 7.1318e+00 1.9266e+00 1.1159e-01 7.2136e-02 2.8347e-02 6.9156e-02 5.7470e-01 5.0000e-01
3.5789e-03 4.8598e-03 1.8037e+00 1.9367e+00 6.9797e+00 1.8615e+00 1.1035e-01 7.4120e-02 2.9086e-02 7.0808e-02 5.7222e-01 5.0000e-01
3.8158e-03 5.2718e-03 1.7775e+00 1.9017e+00 6.8433e+00 1.8013e+00 1.0920e-01 7.5957e-02 2.9770e-02 7.2328e-02 5.7008e-01 5.0000e-01
4.0526e-03 5.6950e-03 1.7526e+00 1.8681e+00 6.7205e+00 1.7454e+00 1.0814e-01 7.7664e-02 3.0407e-02 7.3731e-02 5.6823e-01 5.0000e-01
4.2895e-03 6.1294e-03 1.7289e+00 1.8360e+00 6.6093e+00 1.6936e+00 1.0716e-01 7.9251e-02 3.1000e-02 7.5026e-02 5.6662e-01 5.0000e-01
4.5263e-03 6.5751e-03 1.7063e+00 1.8054e+00 6.5083e+00 1.6455e+00 1.0624e-01 8.0730e-02 3.1552e-02 7.6225e-02 5.6520e-01 5.0000e-01
4.7632e-03 7.0319e-03 1.6847e+00 1.7761e+00 6.4160e+00 1.6007e+00 1.0538e-01 8.2110e-02 3.2069e-02 7.7336e-02 5.6396e-01 5.0000e-01
5.0000e-03 7.5000e-03 1.6642e+00 1.7483e+00 6.3316e+00 1.5589e+00 1.0457e-01 8.3400e-02 3.2552e-02 7.8366e-02 5.6286e-01 5.0000e-01
