# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 9.6050e-01 1.0013e+00 1.1829e+01 4.4454e-01 3.9037e-02 1.1469e-02 6.8753e-03 2.4382e-02 4.8186e-01 8.5000e-01
7.3684e-04 7.9114e-04 1.2067e+00 1.2749e+00 1.1191e+01 6.3056e-01 3.9143e-02 1.4122e-02 8.2386e-03 2.9561e-02 4.3306e-01 8.5000e-01
9.7368e-04 1.0685e-03 1.3780e+00 1.4712e+00 1.0645e+01 7.7226e-01 3.9142e-02 1.6425e-02 9.3681e-03 3.3916e-02 4.0670e-01 8.5000e-01
1.2105e-03 1.3571e-03 1.4978e+00 1.6122e+00 1.0172e+01 8.7581e-01 3.9056e-02 1.8490e-02 1.0348e-02 3.7722e-02 3.9039e-01 8.5000e-01
1.4474e-03 1.6569e-03 1.5815e+00 1.7130e+00 9.7583e+00 9.4890e-01 3.8903e-02 2.0373e-02 1.1222e-02 4.1126e-02 3.7940e-01 8.5000e-01
1.6842e-03 1.9679e-03 1.6393e+00 1.7840e+00 9.3941e+00 9.9845e-01 3.8699e-02 2.2109e-02 1.2015e-02 4.4213e-02 3.7154e-01 8.5000e-01
1.9211e-03 2.2901e-03 1.6784e+00 1.8330e+00 9.0709e+00 1.0301e+00 3.8455e-02 2.3719e-02 1.2742e-02 4.7041e-02 3.6565e-01 8.5000e-01
2.1579e-03 2.6235e-03 1.7039e+00 1.8653e+00 8.7822e+00 1.0482e+00 3.8183e-02 2.5221e-02 1.3416e-02 4.9651e-02 3.6106e-01 8.5000e-01
2.3947e-03 2.9682e-03 1.7191e+00 1.8851e+00 8.5228e+00 1.0562e+00 3.7889e-02 2.6626e-02 1.4043e-02 5.2074e-02 3.5738e-01 8.5000e-01
2.6316e-03 3.3241e-03 1.7269e+00 1.8953e+00 8.2887e+00 1.0567e+00 3.7581e-02 2.7944e-02 1.4629e-02 5.4332e-02 3.5434e-01 8.5000e-01
2.8684e-03 3.6912e-03 1.7290e+00 1.8982e+00 8.0762e+00 1.0516e+00 3.7262e-02 2.9184e-02 1.5180e-02 5.6445e-02 3.5178e-01 8.5000e-01
3.1053e-03 4.0695e-03 1.7268e+00 1.8956e+00 7.8827e+00 1.0424e+00 3.6938e-02 3.0353e-02 1.5698e-02 5.8428e-02 3.4958e-01 8.5000e-01
3.3421e-03 4.4591e-03 1.7215e+00 1.8886e+00 7.7057e+00 1.0303e+00 3.6610e-02 3.1456e-02 1.6187e-02 6.0292e-02 3.4765e-01 8.5000e-01
3.5789e-03 4.8598e-03 1.7138e+00 1.8785e+00 7.5432e+00 1.0160e+00 3.6282e-02 3.2498e-02 1.6649e-02 6.2049e-02 3.4594e-01 8.5000e-01
3.8158e-03 5.2718e-03 1.7043e+00 1.8658e+00 7.3937e+00 1.0004e+00 3.5954e-02 3.3484e-02 1.7087e-02 6.3708e-02 3.4440e-01 8.5000e-01
4.0526e-03 5.6950e-03 1.6935e+00 1.8514e+00 7.2556e+00 9.8372e-01 3.5630e-02 3.4417e-02 1.7502e-02 6.5276e-02 3.4300e-01 8.5000e-01
4.2895e-03 6.1294e-03 1.6818e+00 1.8355e+00 7.1277e+00 9.6651e-01 3.5309e-02 3.5303e-02 1.7895e-02 6.6761e-02 3.4172e-01 8.5000e-01
4.5263e-03 6.5751e-03 1.6694e+00 1.8187e+00 7.0090e+00 9.4900e-01 3.4992e-02 3.6142e-02 1.8270e-02 6.8168e-02 3.4053e-01 8.5000e-01
4.7632e-03 7.0319e-03 1.6565e+00 1.8012e+00 6.8986e+00 9.3140e-01 3.4680e-02 3.6939e-02 1.8626e-02 6.9502e-02 3.3942e-01 8.5000e-01
5.0000e-03 7.5000e-03 1.6434e+00 1.7833e+00 6.7957e+00 9.1388e-01 3.4374e-02 3.7697e-02 1.8965e-02 7.0769e-02 3.3837e-01 8.5000e-01
