# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.1675e+00 1.2350e+00 1.0477e+01 1.6487e-01 8.1076e-03 2.7524e-02 1.3618e-03 3.1865e-02 1.2095e-01 6.5000e-01
7.3684e-04 7.9114e-04 1.3747e+00 1.4744e+00 9.7977e+00 1.9842e-01 6.9233e-03 3.2588e-02 1.6074e-03 3.8175e-02 1.0499e-01 6.5000e-01
9.7368e-04 1.0685e-03 1.4960e+00 1.6196e+00 9.2575e+00 2.1416e-01 6.0589e-03 3.6599e-02 1.8004e-03 4.3312e-02 9.5690e-02 6.5000e-01
1.2105e-03 1.3571e-03 1.5677e+00 1.7079e+00 8.8155e+00 2.1998e-01 5.4047e-03 3.9940e-02 1.9598e-03 4.7675e-02 8.9506e-02 6.5000e-01
1.4474e-03 1.6569e-03 1.6092e+00 1.7602e+00 8.4456e+00 2.2028e-01 4.8949e-03 4.2811e-02 2.0957e-03 5.1478e-02 8.5066e-02 6.5000e-01
1.6842e-03 1.9679e-03 1.6315e+00 1.7889e+00 8.1306e+00 2.1751e-01 4.4882e-03 4.5333e-02 2.2141e-03 5.4850e-02 8.1712e-02 6.5000e-01
1.9211e-03 2.2901e-03 1.6414e+00 1.8018e+00 7.8585e+00 2.1307e-01 4.1572e-03 4.7583e-02 2.3190e-03 5.7876e-02 7.9086e-02 6.5000e-01
2.1579e-03 2.6235e-03 1.6430e+00 1.8040e+00 7.6207e+00 2.0778e-01 3.8833e-03 4.9615e-02 2.4131e-03 6.0617e-02 7.6973e-02 6.5000e-01
2.3947e-03 2.9682e-03 1.6390e+00 1.7988e+00 7.4109e+00 2.0212e-01 3.6536e-03 5.1468e-02 2.4982e-03 6.3118e-02 7.5238e-02 6.5000e-01
2.6316e-03 3.3241e-03 1.6313e+00 1.7885e+00 7.2242e+00 1.9636e-01 3.4585e-03 5.3170e-02 2.5759e-03 6.5413e-02 7.3791e-02 6.5000e-01
2.8684e-03 3.6912e-03 1.6210e+00 1.7746e+00 7.0568e+00 1.9067e-01 3.2912e-03 5.4743e-02 2.6473e-03 6.7528e-02 7.2567e-02 6.5000e-01
3.1053e-03 4.0695e-03 1.6090e+00 1.7583e+00 6.9059e+00 1.8515e-01 3.1463e-03 5.6204e-02 2.7131e-03 6.9486e-02 7.1522e-02 6.5000e-01
3.3421e-03 4.4591e-03 1.5958e+00 1.7404e+00 6.7691e+00 1.7985e-01 3.0199e-03 5.7565e-02 2.7742e-03 7.1302e-02 7.0621e-02 6.5000e-01
3.5789e-03 4.8598e-03 1.5821e+00 1.7214e+00 6.6445e+00 1.7480e-01 2.9088e-03 5.8839e-02 2.8310e-03 7.2994e-02 6.9838e-02 6.5000e-01
3.8158e-03 5.2718e-03 1.5679e+00 1.7018e+00 6.5305e+00 1.7000e-01 2.8105e-03 6.0035e-02 2.8841e-03 7.4571e-02 6.9155e-02 6.5000e-01
4.0526e-03 5.6950e-03 1.5535e+00 1.6819e+00 6.4258e+00 1.6545e-01 2.7232e-03 6.1159e-02 2.9337e-03 7.6045e-02 6.8556e-02 6.5000e-01
4.2895e-03 6.1294e-03 1.5392e+00 1.6620e+00 6.3293e+00 1.6116e-01 2.6452e-03 6.2219e-02 2.9803e-03 7.7425e-02 6.8028e-02 6.5000e-01
4.5263e-03 6.5751e-03 1.5249e+00 1.6421e+00 6.2402e+00 1.5710e-01 2.5751e-03 6.3219e-02 3.0241e-03 7.8719e-02 6.7560e-02 6.5000e-01
4.7632e-03 7.0319e-03 1.5108e+00 1.6224e+00 6.1576e+00 1.5327e-01 2.5120e-03 6.4165e-02 3.0655e-03 7.9933e-02 6.7146e-02 6.5000e-01
5.0000e-03 7.5000e-03 1.4970e+00 1.6031e+00 6.0809e+00 1.4965e-01 2.4550e-03 6.5061e-02 3.1044e-03 8.1074e-02 6.6778e-02 6.5000e-01
