# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 9.6728e-01 1.0090e+00 1.1640e+01 4.1320e-01 3.6068e-02 1.1830e-02 5.2420e-03 2.5022e-02 4.4163e-01 8.5000e-01
7.3684e-04 7.9114e-04 1.2114e+00 1.2808e+00 1.0999e+01 5.7726e-01 3.5646e-02 1.4581e-02 6.2869e-03 3.0350e-02 3.9333e-01 8.5000e-01
9.7368e-04 1.0685e-03 1.3796e+00 1.4739e+00 1.0452e+01 6.9730e-01 3.5156e-02 1.6962e-02 7.1555e-03 3.4830e-02 3.6638e-01 8.5000e-01
1.2105e-03 1.3571e-03 1.4958e+00 1.6111e+00 9.9808e+00 7.8109e-01 3.4624e-02 1.9086e-02 7.9102e-03 3.8743e-02 3.4911e-01 8.5000e-01
1.4474e-03 1.6569e-03 1.5758e+00 1.7078e+00 9.5700e+00 8.3702e-01 3.4071e-02 2.1014e-02 8.5827e-03 4.2238e-02 3.3706e-01 8.5000e-01
1.6842e-03 1.9679e-03 1.6303e+00 1.7750e+00 9.2092e+00 8.7220e-01 3.3512e-02 2.2780e-02 9.1917e-03 4.5404e-02 3.2814e-01 8.5000e-01
1.9211e-03 2.2901e-03 1.6665e+00 1.8204e+00 8.8900e+00 8.9213e-01 3.2956e-02 2.4409e-02 9.7489e-03 4.8301e-02 3.2123e-01 8.5000e-01
2.1579e-03 2.6235e-03 1.6893e+00 1.8496e+00 8.6056e+00 9.0099e-01 3.2410e-02 2.5920e-02 1.0263e-02 5.0970e-02 3.1572e-01 8.5000e-01
2.3947e-03 2.9682e-03 1.7024e+00 1.8667e+00 8.3508e+00 9.0185e-01 3.1880e-02 2.7328e-02 1.0739e-02 5.3443e-02 3.1119e-01 8.5000e-01
2.6316e-03 3.3241e-03 1.7083e+00 1.8745e+00 8.1212e+00 8.9700e-01 3.1368e-02 2.8642e-02 1.1183e-02 5.5746e-02 3.0739e-01 8.5000e-01
2.8684e-03 3.6912e-03 1.7088e+00 1.8755e+00 7.9133e+00 8.8811e-01 3.0875e-02 2.9873e-02 1.1598e-02 5.7898e-02 3.0415e-01 8.5000e-01
3.1053e-03 4.0695e-03 1.7054e+00 1.8712e+00 7.7243e+00 8.7641e-01 3.0403e-02 3.1029e-02 1.1987e-02 5.9914e-02 3.0134e-01 8.5000e-01
3.3421e-03 4.4591e-03 1.6990e+00 1.8629e+00 7.5516e+00 8.6280e-01 2.9952e-02 3.2116e-02 1.2353e-02 6.1807e-02 2.9889e-01 8.5000e-01
3.5789e-03 4.8598e-03 1.6905e+00 1.8516e+00 7.3934e+00 8.4796e-01 2.9521e-02 3.3141e-02 1.2698e-02 6.3590e-02 2.9671e-01 8.5000e-01
3.8158e-03 5.2718e-03 1.6804e+00 1.8381e+00 7.2478e+00 8.3236e-01 2.9110e-02 3.4109e-02 1.3023e-02 6.5271e-02 2.9478e-01 8.5000e-01
4.0526e-03 5.6950e-03 1.6691e+00 1.8230e+00 7.1136e+00 8.1637e-01 2.8719e-02 3.5023e-02 1.3331e-02 6.6859e-02 2.9303e-01 8.5000e-01
4.2895e-03 6.1294e-03 1.6570e+00 1.8067e+00 6.9893e+00 8.0025e-01 2.8346e-02 3.5888e-02 1.3622e-02 6.8361e-02 2.9145e-01 8.5000e-01
4.5263e-03 6.5751e-03 1.6444e+00 1.7895e+00 6.8741e+00 7.8419e-01 2.7990e-02 3.6708e-02 1.3898e-02 6.9783e-02 2.9002e-01 8.5000e-01
4.7632e-03 7.0319e-03 1.6313e+00 1.7717e+00 6.7669e+00 7.6832e-01 2.7651e-02 3.7485e-02 1.4160e-02 7.1131e-02 2.8871e-01 8.5000e-01
5.0000e-03 7.5000e-03 1.6181e+00 1.7536e+00 6.6671e+00 7.5276e-01 2.7328e-02 3.8223e-02 1.4409e-02 7.2410e-02 2.8750e-01 8.5000e-01
