# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.5529e+00 1.6671e+00 1.0535e+01 1.0630e+00 6.9165e-02 3.8306e-02 7.1779e-03 3.6792e-02 4.4084e-01 4.5000e-01
7.3684e-04 7.9114e-04 1.6997e+00 1.8467e+00 9.5519e+00 1.1523e+00 6.3119e-02 4.6513e-02 8.6685e-03 4.4189e-02 3.9884e-01 4.5000e-01
9.7368e-04 1.0685e-03 1.7527e+00 1.9152e+00 8.8489e+00 1.1552e+00 5.8632e-02 5.3006e-02 9.8526e-03 5.0024e-02 3.7604e-01 4.5000e-01
1.2105e-03 1.3571e-03 1.7640e+00 1.9315e+00 8.3196e+00 1.1258e+00 5.5200e-02 5.8354e-02 1.0832e-02 5.4819e-02 3.6180e-01 4.5000e-01
1.4474e-03 1.6569e-03 1.7557e+00 1.9221e+00 7.9048e+00 1.0854e+00 5.2502e-02 6.2886e-02 1.1664e-02 5.8868e-02 3.5211e-01 4.5000e-01
1.6842e-03 1.9679e-03 1.7379e+00 1.8996e+00 7.5697e+00 1.0424e+00 5.0330e-02 6.6806e-02 1.2385e-02 6.2354e-02 3.4515e-01 4.5000e-01
1.9211e-03 2.2901e-03 1.7155e+00 1.8705e+00 7.2926e+00 1.0005e+00 4.8547e-02 7.0252e-02 1.3019e-02 6.5397e-02 3.3994e-01 4.5000e-01
2.1579e-03 2.6235e-03 1.6913e+00 1.8385e+00 7.0590e+00 9.6096e-01 4.7057e-02 7.3317e-02 1.3583e-02 6.8085e-02 3.3594e-01 4.5000e-01
2.3947e-03 2.9682e-03 1.6666e+00 1.8053e+00 6.8591e+00 9.2433e-01 4.5797e-02 7.6071e-02 1.4089e-02 7.0478e-02 3.3280e-01 4.5000e-01
2.6316e-03 3.3241e-03 1.6421e+00 1.7722e+00 6.6858e+00 8.9061e-01 4.4718e-02 7.8563e-02 1.4546e-02 7.2626e-02 3.3030e-01 4.5000e-01
2.8684e-03 3.6912e-03 1.6182e+00 1.7397e+00 6.5341e+00 8.5964e-01 4.3785e-02 8.0833e-02 1.4961e-02 7.4563e-02 3.2827e-01 4.5000e-01
3.1053e-03 4.0695e-03 1.5952e+00 1.7083e+00 6.4001e+00 8.3121e-01 4.2971e-02 8.2912e-02 1.5341e-02 7.6318e-02 3.2663e-01 4.5000e-01
3.3421e-03 4.4591e-03 1.5732e+00 1.6780e+00 6.2808e+00 8.0508e-01 4.2256e-02 8.4824e-02 1.5689e-02 7.7916e-02 3.2528e-01 4.5000e-01
3.5789e-03 4.8598e-03 1.5522e+00 1.6490e+00 6.1739e+00 7.8103e-01 4.1624e-02 8.6589e-02 1.6009e-02 7.9375e-02 3.2417e-01 4.5000e-01
3.8158e-03 5.2718e-03 1.5321e+00 1.6213e+00 6.0776e+00 7.5885e-01 4.1063e-02 8.8223e-02 1.6305e-02 8.0710e-02 3.2326e-01 4.5000e-01
4.0526e-03 5.6950e-03 1.5130e+00 1.5949e+00 5.9904e+00 7.3834e-01 4.0561e-02 8.9740e-02 1.6578e-02 8.1936e-02 3.2252e-01 4.5000e-01
4.2895e-03 6.1294e-03 1.4949e+00 1.5697e+00 5.9111e+00 7.1934e-01 4.0112e-02 9.1151e-02 1.6832e-02 8.3062e-02 3.2191e-01 4.5000e-01
4.5263e-03 6.5751e-03 1.4776e+00 1.5456e+00 5.8387e+00 7.0170e-01 3.9707e-02 9.2467e-02 1.7068e-02 8.4100e-02 3.2141e-01 4.5000e-01
4.7632e-03 7.0319e-03 1.4611e+00 1.5227e+00 5.7724e+00 6.8528e-01 3.9341e-02 9.3696e-02 1.7287e-02 8.5057e-02 3.2102e-01 4.5000e-01
5.0000e-03 7.5000e-03 1.4454e+00 1.5009e+00 5.7115e+00 6.6997e-01 3.9010e-02 9.4845e-02 1.7492e-02 8.5941e-02 3.2071e-01 4.5000e-01
