# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.0722e+00 1.1234e+00 1.1526e+01 5.0896e-01 4.6504e-02 1.7260e-02 4.6243e-03 2.6799e-02 4.4276e-01 7.5000e-01
7.3684e-04 7.9114e-04 1.3149e+00 1.3971e+00 1.0799e+01 6.7362e-01 4.4368e-02 2.1265e-02 5.5844e-03 3.2543e-02 3.8960e-01 7.5000e-01
9.7368e-04 1.0685e-03 1.4710e+00 1.5793e+00 1.0195e+01 7.7709e-01 4.2383e-02 2.4678e-02 6.3824e-03 3.7355e-02 3.5911e-01 7.5000e-01
1.2105e-03 1.3571e-03 1.5714e+00 1.6999e+00 9.6869e+00 8.3726e-01 4.0568e-02 2.7670e-02 7.0707e-03 4.1532e-02 3.3907e-01 7.5000e-01
1.4474e-03 1.6569e-03 1.6351e+00 1.7785e+00 9.2544e+00 8.6832e-01 3.8922e-02 3.0333e-02 7.6769e-03 4.5234e-02 3.2477e-01 7.5000e-01
1.6842e-03 1.9679e-03 1.6743e+00 1.8279e+00 8.8819e+00 8.8021e-01 3.7436e-02 3.2731e-02 8.2185e-03 4.8561e-02 3.1400e-01 7.5000e-01
1.9211e-03 2.2901e-03 1.6967e+00 1.8570e+00 8.5580e+00 8.7967e-01 3.6096e-02 3.4909e-02 8.7074e-03 5.1580e-02 3.0556e-01 7.5000e-01
2.1579e-03 2.6235e-03 1.7076e+00 1.8715e+00 8.2736e+00 8.7116e-01 3.4888e-02 3.6900e-02 9.1523e-03 5.4342e-02 2.9876e-01 7.5000e-01
2.3947e-03 2.9682e-03 1.7104e+00 1.8757e+00 8.0220e+00 8.5764e-01 3.3797e-02 3.8731e-02 9.5598e-03 5.6881e-02 2.9315e-01 7.5000e-01
2.6316e-03 3.3241e-03 1.7076e+00 1.8725e+00 7.7978e+00 8.4110e-01 3.2810e-02 4.0422e-02 9.9350e-03 5.9229e-02 2.8844e-01 7.5000e-01
2.8684e-03 3.6912e-03 1.7009e+00 1.8639e+00 7.5966e+00 8.2284e-01 3.1915e-02 4.1991e-02 1.0282e-02 6.1408e-02 2.8443e-01 7.5000e-01
3.1053e-03 4.0695e-03 1.6913e+00 1.8514e+00 7.4152e+00 8.0373e-01 3.1100e-02 4.3452e-02 1.0605e-02 6.3437e-02 2.8098e-01 7.5000e-01
3.3421e-03 4.4591e-03 1.6798e+00 1.8363e+00 7.2507e+00 7.8437e-01 3.0358e-02 4.4816e-02 1.0905e-02 6.5331e-02 2.7798e-01 7.5000e-01
3.5789e-03 4.8598e-03 1.6669e+00 1.8192e+00 7.1009e+00 7.6512e-01 2.9679e-02 4.6094e-02 1.1186e-02 6.7105e-02 2.7535e-01 7.5000e-01
3.8158e-03 5.2718e-03 1.6532e+00 1.8008e+00 6.9639e+00 7.4625e-01 2.9056e-02 4.7293e-02 1.1449e-02 6.8768e-02 2.7303e-01 7.5000e-01
4.0526e-03 5.6950e-03 1.6390e+00 1.7815e+00 6.8381e+00 7.2790e-01 2.8485e-02 4.8420e-02 1.1697e-02 7.0331e-02 2.7097e-01 7.5000e-01
4.2895e-03 6.1294e-03 1.6244e+00 1.7617e+00 6.7223e+00 7.1018e-01 2.7958e-02 4.9483e-02 1.1929e-02 7.1801e-02 2.6914e-01 7.5000e-01
4.5263e-03 6.5751e-03 1.6097e+00 1.7417e+00 6.6152e+00 6.9313e-01 2.7472e-02 5.0486e-02 1.2149e-02 7.3187e-02 2.6749e-01 7.5000e-01
4.7632e-03 7.0319e-03 1.5950e+00 1.7216e+00 6.5160e+00 6.7678e-01 2.7023e-02 5.1434e-02 1.2356e-02 7.4495e-02 2.6601e-01 7.5000e-01
5.0000e-03 7.5000e-03 1.5805e+00 1.7015e+00 6.4239e+00 6.6113e-01 2.6606e-02 5.2331e-02 1.2552e-02 7.5730e-02 2.6468e-01 7.5000e-01
