# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.1320e+00 1.1856e+00 1.2401e+01 8.4125e-01 8.0002e-02 1.7205e-02 8.0921e-03 2.4993e-02 6.5655e-01 7.0000e-01
7.3684e-04 7.9114e-04 1.3966e+00 1.4837e+00 1.1589e+01 1.1443e+00 7.9223e-02 2.1386e-02 9.7786e-03 3.0478e-02 5.8665e-01 7.0000e-01
9.7368e-04 1.0685e-03 1.5686e+00 1.6842e+00 1.0908e+01 1.3480e+00 7.8248e-02 2.5050e-02 1.1204e-02 3.5129e-02 5.4788e-01 7.0000e-01
1.2105e-03 1.3571e-03 1.6793e+00 1.8172e+00 1.0331e+01 1.4754e+00 7.7154e-02 2.8343e-02 1.2457e-02 3.9210e-02 5.2317e-01 7.0000e-01
1.4474e-03 1.6569e-03 1.7490e+00 1.9033e+00 9.8380e+00 1.5480e+00 7.5998e-02 3.1339e-02 1.3581e-02 4.2858e-02 5.0602e-01 7.0000e-01
1.6842e-03 1.9679e-03 1.7910e+00 1.9564e+00 9.4121e+00 1.5827e+00 7.4822e-02 3.4084e-02 1.4603e-02 4.6159e-02 4.9340e-01 7.0000e-01
1.9211e-03 2.2901e-03 1.8140e+00 1.9864e+00 9.0416e+00 1.5916e+00 7.3653e-02 3.6612e-02 1.5539e-02 4.9169e-02 4.8370e-01 7.0000e-01
2.1579e-03 2.6235e-03 1.8239e+00 1.9999e+00 8.7169e+00 1.5834e+00 7.2511e-02 3.8949e-02 1.6401e-02 5.1931e-02 4.7600e-01 7.0000e-01
2.3947e-03 2.9682e-03 1.8247e+00 2.0018e+00 8.4302e+00 1.5640e+00 7.1406e-02 4.1116e-02 1.7199e-02 5.4478e-02 4.6971e-01 7.0000e-01
2.6316e-03 3.3241e-03 1.8193e+00 1.9954e+00 8.1755e+00 1.5374e+00 7.0344e-02 4.3131e-02 1.7940e-02 5.6835e-02 4.6448e-01 7.0000e-01
2.8684e-03 3.6912e-03 1.8096e+00 1.9832e+00 7.9478e+00 1.5065e+00 6.9330e-02 4.5009e-02 1.8631e-02 5.9024e-02 4.6005e-01 7.0000e-01
3.1053e-03 4.0695e-03 1.7969e+00 1.9669e+00 7.7433e+00 1.4732e+00 6.8364e-02 4.6763e-02 1.9276e-02 6.1062e-02 4.5624e-01 7.0000e-01
3.3421e-03 4.4591e-03 1.7822e+00 1.9477e+00 7.5586e+00 1.4387e+00 6.7445e-02 4.8404e-02 1.9880e-02 6.2964e-02 4.5293e-01 7.0000e-01
3.5789e-03 4.8598e-03 1.7663e+00 1.9266e+00 7.3910e+00 1.4039e+00 6.6572e-02 4.9943e-02 2.0446e-02 6.4743e-02 4.5003e-01 7.0000e-01
3.8158e-03 5.2718e-03 1.7495e+00 1.9043e+00 7.2384e+00 1.3695e+00 6.5743e-02 5.1388e-02 2.0978e-02 6.6410e-02 4.4745e-01 7.0000e-01
4.0526e-03 5.6950e-03 1.7323e+00 1.8813e+00 7.0989e+00 1.3358e+00 6.4956e-02 5.2746e-02 2.1479e-02 6.7974e-02 4.4515e-01 7.0000e-01
4.2895e-03 6.1294e-03 1.7150e+00 1.8579e+00 6.9709e+00 1.3031e+00 6.4209e-02 5.4026e-02 2.1951e-02 6.9443e-02 4.4308e-01 7.0000e-01
4.5263e-03 6.5751e-03 1.6976e+00 1.8345e+00 6.8531e+00 1.2715e+00 6.3498e-02 5.5232e-02 2.2397e-02 7.0826e-02 4.4121e-01 7.0000e-01
4.7632e-03 7.0319e-03 1.6804e+00 1.8111e+00 6.7443e+00 1.2411e+00 6.2822e-02 5.6370e-02 2.2818e-02 7.2129e-02 4.3950e-01 7.0000e-01
5.0000e-03 7.5000e-03 1.6635e+00 1.7880e+00 6.6437e+00 1.2119e+00 6.2179e-02 5.7445e-02 2.3216e-02 7.3356e-02 4.3795e-01 7.0000e-01
