# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.7532e+00 1.8903e+00 1.0959e+01 1.8003e+00 1.0872e-01 3.9530e-02 1.0525e-02 3.7077e-02 5.8566e-01 4.0000e-01
7.3684e-04 7.9114e-04 1.8747e+00 2.0434e+00 9.7824e+00 1.8819e+00 1.0147e-01 4.8832e-02 1.2881e-02 4.4870e-02 5.3548e-01 4.0000e-01
9.7368e-04 1.0685e-03 1.8989e+00 2.0782e+00 8.9731e+00 1.8367e+00 9.6056e-02 5.6211e-02 1.4764e-02 5.0972e-02 5.0937e-01 4.0000e-01
1.2105e-03 1.3571e-03 1.8859e+00 2.0646e+00 8.3826e+00 1.7558e+00 9.1920e-02 6.2268e-02 1.6320e-02 5.5932e-02 4.9366e-01 4.0000e-01
1.4474e-03 1.6569e-03 1.8583e+00 2.0306e+00 7.9313e+00 1.6691e+00 8.8676e-02 6.7372e-02 1.7638e-02 6.0073e-02 4.8335e-01 4.0000e-01
1.6842e-03 1.9679e-03 1.8254e+00 1.9885e+00 7.5739e+00 1.5866e+00 8.6072e-02 7.1760e-02 1.8777e-02 6.3601e-02 4.7618e-01 4.0000e-01
1.9211e-03 2.2901e-03 1.7912e+00 1.9437e+00 7.2831e+00 1.5111e+00 8.3938e-02 7.5594e-02 1.9774e-02 6.6650e-02 4.7100e-01 4.0000e-01
2.1579e-03 2.6235e-03 1.7575e+00 1.8991e+00 7.0414e+00 1.4430e+00 8.2161e-02 7.8983e-02 2.0658e-02 6.9318e-02 4.6715e-01 4.0000e-01
2.3947e-03 2.9682e-03 1.7253e+00 1.8559e+00 6.8369e+00 1.3818e+00 8.0658e-02 8.2009e-02 2.1447e-02 7.1673e-02 4.6423e-01 4.0000e-01
2.6316e-03 3.3241e-03 1.6947e+00 1.8146e+00 6.6614e+00 1.3268e+00 7.9373e-02 8.4733e-02 2.2157e-02 7.3767e-02 4.6198e-01 4.0000e-01
2.8684e-03 3.6912e-03 1.6660e+00 1.7755e+00 6.5091e+00 1.2773e+00 7.8263e-02 8.7199e-02 2.2800e-02 7.5642e-02 4.6023e-01 4.0000e-01
3.1053e-03 4.0695e-03 1.6389e+00 1.7386e+00 6.3757e+00 1.2326e+00 7.7295e-02 8.9446e-02 2.3385e-02 7.7327e-02 4.5887e-01 4.0000e-01
3.3421e-03 4.4591e-03 1.6136e+00 1.7039e+00 6.2577e+00 1.1920e+00 7.6445e-02 9.1500e-02 2.3920e-02 7.8850e-02 4.5781e-01 4.0000e-01
3.5789e-03 4.8598e-03 1.5898e+00 1.6713e+00 6.1528e+00 1.1550e+00 7.5694e-02 9.3387e-02 2.4409e-02 8.0229e-02 4.5699e-01 4.0000e-01
3.8158e-03 5.2718e-03 1.5674e+00 1.6405e+00 6.0588e+00 1.1212e+00 7.5025e-02 9.5124e-02 2.4860e-02 8.1483e-02 4.5636e-01 4.0000e-01
4.0526e-03 5.6950e-03 1.5464e+00 1.6116e+00 5.9741e+00 1.0902e+00 7.4428e-02 9.6729e-02 2.5275e-02 8.2626e-02 4.5588e-01 4.0000e-01
4.2895e-03 6.1294e-03 1.5266e+00 1.5843e+00 5.8976e+00 1.0617e+00 7.3892e-02 9.8214e-02 2.5658e-02 8.3668e-02 4.5554e-01 4.0000e-01
4.5263e-03 6.5751e-03 1.5080e+00 1.5585e+00 5.8281e+00 1.0353e+00 7.3409e-02 9.9591e-02 2.6013e-02 8.4621e-02 4.5530e-01 4.0000e-01
4.7632e-03 7.0319e-03 1.4903e+00 1.5342e+00 5.7647e+00 1.0109e+00 7.2972e-02 1.0087e-01 2.6341e-02 8.5494e-02 4.5514e-01 4.0000e-01
5.0000e-03 7.5000e-03 1.4737e+00 1.5112e+00 5.7068e+00 9.8827e-01 7.2575e-02 1.0206e-01 2.6647e-02 8.6293e-02 4.5507e-01 4.0000e-01
