# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.5041e+00 1.6026e+00 1.1505e+01 1.3064e+00 9.4541e-02 3.0661e-02 8.1758e-03 3.2081e-02 5.7746e-01 5.0000e-01
7.3684e-04 7.9114e-04 1.7055e+00 1.8425e+00 1.0438e+01 1.5056e+00 8.8784e-02 3.8096e-02 1.0008e-02 3.9080e-02 5.1763e-01 5.0000e-01
9.7368e-04 1.0685e-03 1.7945e+00 1.9542e+00 9.6433e+00 1.5615e+00 8.4014e-02 4.4244e-02 1.1514e-02 4.4780e-02 4.8489e-01 5.0000e-01
1.2105e-03 1.3571e-03 1.8280e+00 1.9988e+00 9.0315e+00 1.5515e+00 8.0078e-02 4.9450e-02 1.2788e-02 4.9568e-02 4.6430e-01 5.0000e-01
1.4474e-03 1.6569e-03 1.8329e+00 2.0073e+00 8.5466e+00 1.5126e+00 7.6808e-02 5.3938e-02 1.3887e-02 5.3676e-02 4.5021e-01 5.0000e-01
1.6842e-03 1.9679e-03 1.8229e+00 1.9960e+00 8.1527e+00 1.4621e+00 7.4064e-02 5.7866e-02 1.4849e-02 5.7256e-02 4.4001e-01 5.0000e-01
1.9211e-03 2.2901e-03 1.8049e+00 1.9737e+00 7.8258e+00 1.4084e+00 7.1735e-02 6.1346e-02 1.5701e-02 6.0413e-02 4.3231e-01 5.0000e-01
2.1579e-03 2.6235e-03 1.7829e+00 1.9455e+00 7.5499e+00 1.3552e+00 6.9738e-02 6.4460e-02 1.6464e-02 6.3224e-02 4.2632e-01 5.0000e-01
2.3947e-03 2.9682e-03 1.7590e+00 1.9143e+00 7.3137e+00 1.3043e+00 6.8010e-02 6.7269e-02 1.7152e-02 6.5747e-02 4.2156e-01 5.0000e-01
2.6316e-03 3.3241e-03 1.7344e+00 1.8819e+00 7.1089e+00 1.2565e+00 6.6500e-02 6.9821e-02 1.7777e-02 6.8027e-02 4.1769e-01 5.0000e-01
2.8684e-03 3.6912e-03 1.7099e+00 1.8492e+00 6.9295e+00 1.2120e+00 6.5172e-02 7.2153e-02 1.8347e-02 7.0096e-02 4.1452e-01 5.0000e-01
3.1053e-03 4.0695e-03 1.6859e+00 1.8168e+00 6.7711e+00 1.1707e+00 6.3995e-02 7.4293e-02 1.8871e-02 7.1984e-02 4.1189e-01 5.0000e-01
3.3421e-03 4.4591e-03 1.6626e+00 1.7853e+00 6.6300e+00 1.1324e+00 6.2947e-02 7.6265e-02 1.9352e-02 7.3712e-02 4.0967e-01 5.0000e-01
3.5789e-03 4.8598e-03 1.6401e+00 1.7548e+00 6.5037e+00 1.0970e+00 6.2007e-02 7.8090e-02 1.9797e-02 7.5299e-02 4.0781e-01 5.0000e-01
3.8158e-03 5.2718e-03 1.6185e+00 1.7253e+00 6.3898e+00 1.0642e+00 6.1161e-02 7.9783e-02 2.0209e-02 7.6760e-02 4.0622e-01 5.0000e-01
4.0526e-03 5.6950e-03 1.5979e+00 1.6970e+00 6.2867e+00 1.0337e+00 6.0395e-02 8.1357e-02 2.0592e-02 7.8109e-02 4.0487e-01 5.0000e-01
4.2895e-03 6.1294e-03 1.5781e+00 1.6699e+00 6.1929e+00 1.0054e+00 5.9700e-02 8.2825e-02 2.0949e-02 7.9356e-02 4.0371e-01 5.0000e-01
4.5263e-03 6.5751e-03 1.5592e+00 1.6439e+00 6.1072e+00 9.7903e-01 5.9067e-02 8.4196e-02 2.1281e-02 8.0511e-02 4.0272e-01 5.0000e-01
4.7632e-03 7.0319e-03 1.5411e+00 1.6190e+00 6.0287e+00 9.5446e-01 5.8488e-02 8.5478e-02 2.1592e-02 8.1583e-02 4.0187e-01 5.0000e-01
5.0000e-03 7.5000e-03 1.5239e+00 1.5952e+00 5.9565e+00 9.3150e-01 5.7957e-02 8.6680e-02 2.1882e-02 8.2578e-02 4.0114e-01 5.0000e-01
