# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.9960e+00 2.1347e+00 1.4491e+01 3.7678e+00 1.9545e-01 2.7373e-02 1.4495e-02 2.6875e-02 9.4570e-01 4.0000e-01
7.3684e-04 7.9114e-04 2.2702e+00 2.4680e+00 1.2761e+01 4.3951e+00 1.9198e-01 3.5591e-02 1.8238e-02 3.3974e-02 8.5276e-01 4.0000e-01
9.7368e-04 1.0685e-03 2.3616e+00 2.5900e+00 1.1475e+01 4.4868e+00 1.8827e-01 4.2884e-02 2.1514e-02 4.0029e-02 8.0451e-01 4.0000e-01
1.2105e-03 1.3571e-03 2.3671e+00 2.6055e+00 1.0517e+01 4.3482e+00 1.8479e-01 4.9256e-02 2.4373e-02 4.5181e-02 7.7602e-01 4.0000e-01
1.4474e-03 1.6569e-03 2.3356e+00 2.5716e+00 9.7893e+00 4.1331e+00 1.8167e-01 5.4801e-02 2.6869e-02 4.9578e-02 7.5767e-01 4.0000e-01
1.6842e-03 1.9679e-03 2.2895e+00 2.5166e+00 9.2225e+00 3.9055e+00 1.7892e-01 5.9642e-02 2.9058e-02 5.3358e-02 7.4510e-01 4.0000e-01
1.9211e-03 2.2901e-03 2.2389e+00 2.4540e+00 8.7704e+00 3.6897e+00 1.7650e-01 6.3895e-02 3.0991e-02 5.6636e-02 7.3606e-01 4.0000e-01
2.1579e-03 2.6235e-03 2.1885e+00 2.3900e+00 8.4020e+00 3.4931e+00 1.7436e-01 6.7658e-02 3.2709e-02 5.9500e-02 7.2931e-01 4.0000e-01
2.3947e-03 2.9682e-03 2.1401e+00 2.3277e+00 8.0962e+00 3.3167e+00 1.7245e-01 7.1009e-02 3.4247e-02 6.2022e-02 7.2414e-01 4.0000e-01
2.6316e-03 3.3241e-03 2.0946e+00 2.2683e+00 7.8386e+00 3.1592e+00 1.7074e-01 7.4013e-02 3.5630e-02 6.4256e-02 7.2007e-01 4.0000e-01
2.8684e-03 3.6912e-03 2.0521e+00 2.2125e+00 7.6187e+00 3.0186e+00 1.6918e-01 7.6719e-02 3.6880e-02 6.6245e-02 7.1681e-01 4.0000e-01
3.1053e-03 4.0695e-03 2.0126e+00 2.1603e+00 7.4288e+00 2.8927e+00 1.6777e-01 7.9167e-02 3.8016e-02 6.8024e-02 7.1416e-01 4.0000e-01
3.3421e-03 4.4591e-03 1.9759e+00 2.1115e+00 7.2635e+00 2.7796e+00 1.6646e-01 8.1390e-02 3.9050e-02 6.9620e-02 7.1197e-01 4.0000e-01
3.5789e-03 4.8598e-03 1.9417e+00 2.0660e+00 7.1183e+00 2.6775e+00 1.6526e-01 8.3416e-02 3.9996e-02 7.1057e-02 7.1015e-01 4.0000e-01
3.8158e-03 5.2718e-03 1.9100e+00 2.0236e+00 6.9899e+00 2.5851e+00 1.6413e-01 8.5267e-02 4.0862e-02 7.2353e-02 7.0861e-01 4.0000e-01
4.0526e-03 5.6950e-03 1.8804e+00 1.9840e+00 6.8758e+00 2.5010e+00 1.6308e-01 8.6962e-02 4.1658e-02 7.3523e-02 7.0731e-01 4.0000e-01
4.2895e-03 6.1294e-03 1.8528e+00 1.9469e+00 6.7738e+00 2.4242e+00 1.6209e-01 8.8517e-02 4.2390e-02 7.4583e-02 7.0619e-01 4.0000e-01
4.5263e-03 6.5751e-03 1.8269e+00 1.9122e+00 6.6822e+00 2.3538e+00 1.6115e-01 8.9945e-02 4.3065e-02 7.5542e-02 7.0522e-01 4.0000e-01
4.7632e-03 7.0319e-03 1.8027e+00 1.8796e+00 6.5997e+00 2.2890e+00 1.6025e-01 9.1259e-02 4.3687e-02 7.6411e-02 7.0439e-01 4.0000e-01
5.0000e-03 7.5000e-03 1.7799e+00 1.8490e+00 6.5252e+00 2.2293e+00 1.5940e-01 9.2469e-02 4.4262e-02 7.7198e-02 7.0365e-01 4.0000e-01
