# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.0649e+00 1.1133e+00 1.2220e+01 6.8949e-01 6.6223e-02 1.5336e-02 7.6609e-03 2.4678e-02 6.0803e-01 7.5000e-01
7.3684e-04 7.9114e-04 1.3237e+00 1.4032e+00 1.1475e+01 9.5317e-01 6.5848e-02 1.8995e-02 9.2239e-03 3.0026e-02 5.4397e-01 7.5000e-01
9.7368e-04 1.0685e-03 1.4969e+00 1.6037e+00 1.0846e+01 1.1397e+00 6.5299e-02 2.2194e-02 1.0536e-02 3.4549e-02 5.0862e-01 7.5000e-01
1.2105e-03 1.3571e-03 1.6126e+00 1.7414e+00 1.0307e+01 1.2644e+00 6.4629e-02 2.5068e-02 1.1685e-02 3.8515e-02 4.8620e-01 7.5000e-01
1.4474e-03 1.6569e-03 1.6889e+00 1.8346e+00 9.8419e+00 1.3427e+00 6.3883e-02 2.7688e-02 1.2715e-02 4.2064e-02 4.7071e-01 7.5000e-01
1.6842e-03 1.9679e-03 1.7379e+00 1.8958e+00 9.4371e+00 1.3874e+00 6.3091e-02 3.0095e-02 1.3651e-02 4.5281e-02 4.5935e-01 7.5000e-01
1.9211e-03 2.2901e-03 1.7677e+00 1.9340e+00 9.0820e+00 1.4082e+00 6.2278e-02 3.2320e-02 1.4511e-02 4.8222e-02 4.5064e-01 7.5000e-01
2.1579e-03 2.6235e-03 1.7840e+00 1.9553e+00 8.7684e+00 1.4122e+00 6.1461e-02 3.4385e-02 1.5305e-02 5.0929e-02 4.4373e-01 7.5000e-01
2.3947e-03 2.9682e-03 1.7906e+00 1.9644e+00 8.4896e+00 1.4046e+00 6.0651e-02 3.6306e-02 1.6042e-02 5.3433e-02 4.3809e-01 7.5000e-01
2.6316e-03 3.3241e-03 1.7903e+00 1.9645e+00 8.2404e+00 1.3891e+00 5.9856e-02 3.8100e-02 1.6729e-02 5.5759e-02 4.3338e-01 7.5000e-01
2.8684e-03 3.6912e-03 1.7851e+00 1.9581e+00 8.0163e+00 1.3682e+00 5.9083e-02 3.9777e-02 1.7371e-02 5.7925e-02 4.2939e-01 7.5000e-01
3.1053e-03 4.0695e-03 1.7763e+00 1.9468e+00 7.8140e+00 1.3440e+00 5.8334e-02 4.1349e-02 1.7973e-02 5.9949e-02 4.2595e-01 7.5000e-01
3.3421e-03 4.4591e-03 1.7650e+00 1.9322e+00 7.6304e+00 1.3176e+00 5.7611e-02 4.2825e-02 1.8537e-02 6.1844e-02 4.2295e-01 7.5000e-01
3.5789e-03 4.8598e-03 1.7520e+00 1.9150e+00 7.4631e+00 1.2901e+00 5.6915e-02 4.4213e-02 1.9069e-02 6.3622e-02 4.2030e-01 7.5000e-01
3.8158e-03 5.2718e-03 1.7378e+00 1.8961e+00 7.3102e+00 1.2621e+00 5.6247e-02 4.5520e-02 1.9569e-02 6.5293e-02 4.1793e-01 7.5000e-01
4.0526e-03 5.6950e-03 1.7228e+00 1.8761e+00 7.1699e+00 1.2342e+00 5.5605e-02 4.6752e-02 2.0042e-02 6.6865e-02 4.1581e-01 7.5000e-01
4.2895e-03 6.1294e-03 1.7074e+00 1.8553e+00 7.0407e+00 1.2065e+00 5.4989e-02 4.7915e-02 2.0488e-02 6.8347e-02 4.1389e-01 7.5000e-01
4.5263e-03 6.5751e-03 1.6917e+00 1.8340e+00 6.9215e+00 1.1795e+00 5.4398e-02 4.9014e-02 2.0911e-02 6.9745e-02 4.1215e-01 7.5000e-01
4.7632e-03 7.0319e-03 1.6759e+00 1.8126e+00 6.8112e+00 1.1531e+00 5.3831e-02 5.0053e-02 2.1311e-02 7.1066e-02 4.1055e-01 7.5000e-01
5.0000e-03 7.5000e-03 1.6602e+00 1.7912e+00 6.7088e+00 1.1275e+00 5.3287e-02 5.1037e-02 2.1690e-02 7.2314e-02 4.0907e-01 7.5000e-01
