# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.7411e+00 1.8567e+00 1.3115e+01 2.4842e+00 1.5545e-01 2.8081e-02 1.2094e-02 2.8869e-02 8.1944e-01 4.5000e-01
7.3684e-04 7.9114e-04 1.9839e+00 2.1479e+00 1.1723e+01 2.9043e+00 1.5091e-01 3.5875e-02 1.5046e-02 3.5847e-02 7.3790e-01 4.5000e-01
9.7368e-04 1.0685e-03 2.0801e+00 2.2713e+00 1.0680e+01 3.0052e+00 1.4660e-01 4.2625e-02 1.7572e-02 4.1694e-02 6.9455e-01 4.5000e-01
1.2105e-03 1.3571e-03 2.1045e+00 2.3073e+00 9.8854e+00 2.9593e+00 1.4273e-01 4.8486e-02 1.9760e-02 4.6665e-02 6.6817e-01 4.5000e-01
1.4474e-03 1.6569e-03 2.0945e+00 2.2987e+00 9.2667e+00 2.8544e+00 1.3934e-01 5.3600e-02 2.1672e-02 5.0942e-02 6.5067e-01 4.5000e-01
1.6842e-03 1.9679e-03 2.0682e+00 2.2681e+00 8.7735e+00 2.7305e+00 1.3638e-01 5.8096e-02 2.3357e-02 5.4660e-02 6.3835e-01 4.5000e-01
1.9211e-03 2.2901e-03 2.0347e+00 2.2268e+00 8.3718e+00 2.6053e+00 1.3380e-01 6.2080e-02 2.4855e-02 5.7925e-02 6.2928e-01 4.5000e-01
2.1579e-03 2.6235e-03 1.9986e+00 2.1810e+00 8.0385e+00 2.4860e+00 1.3153e-01 6.5638e-02 2.6196e-02 6.0814e-02 6.2238e-01 4.5000e-01
2.3947e-03 2.9682e-03 1.9622e+00 2.1339e+00 7.7575e+00 2.3754e+00 1.2953e-01 6.8836e-02 2.7405e-02 6.3390e-02 6.1699e-01 4.5000e-01
2.6316e-03 3.3241e-03 1.9266e+00 2.0874e+00 7.5174e+00 2.2741e+00 1.2775e-01 7.1728e-02 2.8500e-02 6.5700e-02 6.1269e-01 4.5000e-01
2.8684e-03 3.6912e-03 1.8924e+00 2.0423e+00 7.3099e+00 2.1816e+00 1.2615e-01 7.4357e-02 2.9498e-02 6.7783e-02 6.0921e-01 4.5000e-01
3.1053e-03 4.0695e-03 1.8598e+00 1.9991e+00 7.1286e+00 2.0973e+00 1.2471e-01 7.6758e-02 3.0410e-02 6.9669e-02 6.0634e-01 4.5000e-01
3.3421e-03 4.4591e-03 1.8290e+00 1.9579e+00 6.9691e+00 2.0204e+00 1.2341e-01 7.8959e-02 3.1248e-02 7.1384e-02 6.0396e-01 4.5000e-01
3.5789e-03 4.8598e-03 1.7999e+00 1.9189e+00 6.8275e+00 1.9502e+00 1.2222e-01 8.0982e-02 3.2020e-02 7.2947e-02 6.0196e-01 4.5000e-01
3.8158e-03 5.2718e-03 1.7725e+00 1.8819e+00 6.7012e+00 1.8859e+00 1.2112e-01 8.2849e-02 3.2732e-02 7.4376e-02 6.0026e-01 4.5000e-01
4.0526e-03 5.6950e-03 1.7466e+00 1.8469e+00 6.5877e+00 1.8268e+00 1.2012e-01 8.4574e-02 3.3391e-02 7.5685e-02 5.9882e-01 4.5000e-01
4.2895e-03 6.1294e-03 1.7222e+00 1.8139e+00 6.4854e+00 1.7724e+00 1.1919e-01 8.6173e-02 3.4002e-02 7.6886e-02 5.9759e-01 4.5000e-01
4.5263e-03 6.5751e-03 1.6991e+00 1.7826e+00 6.3926e+00 1.7222e+00 1.1833e-01 8.7656e-02 3.4570e-02 7.7991e-02 5.9652e-01 4.5000e-01
4.7632e-03 7.0319e-03 1.6774e+00 1.7530e+00 6.3083e+00 1.6758e+00 1.1752e-01 8.9036e-02 3.5099e-02 7.9007e-02 5.9561e-01 4.5000e-01
5.0000e-03 7.5000e-03 1.6567e+00 1.7250e+00 6.2313e+00 1.6326e+00 1.1677e-01 9.0319e-02 3.5591e-02 7.9944e-02 5.9481e-01 4.5000e-01
