# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 9.5744e-01 9.9797e-01 1.1890e+01 4.4866e-01 3.9378e-02 1.1385e-02 7.5018e-03 2.4168e-02 4.8944e-01 8.5000e-01
7.3684e-04 7.9114e-04 1.2038e+00 1.2716e+00 1.1254e+01 6.3898e-01 3.9613e-02 1.4007e-02 8.9963e-03 2.9292e-02 4.4095e-01 8.5000e-01
9.7368e-04 1.0685e-03 1.3758e+00 1.4685e+00 1.0708e+01 7.8559e-01 3.9739e-02 1.6283e-02 1.0234e-02 3.3600e-02 4.1506e-01 8.5000e-01
1.2105e-03 1.3571e-03 1.4965e+00 1.6105e+00 1.0236e+01 8.9413e-01 3.9775e-02 1.8323e-02 1.1306e-02 3.7364e-02 3.9925e-01 8.5000e-01
1.4474e-03 1.6569e-03 1.5812e+00 1.7123e+00 9.8228e+00 9.7196e-01 3.9738e-02 2.0185e-02 1.2262e-02 4.0730e-02 3.8877e-01 8.5000e-01
1.6842e-03 1.9679e-03 1.6400e+00 1.7845e+00 9.4584e+00 1.0258e+00 3.9641e-02 2.1902e-02 1.3129e-02 4.3782e-02 3.8139e-01 8.5000e-01
1.9211e-03 2.2901e-03 1.6801e+00 1.8346e+00 9.1348e+00 1.0612e+00 3.9496e-02 2.3497e-02 1.3924e-02 4.6580e-02 3.7595e-01 8.5000e-01
2.1579e-03 2.6235e-03 1.7064e+00 1.8681e+00 8.8455e+00 1.0826e+00 3.9314e-02 2.4987e-02 1.4660e-02 4.9162e-02 3.7177e-01 8.5000e-01
2.3947e-03 2.9682e-03 1.7225e+00 1.8888e+00 8.5854e+00 1.0933e+00 3.9101e-02 2.6382e-02 1.5346e-02 5.1560e-02 3.6846e-01 8.5000e-01
2.6316e-03 3.3241e-03 1.7310e+00 1.8999e+00 8.3504e+00 1.0959e+00 3.8864e-02 2.7693e-02 1.5987e-02 5.3796e-02 3.6576e-01 8.5000e-01
2.8684e-03 3.6912e-03 1.7337e+00 1.9037e+00 8.1370e+00 1.0926e+00 3.8609e-02 2.8927e-02 1.6590e-02 5.5889e-02 3.6350e-01 8.5000e-01
3.1053e-03 4.0695e-03 1.7321e+00 1.9017e+00 7.9425e+00 1.0848e+00 3.8340e-02 3.0091e-02 1.7158e-02 5.7853e-02 3.6157e-01 8.5000e-01
3.3421e-03 4.4591e-03 1.7272e+00 1.8954e+00 7.7645e+00 1.0736e+00 3.8061e-02 3.1190e-02 1.7693e-02 5.9701e-02 3.5988e-01 8.5000e-01
3.5789e-03 4.8598e-03 1.7199e+00 1.8858e+00 7.6011e+00 1.0601e+00 3.7774e-02 3.2230e-02 1.8201e-02 6.1443e-02 3.5838e-01 8.5000e-01
3.8158e-03 5.2718e-03 1.7108e+00 1.8736e+00 7.4506e+00 1.0449e+00 3.7482e-02 3.3215e-02 1.8681e-02 6.3088e-02 3.5702e-01 8.5000e-01
4.0526e-03 5.6950e-03 1.7003e+00 1.8595e+00 7.3115e+00 1.0286e+00 3.7187e-02 3.4148e-02 1.9137e-02 6.4644e-02 3.5577e-01 8.5000e-01
4.2895e-03 6.1294e-03 1.6888e+00 1.8440e+00 7.1827e+00 1.0114e+00 3.6891e-02 3.5033e-02 1.9570e-02 6.6117e-02 3.5462e-01 8.5000e-01
4.5263e-03 6.5751e-03 1.6766e+00 1.8275e+00 7.0631e+00 9.9382e-01 3.6593e-02 3.5872e-02 1.9982e-02 6.7514e-02 3.5355e-01 8.5000e-01
4.7632e-03 7.0319e-03 1.6639e+00 1.8102e+00 6.9518e+00 9.7602e-01 3.6297e-02 3.6670e-02 2.0373e-02 6.8839e-02 3.5253e-01 8.5000e-01
5.0000e-03 7.5000e-03 1.6509e+00 1.7924e+00 6.8480e+00 9.5819e-01 3.6002e-02 3.7428e-02 2.0747e-02 7.0097e-02 3.5156e-01 8.5000e-01
