# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.2845e+00 1.3581e+00 1.1386e+01 7.9654e-01 6.5708e-02 2.5526e-02 5.8148e-03 2.9974e-02 4.8277e-01 6.0000e-01
7.3684e-04 7.9114e-04 1.5101e+00 1.6196e+00 1.0499e+01 9.7460e-01 6.1420e-02 3.1461e-02 7.0609e-03 3.6406e-02 4.2739e-01 6.0000e-01
9.7368e-04 1.0685e-03 1.6339e+00 1.7690e+00 9.8038e+00 1.0574e+00 5.7763e-02 3.6411e-02 8.0867e-03 4.1712e-02 3.9608e-01 6.0000e-01
1.2105e-03 1.3571e-03 1.7001e+00 1.8518e+00 9.2465e+00 1.0863e+00 5.4661e-02 4.0650e-02 8.9592e-03 4.6240e-02 3.7581e-01 6.0000e-01
1.4474e-03 1.6569e-03 1.7328e+00 1.8942e+00 8.7900e+00 1.0856e+00 5.2023e-02 4.4348e-02 9.7167e-03 5.0183e-02 3.6155e-01 6.0000e-01
1.6842e-03 1.9679e-03 1.7453e+00 1.9114e+00 8.4093e+00 1.0691e+00 4.9765e-02 4.7619e-02 1.0384e-02 5.3670e-02 3.5097e-01 6.0000e-01
1.9211e-03 2.2901e-03 1.7455e+00 1.9126e+00 8.0866e+00 1.0445e+00 4.7819e-02 5.0543e-02 1.0980e-02 5.6787e-02 3.4280e-01 6.0000e-01
2.1579e-03 2.6235e-03 1.7380e+00 1.9037e+00 7.8093e+00 1.0159e+00 4.6130e-02 5.3181e-02 1.1516e-02 5.9597e-02 3.3630e-01 6.0000e-01
2.3947e-03 2.9682e-03 1.7258e+00 1.8881e+00 7.5683e+00 9.8589e-01 4.4653e-02 5.5579e-02 1.2002e-02 6.2149e-02 3.3102e-01 6.0000e-01
2.6316e-03 3.3241e-03 1.7106e+00 1.8684e+00 7.3567e+00 9.5585e-01 4.3352e-02 5.7773e-02 1.2446e-02 6.4479e-02 3.2665e-01 6.0000e-01
2.8684e-03 3.6912e-03 1.6937e+00 1.8462e+00 7.1694e+00 9.2653e-01 4.2200e-02 5.9791e-02 1.2853e-02 6.6617e-02 3.2298e-01 6.0000e-01
3.1053e-03 4.0695e-03 1.6759e+00 1.8224e+00 7.0024e+00 8.9835e-01 4.1174e-02 6.1655e-02 1.3228e-02 6.8587e-02 3.1987e-01 6.0000e-01
3.3421e-03 4.4591e-03 1.6576e+00 1.7978e+00 6.8524e+00 8.7151e-01 4.0256e-02 6.3383e-02 1.3576e-02 7.0407e-02 3.1720e-01 6.0000e-01
3.5789e-03 4.8598e-03 1.6392e+00 1.7729e+00 6.7169e+00 8.4608e-01 3.9429e-02 6.4991e-02 1.3898e-02 7.2094e-02 3.1490e-01 6.0000e-01
3.8158e-03 5.2718e-03 1.6209e+00 1.7481e+00 6.5940e+00 8.2209e-01 3.8683e-02 6.6491e-02 1.4199e-02 7.3661e-02 3.1290e-01 6.0000e-01
4.0526e-03 5.6950e-03 1.6029e+00 1.7235e+00 6.4820e+00 7.9947e-01 3.8006e-02 6.7893e-02 1.4479e-02 7.5121e-02 3.1116e-01 6.0000e-01
4.2895e-03 6.1294e-03 1.5853e+00 1.6994e+00 6.3795e+00 7.7818e-01 3.7390e-02 6.9208e-02 1.4742e-02 7.6482e-02 3.0963e-01 6.0000e-01
4.5263e-03 6.5751e-03 1.5682e+00 1.6759e+00 6.2853e+00 7.5815e-01 3.6828e-02 7.0442e-02 1.4988e-02 7.7753e-02 3.0828e-01 6.0000e-01
4.7632e-03 7.0319e-03 1.5516e+00 1.6530e+00 6.1985e+00 7.3928e-01 3.6313e-02 7.1603e-02 1.5219e-02 7.8943e-02 3.0709e-01 6.0000e-01
5.0000e-03 7.5000e-03 1.5355e+00 1.6307e+00 6.1183e+00 7.2152e-01 3.5841e-02 7.2696e-02 1.5436e-02 8.0057e-02 3.0604e-01 6.0000e-01
