# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.9832e+00 2.1257e+00 1.3732e+01 3.4960e+00 1.8402e-01 2.9395e-02 1.4124e-02 2.8878e-02 8.8890e-01 4.0000e-01
7.3684e-04 7.9114e-04 2.2151e+00 2.4109e+00 1.2081e+01 3.9445e+00 1.7928e-01 3.8041e-02 1.7753e-02 3.6244e-02 8.0392e-01 4.0000e-01
9.7368e-04 1.0685e-03 2.2809e+00 2.5013e+00 1.0887e+01 3.9546e+00 1.7480e-01 4.5523e-02 2.0866e-02 4.2390e-02 7.6015e-01 4.0000e-01
1.2105e-03 1.3571e-03 2.2748e+00 2.5012e+00 1.0008e+01 3.8000e+00 1.7087e-01 5.1953e-02 2.3545e-02 4.7551e-02 7.3432e-01 4.0000e-01
1.4474e-03 1.6569e-03 2.2395e+00 2.4614e+00 9.3427e+00 3.5993e+00 1.6749e-01 5.7495e-02 2.5864e-02 5.1926e-02 7.1766e-01 4.0000e-01
1.6842e-03 1.9679e-03 2.1934e+00 2.4054e+00 8.8242e+00 3.3976e+00 1.6460e-01 6.2311e-02 2.7889e-02 5.5676e-02 7.0622e-01 4.0000e-01
1.9211e-03 2.2901e-03 2.1446e+00 2.3442e+00 8.4095e+00 3.2103e+00 1.6211e-01 6.6533e-02 2.9673e-02 5.8925e-02 6.9798e-01 4.0000e-01
2.1579e-03 2.6235e-03 2.0967e+00 2.2828e+00 8.0705e+00 3.0414e+00 1.5995e-01 7.0268e-02 3.1257e-02 6.1766e-02 6.9184e-01 4.0000e-01
2.3947e-03 2.9682e-03 2.0510e+00 2.2235e+00 7.7881e+00 2.8906e+00 1.5804e-01 7.3595e-02 3.2675e-02 6.4270e-02 6.8714e-01 4.0000e-01
2.6316e-03 3.3241e-03 2.0082e+00 2.1673e+00 7.5494e+00 2.7563e+00 1.5636e-01 7.6580e-02 3.3951e-02 6.6491e-02 6.8345e-01 4.0000e-01
2.8684e-03 3.6912e-03 1.9683e+00 2.1145e+00 7.3448e+00 2.6364e+00 1.5485e-01 7.9273e-02 3.5105e-02 6.8473e-02 6.8052e-01 4.0000e-01
3.1053e-03 4.0695e-03 1.9311e+00 2.0651e+00 7.1677e+00 2.5290e+00 1.5349e-01 8.1713e-02 3.6154e-02 7.0248e-02 6.7815e-01 4.0000e-01
3.3421e-03 4.4591e-03 1.8966e+00 2.0190e+00 7.0130e+00 2.4325e+00 1.5225e-01 8.3934e-02 3.7111e-02 7.1845e-02 6.7621e-01 4.0000e-01
3.5789e-03 4.8598e-03 1.8646e+00 1.9760e+00 6.8767e+00 2.3454e+00 1.5112e-01 8.5961e-02 3.7986e-02 7.3285e-02 6.7462e-01 4.0000e-01
3.8158e-03 5.2718e-03 1.8347e+00 1.9358e+00 6.7558e+00 2.2663e+00 1.5007e-01 8.7818e-02 3.8790e-02 7.4589e-02 6.7329e-01 4.0000e-01
4.0526e-03 5.6950e-03 1.8068e+00 1.8983e+00 6.6480e+00 2.1944e+00 1.4911e-01 8.9522e-02 3.9529e-02 7.5770e-02 6.7218e-01 4.0000e-01
4.2895e-03 6.1294e-03 1.7808e+00 1.8632e+00 6.5514e+00 2.1286e+00 1.4821e-01 9.1089e-02 4.0210e-02 7.6842e-02 6.7124e-01 4.0000e-01
4.5263e-03 6.5751e-03 1.7564e+00 1.8303e+00 6.4644e+00 2.0683e+00 1.4736e-01 9.2534e-02 4.0839e-02 7.7816e-02 6.7046e-01 4.0000e-01
4.7632e-03 7.0319e-03 1.7335e+00 1.7993e+00 6.3858e+00 2.0128e+00 1.4657e-01 9.3866e-02 4.1420e-02 7.8702e-02 6.6979e-01 4.0000e-01
5.0000e-03 7.5000e-03 1.7120e+00 1.7703e+00 6.3145e+00 1.9615e+00 1.4582e-01 9.5096e-02 4.1958e-02 7.9508e-02 6.6922e-01 4.0000e-01
