# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 8.9209e-01 9.2874e-01 1.1257e+01 1.9834e-01 1.1418e-02 6.6855e-03 2.9690e-03 2.5045e-02 2.4922e-01 9.5000e-01
7.3684e-04 7.9114e-04 1.1259e+00 1.1876e+00 1.0695e+01 2.8116e-01 1.1288e-02 8.2068e-03 3.5469e-03 3.0321e-02 2.2179e-01 9.5000e-01
9.7368e-04 1.0685e-03 1.2911e+00 1.3761e+00 1.0210e+01 3.4422e-01 1.1138e-02 9.5160e-03 4.0230e-03 3.4744e-02 2.0650e-01 9.5000e-01
1.2105e-03 1.3571e-03 1.4087e+00 1.5137e+00 9.7886e+00 3.9034e-01 1.0977e-02 1.0680e-02 4.4340e-03 3.8603e-02 1.9670e-01 9.5000e-01
1.4474e-03 1.6569e-03 1.4925e+00 1.6141e+00 9.4180e+00 4.2298e-01 1.0808e-02 1.1734e-02 4.7986e-03 4.2047e-02 1.8988e-01 9.5000e-01
1.6842e-03 1.9679e-03 1.5520e+00 1.6867e+00 9.0898e+00 4.4522e-01 1.0637e-02 1.2700e-02 5.1278e-03 4.5168e-02 1.8483e-01 9.5000e-01
1.9211e-03 2.2901e-03 1.5937e+00 1.7385e+00 8.7970e+00 4.5954e-01 1.0465e-02 1.3591e-02 5.4287e-03 4.8026e-02 1.8093e-01 9.5000e-01
2.1579e-03 2.6235e-03 1.6222e+00 1.7744e+00 8.5342e+00 4.6790e-01 1.0297e-02 1.4418e-02 5.7060e-03 5.0664e-02 1.7781e-01 9.5000e-01
2.3947e-03 2.9682e-03 1.6408e+00 1.7982e+00 8.2970e+00 4.7179e-01 1.0132e-02 1.5190e-02 5.9634e-03 5.3113e-02 1.7525e-01 9.5000e-01
2.6316e-03 3.3241e-03 1.6519e+00 1.8126e+00 8.0818e+00 4.7234e-01 9.9712e-03 1.5912e-02 6.2034e-03 5.5398e-02 1.7310e-01 9.5000e-01
2.8684e-03 3.6912e-03 1.6573e+00 1.8198e+00 7.8856e+00 4.7042e-01 9.8162e-03 1.6590e-02 6.4281e-03 5.7538e-02 1.7127e-01 9.5000e-01
3.1053e-03 4.0695e-03 1.6584e+00 1.8213e+00 7.7062e+00 4.6667e-01 9.6668e-03 1.7228e-02 6.6391e-03 5.9548e-02 1.6967e-01 9.5000e-01
3.3421e-03 4.4591e-03 1.6562e+00 1.8184e+00 7.5414e+00 4.6160e-01 9.5232e-03 1.7829e-02 6.8379e-03 6.1441e-02 1.6828e-01 9.5000e-01
3.5789e-03 4.8598e-03 1.6515e+00 1.8121e+00 7.3895e+00 4.5558e-01 9.3855e-03 1.8397e-02 7.0255e-03 6.3228e-02 1.6704e-01 9.5000e-01
3.8158e-03 5.2718e-03 1.6448e+00 1.8032e+00 7.2491e+00 4.4890e-01 9.2536e-03 1.8934e-02 7.2030e-03 6.4917e-02 1.6593e-01 9.5000e-01
4.0526e-03 5.6950e-03 1.6366e+00 1.7921e+00 7.1190e+00 4.4178e-01 9.1273e-03 1.9443e-02 7.3712e-03 6.6518e-02 1.6493e-01 9.5000e-01
4.2895e-03 6.1294e-03 1.6274e+00 1.7796e+00 6.9981e+00 4.3438e-01 9.0064e-03 1.9926e-02 7.5308e-03 6.8035e-02 1.6402e-01 9.5000e-01
4.5263e-03 6.5751e-03 1.6172e+00 1.7658e+00 6.8854e+00 4.2683e-01 8.8908e-03 2.0385e-02 7.6824e-03 6.9476e-02 1.6319e-01 9.5000e-01
4.7632e-03 7.0319e-03 1.6065e+00 1.7511e+00 6.7803e+00 4.1923e-01 8.7803e-03 2.0821e-02 7.8267e-03 7.0846e-02 1.6243e-01 9.5000e-01
5.0000e-03 7.5000e-03 1.5954e+00 1.7358e+00 6.6819e+00 4.1165e-01 8.6745e-03 2.1235e-02 7.9640e-03 7.2149e-02 1.6173e-01 9.5000e-01
