# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.3781e+00 1.4776e+00 9.8465e+00 2.4812e-01 1.0351e-02 3.9488e-02 1.9860e-03 3.7955e-02 1.3064e-01 5.0000e-01
7.3684e-04 7.9114e-04 1.5339e+00 1.6648e+00 9.1055e+00 2.7394e-01 8.7840e-03 4.6213e-02 2.3301e-03 4.4939e-02 1.1644e-01 5.0000e-01
9.7368e-04 1.0685e-03 1.6063e+00 1.7552e+00 8.5514e+00 2.7957e-01 7.7152e-03 5.1428e-02 2.5977e-03 5.0463e-02 1.0836e-01 5.0000e-01
1.2105e-03 1.3571e-03 1.6375e+00 1.7954e+00 8.1176e+00 2.7648e-01 6.9422e-03 5.5705e-02 2.8172e-03 5.5041e-02 1.0310e-01 5.0000e-01
1.4474e-03 1.6569e-03 1.6469e+00 1.8078e+00 7.7664e+00 2.6962e-01 6.3584e-03 5.9339e-02 3.0032e-03 5.8945e-02 9.9407e-02 5.0000e-01
1.6842e-03 1.9679e-03 1.6440e+00 1.8042e+00 7.4751e+00 2.6128e-01 5.9030e-03 6.2500e-02 3.1645e-03 6.2339e-02 9.6667e-02 5.0000e-01
1.9211e-03 2.2901e-03 1.6342e+00 1.7911e+00 7.2287e+00 2.5253e-01 5.5383e-03 6.5297e-02 3.3065e-03 6.5331e-02 9.4562e-02 5.0000e-01
2.1579e-03 2.6235e-03 1.6203e+00 1.7723e+00 7.0171e+00 2.4389e-01 5.2403e-03 6.7805e-02 3.4331e-03 6.7997e-02 9.2899e-02 5.0000e-01
2.3947e-03 2.9682e-03 1.6041e+00 1.7504e+00 6.8330e+00 2.3560e-01 4.9926e-03 7.0074e-02 3.5471e-03 7.0392e-02 9.1560e-02 5.0000e-01
2.6316e-03 3.3241e-03 1.5868e+00 1.7266e+00 6.6714e+00 2.2778e-01 4.7839e-03 7.2145e-02 3.6505e-03 7.2557e-02 9.0464e-02 5.0000e-01
2.8684e-03 3.6912e-03 1.5690e+00 1.7020e+00 6.5281e+00 2.2045e-01 4.6058e-03 7.4045e-02 3.7448e-03 7.4525e-02 8.9556e-02 5.0000e-01
3.1053e-03 4.0695e-03 1.5510e+00 1.6772e+00 6.4001e+00 2.1362e-01 4.4524e-03 7.5798e-02 3.8313e-03 7.6321e-02 8.8796e-02 5.0000e-01
3.3421e-03 4.4591e-03 1.5333e+00 1.6525e+00 6.2852e+00 2.0725e-01 4.3192e-03 7.7422e-02 3.9110e-03 7.7966e-02 8.8157e-02 5.0000e-01
3.5789e-03 4.8598e-03 1.5159e+00 1.6283e+00 6.1813e+00 2.0133e-01 4.2025e-03 7.8932e-02 3.9846e-03 7.9478e-02 8.7615e-02 5.0000e-01
3.8158e-03 5.2718e-03 1.4989e+00 1.6046e+00 6.0870e+00 1.9582e-01 4.0997e-03 8.0339e-02 4.0529e-03 8.0871e-02 8.7155e-02 5.0000e-01
4.0526e-03 5.6950e-03 1.4825e+00 1.5816e+00 6.0010e+00 1.9069e-01 4.0086e-03 8.1654e-02 4.1163e-03 8.2157e-02 8.6762e-02 5.0000e-01
4.2895e-03 6.1294e-03 1.4666e+00 1.5593e+00 5.9222e+00 1.8590e-01 3.9275e-03 8.2886e-02 4.1753e-03 8.3346e-02 8.6427e-02 5.0000e-01
4.5263e-03 6.5751e-03 1.4513e+00 1.5377e+00 5.8499e+00 1.8143e-01 3.8550e-03 8.4042e-02 4.2304e-03 8.4447e-02 8.6141e-02 5.0000e-01
4.7632e-03 7.0319e-03 1.4365e+00 1.5169e+00 5.7833e+00 1.7725e-01 3.7898e-03 8.5128e-02 4.2819e-03 8.5468e-02 8.5897e-02 5.0000e-01
5.0000e-03 7.5000e-03 1.4223e+00 1.4969e+00 5.7218e+00 1.7334e-01 3.7312e-03 8.6150e-02 4.3301e-03 8.6417e-02 8.5691e-02 5.0000e-01
