# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.3011e+00 1.3681e+00 1.3083e+01 1.3225e+00 1.1496e-01 2.0226e-02 1.0015e-02 2.4983e-02 7.8128e-01 6.0000e-01
7.3684e-04 7.9114e-04 1.5834e+00 1.6898e+00 1.2094e+01 1.7545e+00 1.1396e-01 2.5356e-02 1.2191e-02 3.0663e-02 6.9982e-01 6.0000e-01
9.7368e-04 1.0685e-03 1.7551e+00 1.8932e+00 1.1277e+01 2.0173e+00 1.1262e-01 2.9902e-02 1.4057e-02 3.5523e-02 6.5492e-01 6.0000e-01
1.2105e-03 1.3571e-03 1.8562e+00 2.0172e+00 1.0597e+01 2.1585e+00 1.1109e-01 3.4006e-02 1.5712e-02 3.9801e-02 6.2652e-01 6.0000e-01
1.4474e-03 1.6569e-03 1.9121e+00 2.0882e+00 1.0027e+01 2.2190e+00 1.0946e-01 3.7740e-02 1.7202e-02 4.3623e-02 6.0696e-01 6.0000e-01
1.6842e-03 1.9679e-03 1.9389e+00 2.1239e+00 9.5429e+00 2.2282e+00 1.0782e-01 4.1152e-02 1.8556e-02 4.7067e-02 5.9270e-01 6.0000e-01
1.9211e-03 2.2901e-03 1.9470e+00 2.1360e+00 9.1293e+00 2.2058e+00 1.0621e-01 4.4278e-02 1.9794e-02 5.0192e-02 5.8184e-01 6.0000e-01
2.1579e-03 2.6235e-03 1.9432e+00 2.1325e+00 8.7726e+00 2.1647e+00 1.0464e-01 4.7152e-02 2.0931e-02 5.3040e-02 5.7329e-01 6.0000e-01
2.3947e-03 2.9682e-03 1.9316e+00 2.1187e+00 8.4624e+00 2.1133e+00 1.0315e-01 4.9799e-02 2.1978e-02 5.5646e-02 5.6639e-01 6.0000e-01
2.6316e-03 3.3241e-03 1.9152e+00 2.0981e+00 8.1905e+00 2.0567e+00 1.0172e-01 5.2245e-02 2.2946e-02 5.8041e-02 5.6070e-01 6.0000e-01
2.8684e-03 3.6912e-03 1.8958e+00 2.0734e+00 7.9505e+00 1.9981e+00 1.0038e-01 5.4510e-02 2.3843e-02 6.0248e-02 5.5593e-01 6.0000e-01
3.1053e-03 4.0695e-03 1.8747e+00 2.0460e+00 7.7372e+00 1.9395e+00 9.9103e-02 5.6612e-02 2.4676e-02 6.2287e-02 5.5186e-01 6.0000e-01
3.3421e-03 4.4591e-03 1.8527e+00 2.0172e+00 7.5465e+00 1.8823e+00 9.7900e-02 5.8568e-02 2.5453e-02 6.4176e-02 5.4836e-01 6.0000e-01
3.5789e-03 4.8598e-03 1.8304e+00 1.9877e+00 7.3752e+00 1.8269e+00 9.6764e-02 6.0391e-02 2.6177e-02 6.5930e-02 5.4530e-01 6.0000e-01
3.8158e-03 5.2718e-03 1.8081e+00 1.9580e+00 7.2204e+00 1.7739e+00 9.5690e-02 6.2093e-02 2.6854e-02 6.7562e-02 5.4262e-01 6.0000e-01
4.0526e-03 5.6950e-03 1.7861e+00 1.9286e+00 7.0799e+00 1.7235e+00 9.4674e-02 6.3685e-02 2.7489e-02 6.9082e-02 5.4024e-01 6.0000e-01
4.2895e-03 6.1294e-03 1.7646e+00 1.8996e+00 6.9520e+00 1.6755e+00 9.3712e-02 6.5176e-02 2.8084e-02 7.0500e-02 5.3811e-01 6.0000e-01
4.5263e-03 6.5751e-03 1.7436e+00 1.8713e+00 6.8351e+00 1.6301e+00 9.2799e-02 6.6574e-02 2.8643e-02 7.1826e-02 5.3620e-01 6.0000e-01
4.7632e-03 7.0319e-03 1.7232e+00 1.8438e+00 6.7278e+00 1.5871e+00 9.1932e-02 6.7887e-02 2.9169e-02 7.3065e-02 5.3448e-01 6.0000e-01
5.0000e-03 7.5000e-03 1.7035e+00 1.8171e+00 6.6292e+00 1.5465e+00 9.1107e-02 6.9121e-02 2.9664e-02 7.4226e-02 5.3291e-01 6.0000e-01
