# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.5681e+00 1.6617e+00 1.3359e+01 2.0494e+00 1.4585e-01 2.4556e-02 1.1357e-02 2.6709e-02 8.3343e-01 5.0000e-01
7.3684e-04 7.9114e-04 1.8457e+00 1.9864e+00 1.2107e+01 2.5466e+00 1.4306e-01 3.1197e-02 1.4016e-02 3.3080e-02 7.4757e-01 5.0000e-01
9.7368e-04 1.0685e-03 1.9850e+00 2.1578e+00 1.1121e+01 2.7617e+00 1.4004e-01 3.7071e-02 1.6319e-02 3.8518e-02 7.0089e-01 5.0000e-01
1.2105e-03 1.3571e-03 2.0462e+00 2.2374e+00 1.0337e+01 2.8131e+00 1.3707e-01 4.2297e-02 1.8350e-02 4.3244e-02 6.7186e-01 5.0000e-01
1.4474e-03 1.6569e-03 2.0640e+00 2.2635e+00 9.7072e+00 2.7786e+00 1.3425e-01 4.6958e-02 2.0156e-02 4.7390e-02 6.5226e-01 5.0000e-01
1.6842e-03 1.9679e-03 2.0578e+00 2.2588e+00 9.1935e+00 2.7027e+00 1.3166e-01 5.1128e-02 2.1772e-02 5.1055e-02 6.3823e-01 5.0000e-01
1.9211e-03 2.2901e-03 2.0387e+00 2.2365e+00 8.7679e+00 2.6091e+00 1.2929e-01 5.4876e-02 2.3226e-02 5.4317e-02 6.2775e-01 5.0000e-01
2.1579e-03 2.6235e-03 2.0128e+00 2.2046e+00 8.4105e+00 2.5104e+00 1.2714e-01 5.8260e-02 2.4541e-02 5.7239e-02 6.1966e-01 5.0000e-01
2.3947e-03 2.9682e-03 1.9835e+00 2.1676e+00 8.1063e+00 2.4127e+00 1.2518e-01 6.1329e-02 2.5736e-02 5.9870e-02 6.1325e-01 5.0000e-01
2.6316e-03 3.3241e-03 1.9530e+00 2.1284e+00 7.8445e+00 2.3193e+00 1.2339e-01 6.4127e-02 2.6827e-02 6.2252e-02 6.0806e-01 5.0000e-01
2.8684e-03 3.6912e-03 1.9224e+00 2.0885e+00 7.6169e+00 2.2313e+00 1.2176e-01 6.6686e-02 2.7827e-02 6.4416e-02 6.0379e-01 5.0000e-01
3.1053e-03 4.0695e-03 1.8923e+00 2.0489e+00 7.4172e+00 2.1492e+00 1.2027e-01 6.9036e-02 2.8747e-02 6.6391e-02 6.0022e-01 5.0000e-01
3.3421e-03 4.4591e-03 1.8631e+00 2.0103e+00 7.2407e+00 2.0730e+00 1.1889e-01 7.1201e-02 2.9596e-02 6.8199e-02 5.9719e-01 5.0000e-01
3.5789e-03 4.8598e-03 1.8351e+00 1.9729e+00 7.0836e+00 2.0024e+00 1.1762e-01 7.3201e-02 3.0381e-02 6.9858e-02 5.9461e-01 5.0000e-01
3.8158e-03 5.2718e-03 1.8083e+00 1.9369e+00 6.9429e+00 1.9370e+00 1.1645e-01 7.5053e-02 3.1109e-02 7.1385e-02 5.9238e-01 5.0000e-01
4.0526e-03 5.6950e-03 1.7826e+00 1.9025e+00 6.8162e+00 1.8763e+00 1.1535e-01 7.6772e-02 3.1786e-02 7.2792e-02 5.9044e-01 5.0000e-01
4.2895e-03 6.1294e-03 1.7582e+00 1.8696e+00 6.7017e+00 1.8200e+00 1.1433e-01 7.8371e-02 3.2416e-02 7.4092e-02 5.8875e-01 5.0000e-01
4.5263e-03 6.5751e-03 1.7350e+00 1.8382e+00 6.5976e+00 1.7677e+00 1.1337e-01 7.9860e-02 3.3004e-02 7.5294e-02 5.8725e-01 5.0000e-01
4.7632e-03 7.0319e-03 1.7129e+00 1.8082e+00 6.5027e+00 1.7190e+00 1.1247e-01 8.1249e-02 3.3553e-02 7.6408e-02 5.8593e-01 5.0000e-01
5.0000e-03 7.5000e-03 1.6918e+00 1.7796e+00 6.4159e+00 1.6736e+00 1.1163e-01 8.2546e-02 3.4067e-02 7.7440e-02 5.8475e-01 5.0000e-01
