# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.0692e+00 1.1183e+00 1.2068e+01 6.6292e-01 6.3277e-02 1.5680e-02 6.9253e-03 2.5157e-02 5.7991e-01 7.5000e-01
7.3684e-04 7.9114e-04 1.3253e+00 1.4056e+00 1.1323e+01 9.0803e-01 6.2467e-02 1.9427e-02 8.3480e-03 3.0609e-02 5.1697e-01 7.5000e-01
9.7368e-04 1.0685e-03 1.4950e+00 1.6025e+00 1.0695e+01 1.0770e+00 6.1529e-02 2.2692e-02 9.5432e-03 3.5214e-02 4.8186e-01 7.5000e-01
1.2105e-03 1.3571e-03 1.6072e+00 1.7363e+00 1.0160e+01 1.1865e+00 6.0520e-02 2.5615e-02 1.0589e-02 3.9246e-02 4.5936e-01 7.5000e-01
1.4474e-03 1.6569e-03 1.6803e+00 1.8258e+00 9.6990e+00 1.2526e+00 5.9482e-02 2.8269e-02 1.1525e-02 4.2848e-02 4.4366e-01 7.5000e-01
1.6842e-03 1.9679e-03 1.7265e+00 1.8838e+00 9.2992e+00 1.2879e+00 5.8443e-02 3.0698e-02 1.2373e-02 4.6106e-02 4.3205e-01 7.5000e-01
1.9211e-03 2.2901e-03 1.7541e+00 1.9192e+00 8.9494e+00 1.3017e+00 5.7422e-02 3.2935e-02 1.3150e-02 4.9081e-02 4.2308e-01 7.5000e-01
2.1579e-03 2.6235e-03 1.7685e+00 1.9383e+00 8.6410e+00 1.3009e+00 5.6432e-02 3.5004e-02 1.3865e-02 5.1814e-02 4.1592e-01 7.5000e-01
2.3947e-03 2.9682e-03 1.7737e+00 1.9456e+00 8.3674e+00 1.2901e+00 5.5480e-02 3.6924e-02 1.4527e-02 5.4338e-02 4.1006e-01 7.5000e-01
2.6316e-03 3.3241e-03 1.7724e+00 1.9443e+00 8.1231e+00 1.2727e+00 5.4571e-02 3.8711e-02 1.5142e-02 5.6679e-02 4.0516e-01 7.5000e-01
2.8684e-03 3.6912e-03 1.7663e+00 1.9368e+00 7.9038e+00 1.2511e+00 5.3704e-02 4.0379e-02 1.5716e-02 5.8858e-02 4.0100e-01 7.5000e-01
3.1053e-03 4.0695e-03 1.7570e+00 1.9248e+00 7.7058e+00 1.2268e+00 5.2882e-02 4.1940e-02 1.6252e-02 6.0891e-02 3.9741e-01 7.5000e-01
3.3421e-03 4.4591e-03 1.7453e+00 1.9095e+00 7.5264e+00 1.2010e+00 5.2102e-02 4.3403e-02 1.6755e-02 6.2793e-02 3.9428e-01 7.5000e-01
3.5789e-03 4.8598e-03 1.7320e+00 1.8920e+00 7.3630e+00 1.1745e+00 5.1364e-02 4.4776e-02 1.7227e-02 6.4576e-02 3.9153e-01 7.5000e-01
3.8158e-03 5.2718e-03 1.7177e+00 1.8729e+00 7.2136e+00 1.1479e+00 5.0664e-02 4.6068e-02 1.7671e-02 6.6251e-02 3.8909e-01 7.5000e-01
4.0526e-03 5.6950e-03 1.7026e+00 1.8527e+00 7.0766e+00 1.1216e+00 5.0002e-02 4.7286e-02 1.8089e-02 6.7827e-02 3.8690e-01 7.5000e-01
4.2895e-03 6.1294e-03 1.6872e+00 1.8319e+00 6.9506e+00 1.0957e+00 4.9374e-02 4.8434e-02 1.8484e-02 6.9311e-02 3.8493e-01 7.5000e-01
4.5263e-03 6.5751e-03 1.6715e+00 1.8107e+00 6.8342e+00 1.0705e+00 4.8779e-02 4.9518e-02 1.8858e-02 7.0710e-02 3.8315e-01 7.5000e-01
4.7632e-03 7.0319e-03 1.6559e+00 1.7894e+00 6.7265e+00 1.0461e+00 4.8214e-02 5.0543e-02 1.9211e-02 7.2032e-02 3.8153e-01 7.5000e-01
5.0000e-03 7.5000e-03 1.6403e+00 1.7682e+00 6.6266e+00 1.0226e+00 4.7677e-02 5.1513e-02 1.9546e-02 7.3280e-02 3.8005e-01 7.5000e-01
