# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.0175e+00 1.0634e+00 1.1633e+01 4.7379e-01 4.3423e-02 1.4398e-02 4.9384e-03 2.5740e-02 4.5766e-01 8.0000e-01
7.3684e-04 7.9114e-04 1.2631e+00 1.3383e+00 1.0947e+01 6.4572e-01 4.2216e-02 1.7762e-02 5.9469e-03 3.1253e-02 4.0476e-01 8.0000e-01
9.7368e-04 1.0685e-03 1.4272e+00 1.5282e+00 1.0369e+01 7.6326e-01 4.1005e-02 2.0661e-02 6.7882e-03 3.5887e-02 3.7470e-01 8.0000e-01
1.2105e-03 1.3571e-03 1.5372e+00 1.6590e+00 9.8746e+00 8.3902e-01 3.9826e-02 2.3230e-02 7.5186e-03 3.9930e-02 3.5509e-01 8.0000e-01
1.4474e-03 1.6569e-03 1.6102e+00 1.7480e+00 9.4488e+00 8.8459e-01 3.8698e-02 2.5543e-02 8.1672e-03 4.3530e-02 3.4119e-01 8.0000e-01
1.6842e-03 1.9679e-03 1.6577e+00 1.8073e+00 9.0782e+00 9.0892e-01 3.7631e-02 2.7646e-02 8.7514e-03 4.6782e-02 3.3075e-01 8.0000e-01
1.9211e-03 2.2901e-03 1.6874e+00 1.8450e+00 8.7529e+00 9.1855e-01 3.6630e-02 2.9572e-02 9.2829e-03 4.9748e-02 3.2260e-01 8.0000e-01
2.1579e-03 2.6235e-03 1.7044e+00 1.8672e+00 8.4653e+00 9.1808e-01 3.5696e-02 3.1346e-02 9.7699e-03 5.2472e-02 3.1603e-01 8.0000e-01
2.3947e-03 2.9682e-03 1.7124e+00 1.8779e+00 8.2092e+00 9.1078e-01 3.4826e-02 3.2987e-02 1.0219e-02 5.4988e-02 3.1061e-01 8.0000e-01
2.6316e-03 3.3241e-03 1.7138e+00 1.8801e+00 7.9798e+00 8.9892e-01 3.4018e-02 3.4512e-02 1.0635e-02 5.7322e-02 3.0605e-01 8.0000e-01
2.8684e-03 3.6912e-03 1.7106e+00 1.8761e+00 7.7731e+00 8.8410e-01 3.3267e-02 3.5933e-02 1.1022e-02 5.9497e-02 3.0216e-01 8.0000e-01
3.1053e-03 4.0695e-03 1.7039e+00 1.8676e+00 7.5859e+00 8.6744e-01 3.2570e-02 3.7261e-02 1.1382e-02 6.1528e-02 2.9879e-01 8.0000e-01
3.3421e-03 4.4591e-03 1.6947e+00 1.8556e+00 7.4157e+00 8.4973e-01 3.1922e-02 3.8505e-02 1.1720e-02 6.3431e-02 2.9586e-01 8.0000e-01
3.5789e-03 4.8598e-03 1.6838e+00 1.8412e+00 7.2602e+00 8.3150e-01 3.1319e-02 3.9674e-02 1.2037e-02 6.5217e-02 2.9327e-01 8.0000e-01
3.8158e-03 5.2718e-03 1.6717e+00 1.8250e+00 7.1176e+00 8.1315e-01 3.0758e-02 4.0773e-02 1.2335e-02 6.6897e-02 2.9098e-01 8.0000e-01
4.0526e-03 5.6950e-03 1.6587e+00 1.8075e+00 6.9864e+00 7.9493e-01 3.0234e-02 4.1810e-02 1.2615e-02 6.8480e-02 2.8893e-01 8.0000e-01
4.2895e-03 6.1294e-03 1.6452e+00 1.7892e+00 6.8654e+00 7.7704e-01 2.9746e-02 4.2789e-02 1.2880e-02 6.9974e-02 2.8710e-01 8.0000e-01
4.5263e-03 6.5751e-03 1.6313e+00 1.7703e+00 6.7534e+00 7.5958e-01 2.9289e-02 4.3714e-02 1.3130e-02 7.1384e-02 2.8544e-01 8.0000e-01
4.7632e-03 7.0319e-03 1.6172e+00 1.7512e+00 6.6494e+00 7.4265e-01 2.8861e-02 4.4589e-02 1.3367e-02 7.2719e-02 2.8394e-01 8.0000e-01
5.0000e-03 7.5000e-03 1.6032e+00 1.7319e+00 6.5527e+00 7.2627e-01 2.8461e-02 4.5419e-02 1.3592e-02 7.3982e-02 2.8258e-01 8.0000e-01
