# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 9.5841e-01 9.9904e-01 1.1872e+01 4.4774e-01 3.9308e-02 1.1409e-02 7.3054e-03 2.4234e-02 4.8744e-01 8.5000e-01
7.3684e-04 7.9114e-04 1.2047e+00 1.2727e+00 1.1235e+01 6.3692e-01 3.9507e-02 1.4040e-02 8.7579e-03 2.9374e-02 4.3884e-01 8.5000e-01
9.7368e-04 1.0685e-03 1.3765e+00 1.4695e+00 1.0689e+01 7.8218e-01 3.9597e-02 1.6324e-02 9.9606e-03 3.3697e-02 4.1279e-01 8.5000e-01
1.2105e-03 1.3571e-03 1.4970e+00 1.6111e+00 1.0216e+01 8.8931e-01 3.9598e-02 1.8372e-02 1.1004e-02 3.7475e-02 3.9683e-01 8.5000e-01
1.4474e-03 1.6569e-03 1.5814e+00 1.7127e+00 9.8030e+00 9.6578e-01 3.9528e-02 2.0241e-02 1.1933e-02 4.0852e-02 3.8619e-01 8.5000e-01
1.6842e-03 1.9679e-03 1.6399e+00 1.7845e+00 9.4387e+00 1.0184e+00 3.9400e-02 2.1964e-02 1.2776e-02 4.3916e-02 3.7866e-01 8.5000e-01
1.9211e-03 2.2901e-03 1.6797e+00 1.8343e+00 9.1151e+00 1.0527e+00 3.9227e-02 2.3565e-02 1.3550e-02 4.6723e-02 3.7308e-01 8.5000e-01
2.1579e-03 2.6235e-03 1.7058e+00 1.8674e+00 8.8259e+00 1.0730e+00 3.9017e-02 2.5058e-02 1.4266e-02 4.9314e-02 3.6877e-01 8.5000e-01
2.3947e-03 2.9682e-03 1.7216e+00 1.8879e+00 8.5660e+00 1.0829e+00 3.8781e-02 2.6457e-02 1.4933e-02 5.1720e-02 3.6535e-01 8.5000e-01
2.6316e-03 3.3241e-03 1.7299e+00 1.8987e+00 8.3312e+00 1.0849e+00 3.8522e-02 2.7771e-02 1.5557e-02 5.3963e-02 3.6254e-01 8.5000e-01
2.8684e-03 3.6912e-03 1.7324e+00 1.9022e+00 8.1181e+00 1.0810e+00 3.8249e-02 2.9007e-02 1.6143e-02 5.6063e-02 3.6019e-01 8.5000e-01
3.1053e-03 4.0695e-03 1.7306e+00 1.9000e+00 7.9239e+00 1.0727e+00 3.7963e-02 3.0173e-02 1.6695e-02 5.8033e-02 3.5817e-01 8.5000e-01
3.3421e-03 4.4591e-03 1.7256e+00 1.8935e+00 7.7461e+00 1.0613e+00 3.7669e-02 3.1274e-02 1.7216e-02 5.9886e-02 3.5641e-01 8.5000e-01
3.5789e-03 4.8598e-03 1.7182e+00 1.8837e+00 7.5830e+00 1.0475e+00 3.7370e-02 3.2315e-02 1.7709e-02 6.1634e-02 3.5484e-01 8.5000e-01
3.8158e-03 5.2718e-03 1.7089e+00 1.8713e+00 7.4327e+00 1.0322e+00 3.7067e-02 3.3300e-02 1.8176e-02 6.3283e-02 3.5343e-01 8.5000e-01
4.0526e-03 5.6950e-03 1.6983e+00 1.8571e+00 7.2939e+00 1.0157e+00 3.6763e-02 3.4234e-02 1.8619e-02 6.4843e-02 3.5213e-01 8.5000e-01
4.2895e-03 6.1294e-03 1.6868e+00 1.8415e+00 7.1654e+00 9.9850e-01 3.6459e-02 3.5119e-02 1.9039e-02 6.6321e-02 3.5094e-01 8.5000e-01
4.5263e-03 6.5751e-03 1.6745e+00 1.8249e+00 7.0461e+00 9.8091e-01 3.6156e-02 3.5960e-02 1.9439e-02 6.7721e-02 3.4983e-01 8.5000e-01
4.7632e-03 7.0319e-03 1.6618e+00 1.8076e+00 6.9350e+00 9.6315e-01 3.5854e-02 3.6757e-02 1.9820e-02 6.9049e-02 3.4878e-01 8.5000e-01
5.0000e-03 7.5000e-03 1.6487e+00 1.7897e+00 6.8315e+00 9.4539e-01 3.5556e-02 3.7515e-02 2.0182e-02 7.0310e-02 3.4779e-01 8.5000e-01
