# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.2031e+00 1.2678e+00 1.1417e+01 6.6546e-01 5.7511e-02 2.2763e-02 5.1862e-03 2.8852e-02 4.5978e-01 6.5000e-01
7.3684e-04 7.9114e-04 1.4367e+00 1.5357e+00 1.0591e+01 8.3675e-01 5.3936e-02 2.8028e-02 6.2843e-03 3.5037e-02 4.0539e-01 6.5000e-01
9.7368e-04 1.0685e-03 1.5735e+00 1.6987e+00 9.9301e+00 9.2690e-01 5.0819e-02 3.2446e-02 7.1908e-03 4.0170e-02 3.7437e-01 6.5000e-01
1.2105e-03 1.3571e-03 1.6528e+00 1.7962e+00 9.3908e+00 9.6736e-01 4.8124e-02 3.6257e-02 7.9648e-03 4.4579e-02 3.5412e-01 6.5000e-01
1.4474e-03 1.6569e-03 1.6970e+00 1.8523e+00 8.9430e+00 9.7843e-01 4.5794e-02 3.9602e-02 8.6396e-03 4.8443e-02 3.3977e-01 6.5000e-01
1.6842e-03 1.9679e-03 1.7191e+00 1.8813e+00 8.5651e+00 9.7243e-01 4.3773e-02 4.2576e-02 9.2365e-03 5.1881e-02 3.2904e-01 6.5000e-01
1.9211e-03 2.2901e-03 1.7272e+00 1.8926e+00 8.2420e+00 9.5670e-01 4.2013e-02 4.5248e-02 9.7707e-03 5.4971e-02 3.2070e-01 6.5000e-01
2.1579e-03 2.6235e-03 1.7261e+00 1.8919e+00 7.9622e+00 9.3565e-01 4.0471e-02 4.7668e-02 1.0253e-02 5.7772e-02 3.1402e-01 6.5000e-01
2.3947e-03 2.9682e-03 1.7191e+00 1.8833e+00 7.7176e+00 9.1192e-01 3.9112e-02 4.9876e-02 1.0692e-02 6.0327e-02 3.0856e-01 6.5000e-01
2.6316e-03 3.3241e-03 1.7082e+00 1.8693e+00 7.5016e+00 8.8710e-01 3.7909e-02 5.1902e-02 1.1093e-02 6.2671e-02 3.0401e-01 6.5000e-01
2.8684e-03 3.6912e-03 1.6947e+00 1.8518e+00 7.3096e+00 8.6216e-01 3.6837e-02 5.3770e-02 1.1462e-02 6.4831e-02 3.0018e-01 6.5000e-01
3.1053e-03 4.0695e-03 1.6797e+00 1.8319e+00 7.1376e+00 8.3766e-01 3.5878e-02 5.5500e-02 1.1804e-02 6.6828e-02 2.9690e-01 6.5000e-01
3.3421e-03 4.4591e-03 1.6637e+00 1.8105e+00 6.9827e+00 8.1395e-01 3.5016e-02 5.7109e-02 1.2120e-02 6.8681e-02 2.9408e-01 6.5000e-01
3.5789e-03 4.8598e-03 1.6471e+00 1.7882e+00 6.8423e+00 7.9120e-01 3.4238e-02 5.8608e-02 1.2415e-02 7.0404e-02 2.9163e-01 6.5000e-01
3.8158e-03 5.2718e-03 1.6304e+00 1.7656e+00 6.7146e+00 7.6950e-01 3.3533e-02 6.0010e-02 1.2689e-02 7.2012e-02 2.8948e-01 6.5000e-01
4.0526e-03 5.6950e-03 1.6137e+00 1.7428e+00 6.5979e+00 7.4887e-01 3.2893e-02 6.1324e-02 1.2947e-02 7.3513e-02 2.8760e-01 6.5000e-01
4.2895e-03 6.1294e-03 1.5971e+00 1.7201e+00 6.4908e+00 7.2932e-01 3.2308e-02 6.2558e-02 1.3188e-02 7.4918e-02 2.8593e-01 6.5000e-01
4.5263e-03 6.5751e-03 1.5808e+00 1.6977e+00 6.3923e+00 7.1080e-01 3.1773e-02 6.3719e-02 1.3414e-02 7.6235e-02 2.8446e-01 6.5000e-01
4.7632e-03 7.0319e-03 1.5648e+00 1.6757e+00 6.3013e+00 6.9327e-01 3.1283e-02 6.4812e-02 1.3627e-02 7.7471e-02 2.8315e-01 6.5000e-01
5.0000e-03 7.5000e-03 1.5491e+00 1.6541e+00 6.2170e+00 6.7669e-01 3.0831e-02 6.5844e-02 1.3828e-02 7.8632e-02 2.8198e-01 6.5000e-01
