# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.1093e+00 1.1598e+00 1.2924e+01 8.8738e-01 8.5997e-02 1.6156e-02 1.0286e-02 2.3349e-02 7.2119e-01 7.0000e-01
7.3684e-04 7.9114e-04 1.3808e+00 1.4641e+00 1.2122e+01 1.2390e+00 8.6522e-02 2.0012e-02 1.2394e-02 2.8445e-02 6.4984e-01 7.0000e-01
9.7368e-04 1.0685e-03 1.5635e+00 1.6756e+00 1.1443e+01 1.4948e+00 8.6767e-02 2.3398e-02 1.4163e-02 3.2775e-02 6.1144e-01 7.0000e-01
1.2105e-03 1.3571e-03 1.6862e+00 1.8217e+00 1.0861e+01 1.6710e+00 8.6786e-02 2.6459e-02 1.5716e-02 3.6588e-02 5.8773e-01 7.0000e-01
1.4474e-03 1.6569e-03 1.7674e+00 1.9210e+00 1.0359e+01 1.7861e+00 8.6624e-02 2.9268e-02 1.7112e-02 4.0014e-02 5.7178e-01 7.0000e-01
1.6842e-03 1.9679e-03 1.8197e+00 1.9864e+00 9.9209e+00 1.8555e+00 8.6321e-02 3.1867e-02 1.8387e-02 4.3130e-02 5.6035e-01 7.0000e-01
1.9211e-03 2.2901e-03 1.8516e+00 2.0271e+00 9.5364e+00 1.8917e+00 8.5910e-02 3.4282e-02 1.9561e-02 4.5988e-02 5.5178e-01 7.0000e-01
2.1579e-03 2.6235e-03 1.8689e+00 2.0499e+00 9.1968e+00 1.9038e+00 8.5416e-02 3.6535e-02 2.0651e-02 4.8625e-02 5.4509e-01 7.0000e-01
2.3947e-03 2.9682e-03 1.8757e+00 2.0594e+00 8.8949e+00 1.8989e+00 8.4860e-02 3.8641e-02 2.1666e-02 5.1069e-02 5.3970e-01 7.0000e-01
2.6316e-03 3.3241e-03 1.8752e+00 2.0592e+00 8.6251e+00 1.8820e+00 8.4259e-02 4.0614e-02 2.2615e-02 5.3341e-02 5.3525e-01 7.0000e-01
2.8684e-03 3.6912e-03 1.8692e+00 2.0520e+00 8.3829e+00 1.8570e+00 8.3626e-02 4.2464e-02 2.3505e-02 5.5459e-02 5.3148e-01 7.0000e-01
3.1053e-03 4.0695e-03 1.8594e+00 2.0396e+00 8.1643e+00 1.8264e+00 8.2972e-02 4.4202e-02 2.4341e-02 5.7439e-02 5.2823e-01 7.0000e-01
3.3421e-03 4.4591e-03 1.8470e+00 2.0234e+00 7.9663e+00 1.7922e+00 8.2305e-02 4.5836e-02 2.5128e-02 5.9293e-02 5.2538e-01 7.0000e-01
3.5789e-03 4.8598e-03 1.8326e+00 2.0046e+00 7.7862e+00 1.7560e+00 8.1631e-02 4.7375e-02 2.5870e-02 6.1031e-02 5.2284e-01 7.0000e-01
3.8158e-03 5.2718e-03 1.8170e+00 1.9839e+00 7.6218e+00 1.7186e+00 8.0955e-02 4.8824e-02 2.6570e-02 6.2663e-02 5.2056e-01 7.0000e-01
4.0526e-03 5.6950e-03 1.8006e+00 1.9621e+00 7.4712e+00 1.6810e+00 8.0280e-02 5.0190e-02 2.7231e-02 6.4197e-02 5.1848e-01 7.0000e-01
4.2895e-03 6.1294e-03 1.7837e+00 1.9394e+00 7.3329e+00 1.6434e+00 7.9609e-02 5.1479e-02 2.7857e-02 6.5641e-02 5.1657e-01 7.0000e-01
4.5263e-03 6.5751e-03 1.7665e+00 1.9164e+00 7.2055e+00 1.6065e+00 7.8945e-02 5.2696e-02 2.8449e-02 6.7002e-02 5.1480e-01 7.0000e-01
4.7632e-03 7.0319e-03 1.7493e+00 1.8931e+00 7.0879e+00 1.5703e+00 7.8288e-02 5.3847e-02 2.9009e-02 6.8284e-02 5.1315e-01 7.0000e-01
5.0000e-03 7.5000e-03 1.7322e+00 1.8700e+00 6.9789e+00 1.5350e+00 7.7639e-02 5.4934e-02 2.9541e-02 6.9494e-02 5.1160e-01 7.0000e-01
