# rho_center e_center Mass Mass_0 R_e J T/W Omega_c Omega_e Omega_K J/M^2 axes_ratio
5.0000e-04 5.2500e-04 1.1890e+00 1.2456e+00 1.3195e+01 1.0972e+00 1.0275e-01 1.7747e-02 1.0546e-02 2.3545e-02 7.7614e-01 6.5000e-01
7.3684e-04 7.9114e-04 1.4704e+00 1.5627e+00 1.2310e+01 1.5097e+00 1.0307e-01 2.2085e-02 1.2747e-02 2.8780e-02 6.9825e-01 6.5000e-01
9.7368e-04 1.0685e-03 1.6544e+00 1.7773e+00 1.1566e+01 1.7954e+00 1.0303e-01 2.5919e-02 1.4613e-02 3.3252e-02 6.5594e-01 6.5000e-01
1.2105e-03 1.3571e-03 1.7735e+00 1.9205e+00 1.0934e+01 1.9800e+00 1.0273e-01 2.9397e-02 1.6261e-02 3.7202e-02 6.2953e-01 6.5000e-01
1.4474e-03 1.6569e-03 1.8485e+00 2.0133e+00 1.0392e+01 2.0897e+00 1.0222e-01 3.2590e-02 1.7748e-02 4.0755e-02 6.1156e-01 6.5000e-01
1.6842e-03 1.9679e-03 1.8935e+00 2.0703e+00 9.9236e+00 2.1459e+00 1.0156e-01 3.5540e-02 1.9109e-02 4.3985e-02 5.9855e-01 6.5000e-01
1.9211e-03 2.2901e-03 1.9177e+00 2.1020e+00 9.5161e+00 2.1649e+00 1.0079e-01 3.8276e-02 2.0362e-02 4.6941e-02 5.8869e-01 6.5000e-01
2.1579e-03 2.6235e-03 1.9275e+00 2.1157e+00 9.1590e+00 2.1584e+00 9.9960e-02 4.0818e-02 2.1524e-02 4.9662e-02 5.8095e-01 6.5000e-01
2.3947e-03 2.9682e-03 1.9274e+00 2.1166e+00 8.8441e+00 2.1350e+00 9.9085e-02 4.3186e-02 2.2603e-02 5.2174e-02 5.7469e-01 6.5000e-01
2.6316e-03 3.3241e-03 1.9205e+00 2.1084e+00 8.5649e+00 2.1005e+00 9.8185e-02 4.5395e-02 2.3610e-02 5.4501e-02 5.6950e-01 6.5000e-01
2.8684e-03 3.6912e-03 1.9089e+00 2.0939e+00 8.3158e+00 2.0592e+00 9.7277e-02 4.7458e-02 2.4551e-02 5.6663e-02 5.6511e-01 6.5000e-01
3.1053e-03 4.0695e-03 1.8941e+00 2.0749e+00 8.0926e+00 2.0138e+00 9.6369e-02 4.9388e-02 2.5432e-02 5.8674e-02 5.6134e-01 6.5000e-01
3.3421e-03 4.4591e-03 1.8772e+00 2.0530e+00 7.8915e+00 1.9664e+00 9.5469e-02 5.1195e-02 2.6258e-02 6.0550e-02 5.5804e-01 6.5000e-01
3.5789e-03 4.8598e-03 1.8589e+00 2.0290e+00 7.7097e+00 1.9184e+00 9.4582e-02 5.2890e-02 2.7033e-02 6.2302e-02 5.5513e-01 6.5000e-01
3.8158e-03 5.2718e-03 1.8399e+00 2.0039e+00 7.5446e+00 1.8705e+00 9.3711e-02 5.4480e-02 2.7763e-02 6.3941e-02 5.5254e-01 6.5000e-01
4.0526e-03 5.6950e-03 1.8205e+00 1.9781e+00 7.3940e+00 1.8235e+00 9.2859e-02 5.5975e-02 2.8450e-02 6.5475e-02 5.5019e-01 6.5000e-01
4.2895e-03 6.1294e-03 1.8010e+00 1.9520e+00 7.2563e+00 1.7778e+00 9.2027e-02 5.7380e-02 2.9097e-02 6.6914e-02 5.4806e-01 6.5000e-01
4.5263e-03 6.5751e-03 1.7817e+00 1.9260e+00 7.1300e+00 1.7335e+00 9.1215e-02 5.8703e-02 2.9708e-02 6.8264e-02 5.4611e-01 6.5000e-01
4.7632e-03 7.0319e-03 1.7625e+00 1.9001e+00 7.0138e+00 1.6909e+00 9.0424e-02 5.9949e-02 3.0284e-02 6.9532e-02 5.4431e-01 6.5000e-01
5.0000e-03 7.5000e-03 1.7437e+00 1.8747e+00 6.9065e+00 1.6499e+00 8.9653e-02 6.1123e-02 3.0829e-02 7.0724e-02 5.4264e-01 6.5000e-01
